symbol,source_kind,official_endpoint,canonical_path,canonical_sha256,schema,requested_first,requested_last,actual_first,actual_last,row_count_2025,expected_row_count,duplicate_count,conflicting_duplicate_count,gap_count,off_grid_count,invalid_numeric_count,source_status,reason
BTCUSDT,15m,https://api.bybit.com/v5/market/kline,/home/nnv/.local/share/msm-market-data/bybit/linear/BTCUSDT/BTCUSDT_15m.csv,e006909b704f430e35ddf768a0e8a45efff0711a7b5b83fa1e8568d634cef119,timestamp_utc|open|high|low|close|volume|turnover,2025-01-01T00:00:00Z,2025-12-31T23:45:00Z,2025-01-01T00:00:00Z,2025-12-31T23:45:00Z,35040,35040,0,0,0,0,0,READY,all frozen checks passed
BTCUSDT,funding,https://api.bybit.com/v5/market/funding/history,/home/nnv/.local/share/msm-market-data/bybit/linear/BTCUSDT/BTCUSDT_funding.csv,5f5952e42fd245dfc0d0292467845f21a7c9a9efa4d5a59df3d1be117abdd0a9,timestamp_utc|funding_rate,2025-01-01T00:00:00Z,2025-12-31T16:00:00Z,2025-01-01T00:00:00Z,2025-12-31T16:00:00Z,1095,1095,0,0,0,0,0,READY,all frozen checks passed
BTCUSDT,oi,https://api.bybit.com/v5/market/open-interest,/home/nnv/.local/share/msm-market-data/bybit/linear/BTCUSDT/BTCUSDT_oi.csv,c479d5ee36f694310ee71b363c116baaae901d854c21f15e62a023357ebb2a21,timestamp_utc|open_interest,2025-01-01T00:00:00Z,2025-12-31T23:45:00Z,2025-01-01T00:00:00Z,2025-12-31T23:45:00Z,35040,35040,0,0,0,0,0,READY,all frozen checks passed
ETHUSDT,15m,https://api.bybit.com/v5/market/kline,/home/nnv/.local/share/msm-market-data/bybit/linear/ETHUSDT/ETHUSDT_15m.csv,f72e8c4831a69916530168660438d41f9bdce3dbb63c59db34efbfa222404962,timestamp_utc|open|high|low|close|volume|turnover,2025-01-01T00:00:00Z,2025-12-31T23:45:00Z,2025-01-01T00:00:00Z,2025-12-31T23:45:00Z,35040,35040,0,0,0,0,0,READY,all frozen checks passed
ETHUSDT,funding,https://api.bybit.com/v5/market/funding/history,/home/nnv/.local/share/msm-market-data/bybit/linear/ETHUSDT/ETHUSDT_funding.csv,7cde3ccea21d4636f467e7dc36821def3bf878845f7a82c2782417d5a7dcac89,timestamp_utc|funding_rate,2025-01-01T00:00:00Z,2025-12-31T16:00:00Z,2025-01-01T00:00:00Z,2025-12-31T16:00:00Z,1095,1095,0,0,0,0,0,READY,all frozen checks passed
ETHUSDT,oi,https://api.bybit.com/v5/market/open-interest,/home/nnv/.local/share/msm-market-data/bybit/linear/ETHUSDT/ETHUSDT_oi.csv,edfe55909024f9cd8f97fb1de7c45242eb25e23f1b839d1fa1c19a3b42b76c3d,timestamp_utc|open_interest,2025-01-01T00:00:00Z,2025-12-31T23:45:00Z,2025-01-01T00:00:00Z,2025-12-31T23:45:00Z,35040,35040,0,0,0,0,0,READY,all frozen checks passed
SOLUSDT,15m,https://api.bybit.com/v5/market/kline,/home/nnv/.local/share/msm-market-data/bybit/linear/SOLUSDT/SOLUSDT_15m.csv,5b5fc7e592f7dfb7060aadcdde0dc1c4dcd17ef6edf70b8e4462537531641161,timestamp_utc|open|high|low|close|volume|turnover,2025-01-01T00:00:00Z,2025-12-31T23:45:00Z,2025-01-01T00:00:00Z,2025-12-31T23:45:00Z,35040,35040,0,0,0,0,0,READY,all frozen checks passed
SOLUSDT,funding,https://api.bybit.com/v5/market/funding/history,/home/nnv/.local/share/msm-market-data/bybit/linear/SOLUSDT/SOLUSDT_funding.csv,9ea75308e196b27f1c524d2c9609f04855572cfd7715a7a02fe2dc5d22cfcf3b,timestamp_utc|funding_rate,2025-01-01T00:00:00Z,2025-12-31T16:00:00Z,2025-01-01T00:00:00Z,2025-12-31T16:00:00Z,1095,1095,0,0,0,0,0,READY,all frozen checks passed
SOLUSDT,oi,https://api.bybit.com/v5/market/open-interest,/home/nnv/.local/share/msm-market-data/bybit/linear/SOLUSDT/SOLUSDT_oi.csv,5c198d336bd6e935b6bb3b7d00ed8407430a54a2e2bfd9d900a3d96940063a14,timestamp_utc|open_interest,2025-01-01T00:00:00Z,2025-12-31T23:45:00Z,2025-01-01T00:00:00Z,2025-12-31T23:45:00Z,35040,35040,0,0,0,0,0,READY,all frozen checks passed
XRPUSDT,15m,https://api.bybit.com/v5/market/kline,/home/nnv/.local/share/msm-market-data/bybit/linear/XRPUSDT/XRPUSDT_15m.csv,adcb231ec9e8447d62bf7170fa5f9e848291e23aba90953cbc6320b6b268e62f,timestamp_utc|open|high|low|close|volume|turnover,2025-01-01T00:00:00Z,2025-12-31T23:45:00Z,2025-01-01T00:00:00Z,2025-12-31T23:45:00Z,35040,35040,0,0,0,0,0,READY,all frozen checks passed
XRPUSDT,funding,https://api.bybit.com/v5/market/funding/history,/home/nnv/.local/share/msm-market-data/bybit/linear/XRPUSDT/XRPUSDT_funding.csv,fc0380c4d7fc1c1a7ba5984dea67bec9365b517e873d222362f6dc5b0c1e9208,timestamp_utc|funding_rate,2025-01-01T00:00:00Z,2025-12-31T16:00:00Z,2025-01-01T00:00:00Z,2025-12-31T16:00:00Z,1095,1095,0,0,0,0,0,READY,all frozen checks passed
XRPUSDT,oi,https://api.bybit.com/v5/market/open-interest,/home/nnv/.local/share/msm-market-data/bybit/linear/XRPUSDT/XRPUSDT_oi.csv,844a6effa608133c0e6585292f76b53f893ed17a2c8844f51000da8c3df25179,timestamp_utc|open_interest,2025-01-01T00:00:00Z,2025-12-31T23:45:00Z,2025-01-01T00:00:00Z,2025-12-31T23:45:00Z,35040,35040,0,0,0,0,0,READY,all frozen checks passed
