request_kind,window_start,window_end_inclusive,attempt,status,returned_rows,minimum_returned_timestamp,maximum_returned_timestamp,out_of_window_returned,url
probe_begin,2023-01-01T00:00:00Z,2023-01-01T00:29:59Z,1,HTTP_200_API_0,2,2023-01-01T00:00:00Z,2023-01-01T00:15:00Z,False,https://api.bybit.com/v5/market/kline?category=linear&symbol=ADAUSDT&interval=15&start=1672531200000&end=1672532999999&limit=1000
probe_end,2025-12-31T23:30:00Z,2025-12-31T23:59:59Z,1,HTTP_200_API_0,2,2025-12-31T23:30:00Z,2025-12-31T23:45:00Z,False,https://api.bybit.com/v5/market/kline?category=linear&symbol=ADAUSDT&interval=15&start=1767223800000&end=1767225599999&limit=1000
acquire,2023-01-01T00:00:00Z,2023-01-11T09:59:59Z,1,HTTP_200_API_0,1000,2023-01-01T00:00:00Z,2023-01-11T09:45:00Z,False,https://api.bybit.com/v5/market/kline?category=linear&symbol=ADAUSDT&interval=15&start=1672531200000&end=1673431199999&limit=1000
acquire,2023-01-11T10:00:00Z,2023-01-21T19:59:59Z,1,HTTP_200_API_0,1000,2023-01-11T10:00:00Z,2023-01-21T19:45:00Z,False,https://api.bybit.com/v5/market/kline?category=linear&symbol=ADAUSDT&interval=15&start=1673431200000&end=1674331199999&limit=1000
acquire,2023-01-21T20:00:00Z,2023-02-01T05:59:59Z,1,HTTP_200_API_0,1000,2023-01-21T20:00:00Z,2023-02-01T05:45:00Z,False,https://api.bybit.com/v5/market/kline?category=linear&symbol=ADAUSDT&interval=15&start=1674331200000&end=1675231199999&limit=1000
acquire,2023-02-01T06:00:00Z,2023-02-11T15:59:59Z,1,HTTP_200_API_0,1000,2023-02-01T06:00:00Z,2023-02-11T15:45:00Z,False,https://api.bybit.com/v5/market/kline?category=linear&symbol=ADAUSDT&interval=15&start=1675231200000&end=1676131199999&limit=1000
acquire,2023-02-11T16:00:00Z,2023-02-22T01:59:59Z,1,HTTP_200_API_0,1000,2023-02-11T16:00:00Z,2023-02-22T01:45:00Z,False,https://api.bybit.com/v5/market/kline?category=linear&symbol=ADAUSDT&interval=15&start=1676131200000&end=1677031199999&limit=1000
acquire,2023-02-22T02:00:00Z,2023-03-04T11:59:59Z,1,HTTP_200_API_0,1000,2023-02-22T02:00:00Z,2023-03-04T11:45:00Z,False,https://api.bybit.com/v5/market/kline?category=linear&symbol=ADAUSDT&interval=15&start=1677031200000&end=1677931199999&limit=1000
acquire,2023-03-04T12:00:00Z,2023-03-14T21:59:59Z,1,HTTP_200_API_0,1000,2023-03-04T12:00:00Z,2023-03-14T21:45:00Z,False,https://api.bybit.com/v5/market/kline?category=linear&symbol=ADAUSDT&interval=15&start=1677931200000&end=1678831199999&limit=1000
acquire,2023-03-14T22:00:00Z,2023-03-25T07:59:59Z,1,HTTP_200_API_0,1000,2023-03-14T22:00:00Z,2023-03-25T07:45:00Z,False,https://api.bybit.com/v5/market/kline?category=linear&symbol=ADAUSDT&interval=15&start=1678831200000&end=1679731199999&limit=1000
acquire,2023-03-25T08:00:00Z,2023-04-04T17:59:59Z,1,HTTP_200_API_0,1000,2023-03-25T08:00:00Z,2023-04-04T17:45:00Z,False,https://api.bybit.com/v5/market/kline?category=linear&symbol=ADAUSDT&interval=15&start=1679731200000&end=1680631199999&limit=1000
acquire,2023-04-04T18:00:00Z,2023-04-15T03:59:59Z,1,HTTP_200_API_0,1000,2023-04-04T18:00:00Z,2023-04-15T03:45:00Z,False,https://api.bybit.com/v5/market/kline?category=linear&symbol=ADAUSDT&interval=15&start=1680631200000&end=1681531199999&limit=1000
acquire,2023-04-15T04:00:00Z,2023-04-25T13:59:59Z,1,HTTP_200_API_0,1000,2023-04-15T04:00:00Z,2023-04-25T13:45:00Z,False,https://api.bybit.com/v5/market/kline?category=linear&symbol=ADAUSDT&interval=15&start=1681531200000&end=1682431199999&limit=1000
acquire,2023-04-25T14:00:00Z,2023-05-05T23:59:59Z,1,HTTP_200_API_0,1000,2023-04-25T14:00:00Z,2023-05-05T23:45:00Z,False,https://api.bybit.com/v5/market/kline?category=linear&symbol=ADAUSDT&interval=15&start=1682431200000&end=1683331199999&limit=1000
acquire,2023-05-06T00:00:00Z,2023-05-16T09:59:59Z,1,HTTP_200_API_0,1000,2023-05-06T00:00:00Z,2023-05-16T09:45:00Z,False,https://api.bybit.com/v5/market/kline?category=linear&symbol=ADAUSDT&interval=15&start=1683331200000&end=1684231199999&limit=1000
acquire,2023-05-16T10:00:00Z,2023-05-26T19:59:59Z,1,HTTP_200_API_0,1000,2023-05-16T10:00:00Z,2023-05-26T19:45:00Z,False,https://api.bybit.com/v5/market/kline?category=linear&symbol=ADAUSDT&interval=15&start=1684231200000&end=1685131199999&limit=1000
acquire,2023-05-26T20:00:00Z,2023-06-06T05:59:59Z,1,HTTP_200_API_0,1000,2023-05-26T20:00:00Z,2023-06-06T05:45:00Z,False,https://api.bybit.com/v5/market/kline?category=linear&symbol=ADAUSDT&interval=15&start=1685131200000&end=1686031199999&limit=1000
acquire,2023-06-06T06:00:00Z,2023-06-16T15:59:59Z,1,HTTP_200_API_0,1000,2023-06-06T06:00:00Z,2023-06-16T15:45:00Z,False,https://api.bybit.com/v5/market/kline?category=linear&symbol=ADAUSDT&interval=15&start=1686031200000&end=1686931199999&limit=1000
acquire,2023-06-16T16:00:00Z,2023-06-27T01:59:59Z,1,HTTP_200_API_0,1000,2023-06-16T16:00:00Z,2023-06-27T01:45:00Z,False,https://api.bybit.com/v5/market/kline?category=linear&symbol=ADAUSDT&interval=15&start=1686931200000&end=1687831199999&limit=1000
acquire,2023-06-27T02:00:00Z,2023-07-07T11:59:59Z,1,HTTP_200_API_0,1000,2023-06-27T02:00:00Z,2023-07-07T11:45:00Z,False,https://api.bybit.com/v5/market/kline?category=linear&symbol=ADAUSDT&interval=15&start=1687831200000&end=1688731199999&limit=1000
acquire,2023-07-07T12:00:00Z,2023-07-17T21:59:59Z,1,HTTP_200_API_0,1000,2023-07-07T12:00:00Z,2023-07-17T21:45:00Z,False,https://api.bybit.com/v5/market/kline?category=linear&symbol=ADAUSDT&interval=15&start=1688731200000&end=1689631199999&limit=1000
acquire,2023-07-17T22:00:00Z,2023-07-28T07:59:59Z,1,HTTP_200_API_0,1000,2023-07-17T22:00:00Z,2023-07-28T07:45:00Z,False,https://api.bybit.com/v5/market/kline?category=linear&symbol=ADAUSDT&interval=15&start=1689631200000&end=1690531199999&limit=1000
acquire,2023-07-28T08:00:00Z,2023-08-07T17:59:59Z,1,HTTP_200_API_0,1000,2023-07-28T08:00:00Z,2023-08-07T17:45:00Z,False,https://api.bybit.com/v5/market/kline?category=linear&symbol=ADAUSDT&interval=15&start=1690531200000&end=1691431199999&limit=1000
acquire,2023-08-07T18:00:00Z,2023-08-18T03:59:59Z,1,HTTP_200_API_0,1000,2023-08-07T18:00:00Z,2023-08-18T03:45:00Z,False,https://api.bybit.com/v5/market/kline?category=linear&symbol=ADAUSDT&interval=15&start=1691431200000&end=1692331199999&limit=1000
acquire,2023-08-18T04:00:00Z,2023-08-28T13:59:59Z,1,HTTP_200_API_0,1000,2023-08-18T04:00:00Z,2023-08-28T13:45:00Z,False,https://api.bybit.com/v5/market/kline?category=linear&symbol=ADAUSDT&interval=15&start=1692331200000&end=1693231199999&limit=1000
acquire,2023-08-28T14:00:00Z,2023-09-07T23:59:59Z,1,HTTP_200_API_0,1000,2023-08-28T14:00:00Z,2023-09-07T23:45:00Z,False,https://api.bybit.com/v5/market/kline?category=linear&symbol=ADAUSDT&interval=15&start=1693231200000&end=1694131199999&limit=1000
acquire,2023-09-08T00:00:00Z,2023-09-18T09:59:59Z,1,HTTP_200_API_0,1000,2023-09-08T00:00:00Z,2023-09-18T09:45:00Z,False,https://api.bybit.com/v5/market/kline?category=linear&symbol=ADAUSDT&interval=15&start=1694131200000&end=1695031199999&limit=1000
acquire,2023-09-18T10:00:00Z,2023-09-28T19:59:59Z,1,HTTP_200_API_0,1000,2023-09-18T10:00:00Z,2023-09-28T19:45:00Z,False,https://api.bybit.com/v5/market/kline?category=linear&symbol=ADAUSDT&interval=15&start=1695031200000&end=1695931199999&limit=1000
acquire,2023-09-28T20:00:00Z,2023-10-09T05:59:59Z,1,HTTP_200_API_0,1000,2023-09-28T20:00:00Z,2023-10-09T05:45:00Z,False,https://api.bybit.com/v5/market/kline?category=linear&symbol=ADAUSDT&interval=15&start=1695931200000&end=1696831199999&limit=1000
acquire,2023-10-09T06:00:00Z,2023-10-19T15:59:59Z,1,HTTP_200_API_0,1000,2023-10-09T06:00:00Z,2023-10-19T15:45:00Z,False,https://api.bybit.com/v5/market/kline?category=linear&symbol=ADAUSDT&interval=15&start=1696831200000&end=1697731199999&limit=1000
acquire,2023-10-19T16:00:00Z,2023-10-30T01:59:59Z,1,HTTP_200_API_0,1000,2023-10-19T16:00:00Z,2023-10-30T01:45:00Z,False,https://api.bybit.com/v5/market/kline?category=linear&symbol=ADAUSDT&interval=15&start=1697731200000&end=1698631199999&limit=1000
