start_iso,end_iso,duration_bars
2023-07-01 12:00,2023-07-02 16:00,8
2023-07-03 08:00,2023-07-05 04:00,12
2023-07-05 08:00,2023-07-11 16:00,39
2023-07-13 16:00,2023-07-15 12:00,12
2023-07-15 16:00,2023-07-24 04:00,52
2023-07-24 08:00,2023-07-29 12:00,32
2023-07-29 16:00,2023-07-31 12:00,12
2023-07-31 16:00,2023-08-02 08:00,11
2023-08-03 04:00,2023-08-07 08:00,26
2023-08-08 16:00,2023-08-11 08:00,17
2023-08-11 12:00,2023-08-12 12:00,7
2023-08-12 16:00,2023-08-14 20:00,14
2023-08-16 12:00,2023-08-17 16:00,8
2023-08-17 20:00,2023-08-19 04:00,9
2023-08-19 08:00,2023-09-09 08:00,127
2023-09-10 00:00,2023-09-10 20:00,6
2023-09-12 00:00,2023-09-18 04:00,38
2023-09-18 08:00,2023-09-21 00:00,17
2023-09-21 20:00,2023-09-28 08:00,40
2023-09-28 12:00,2023-09-30 08:00,12
2023-10-01 08:00,2023-10-03 20:00,16
2023-10-04 00:00,2023-10-05 04:00,8
2023-10-05 08:00,2023-10-08 00:00,17
2023-10-08 04:00,2023-10-09 04:00,7
2023-10-09 08:00,2023-10-10 20:00,10
2023-10-11 00:00,2023-10-16 00:00,31
2023-10-16 04:00,2023-10-17 08:00,8
2023-10-17 12:00,2023-10-18 08:00,6
2023-10-20 00:00,2023-10-21 00:00,7
2023-10-21 12:00,2023-10-22 16:00,8
2023-10-23 20:00,2023-10-25 20:00,13
2023-10-26 00:00,2023-11-01 12:00,40
2023-11-01 16:00,2023-11-02 12:00,6
2023-11-02 16:00,2023-11-05 04:00,16
2023-11-05 08:00,2023-11-06 04:00,6
2023-11-08 00:00,2023-11-08 20:00,6
2023-11-09 00:00,2023-11-11 00:00,13
2023-11-11 04:00,2023-11-13 16:00,16
2023-11-13 20:00,2023-11-15 04:00,9
2023-11-16 12:00,2023-11-17 08:00,6
2023-11-17 12:00,2023-11-18 12:00,7
2023-11-18 16:00,2023-11-20 00:00,9
2023-11-20 04:00,2023-11-21 04:00,7
2023-11-21 16:00,2023-11-22 12:00,6
2023-11-22 16:00,2023-11-23 20:00,8
2023-11-24 00:00,2023-11-26 20:00,18
2023-11-27 12:00,2023-11-28 08:00,6
2023-11-28 12:00,2023-12-01 20:00,21
2023-12-02 16:00,2023-12-03 20:00,8
2023-12-04 00:00,2023-12-05 12:00,10
2023-12-06 08:00,2023-12-07 12:00,8
2023-12-09 04:00,2023-12-10 20:00,11
2023-12-11 00:00,2023-12-13 08:00,15
2023-12-13 12:00,2023-12-17 08:00,24
2023-12-19 12:00,2023-12-21 12:00,13
2023-12-21 16:00,2023-12-26 20:00,32
2023-12-27 16:00,2023-12-29 08:00,11
2023-12-29 12:00,2023-12-31 20:00,15
