case_id,start_time,end_time,direction,status,duration_bars,net_return_pct,body_vs_prev10,close_position_in_range,continuation_2of3,why_assigned,first_3_5_bars,last_3_5_bars,main_difference_from_prototype
1,2023-12-08 00:00,2023-12-09 04:00,UP,prototype,8,37.0395,1.2676,0.8788,True,прототип F1,"5 bars: тела UP,UP,UP,UP,DOWN; тела по отношению к prev10 1.27x,1.76x,7.28x,2.69x,1.24x; закрытия: 3 шаг(а) по направлению и 1 против; тел по направлению 4, встречных тел 1; макс. встречный close-step 2.90%; ускорение есть","5 bars: тела UP,DOWN,UP,UP,UP; тела по отношению к prev10 2.69x,1.24x,0.93x,2.08x,2.67x; закрытия: 3 шаг(а) по направлению и 1 против; тел по направлению 4, встречных тел 1; макс. встречный close-step 2.90%; явного замедления нет",прототип
3,2023-12-13 04:00,2023-12-14 08:00,UP,questionable,8,18.2112,0.1172,0.7361,True,"как у прототипа, стартовое тело направлено в сторону UP и не достигает порога 1.5x prev10; движение собрано серией закрытий; конец окна проверен по последним барам","5 bars: тела UP,UP,UP,UP,UP; тела по отношению к prev10 0.12x,1.65x,3.68x,1.15x,1.40x; закрытия: 4 шаг(а) по направлению и 0 против; тел по направлению 5, встречных тел 0; макс. встречный close-step 0.00%; ускорение есть","5 bars: тела UP,UP,DOWN,DOWN,UP; тела по отношению к prev10 1.15x,1.40x,0.70x,0.01x,0.09x; закрытия: 2 шаг(а) по направлению и 2 против; тел по направлению 3, встречных тел 2; макс. встречный close-step 1.68%; замедление есть",размер стартового тела отличается: 0.12x против 1.27x у прототипа; после окончания окна другое поведение: есть/нет продолжение
4,2023-12-05 08:00,2023-12-06 12:00,UP,confirmed,8,12.8879,0.0427,0.4583,True,"как у прототипа, стартовое тело направлено в сторону UP и не достигает порога 1.5x prev10; движение собрано серией закрытий; конец окна проверен по последним барам","5 bars: тела UP,UP,UP,UP,DOWN; тела по отношению к prev10 0.04x,0.84x,4.05x,0.73x,0.09x; закрытия: 3 шаг(а) по направлению и 1 против; тел по направлению 4, встречных тел 1; макс. встречный close-step 0.12%; ускорение есть","5 bars: тела UP,DOWN,UP,UP,UP; тела по отношению к prev10 0.73x,0.09x,0.85x,1.48x,2.65x; закрытия: 3 шаг(а) по направлению и 1 против; тел по направлению 4, встречных тел 1; макс. встречный close-step 0.12%; явного замедления нет",закрытие стартовой свечи хуже привязано к направленному краю; размер стартового тела отличается: 0.04x против 1.27x у прототипа
5,2023-11-01 12:00,2023-11-02 16:00,UP,confirmed,8,12.6736,0.2096,0.3038,True,"как у прототипа, стартовое тело направлено в сторону UP и не достигает порога 1.5x prev10; движение собрано серией закрытий; конец окна проверен по последним барам","5 bars: тела UP,UP,UP,UP,DOWN; тела по отношению к prev10 0.21x,3.86x,1.56x,0.61x,0.72x; закрытия: 3 шаг(а) по направлению и 1 против; тел по направлению 4, встречных тел 1; макс. встречный close-step 1.00%; ускорение есть","5 bars: тела UP,DOWN,UP,DOWN,UP; тела по отношению к prev10 0.61x,0.72x,1.03x,2.95x,5.36x; закрытия: 2 шаг(а) по направлению и 2 против; тел по направлению 3, встречных тел 2; макс. встречный close-step 3.41%; явного замедления нет",закрытие стартовой свечи хуже привязано к направленному краю; размер стартового тела отличается: 0.21x против 1.27x у прототипа
7,2023-11-15 04:00,2023-11-16 04:00,UP,confirmed,7,12.0587,1.31,0.8942,True,"как у прототипа, стартовое тело направлено в сторону UP и не достигает порога 1.5x prev10; движение собрано серией закрытий; конец окна проверен по последним барам","5 bars: тела UP,UP,DOWN,UP,UP; тела по отношению к prev10 1.31x,1.25x,0.08x,0.58x,0.39x; закрытия: 3 шаг(а) по направлению и 1 против; тел по направлению 4, встречных тел 1; макс. встречный close-step 0.19%; явного ускорения нет","5 bars: тела DOWN,UP,UP,UP,UP; тела по отношению к prev10 0.08x,0.58x,0.39x,0.42x,2.41x; закрытия: 4 шаг(а) по направлению и 0 против; тел по направлению 4, встречных тел 1; макс. встречный close-step 0.00%; явного замедления нет",отличие только в масштабе движения и календарном контексте
13,2023-11-12 16:00,2023-11-13 20:00,DOWN,questionable,8,-7.511,1.0581,0.3,False,"как у прототипа, стартовое тело направлено в сторону DOWN и не достигает порога 1.5x prev10; движение собрано серией закрытий; конец окна проверен по последним барам","5 bars: тела DOWN,UP,DOWN,UP,DOWN; тела по отношению к prev10 1.06x,0.73x,1.70x,0.07x,2.48x; закрытия: 2 шаг(а) по направлению и 2 против; тел по направлению 3, встречных тел 2; макс. встречный close-step 0.79%; ускорение есть","5 bars: тела UP,DOWN,UP,DOWN,DOWN; тела по отношению к prev10 0.07x,2.48x,0.43x,0.43x,3.01x; закрытия: 3 шаг(а) по направлению и 1 против; тел по направлению 3, встречных тел 2; макс. встречный close-step 0.52%; явного замедления нет","у прототипа есть 2/3 продолжения после старта, здесь нет"
14,2023-11-05 16:00,2023-11-06 16:00,UP,questionable,7,7.5731,1.0561,0.4653,False,"как у прототипа, стартовое тело направлено в сторону UP и не достигает порога 1.5x prev10; движение собрано серией закрытий; конец окна проверен по последним барам","5 bars: тела UP,DOWN,UP,DOWN,UP; тела по отношению к prev10 1.06x,1.05x,1.19x,0.16x,1.97x; закрытия: 2 шаг(а) по направлению и 2 против; тел по направлению 3, встречных тел 2; макс. встречный close-step 0.93%; ускорение есть","5 bars: тела UP,DOWN,UP,UP,UP; тела по отношению к prev10 1.19x,0.16x,1.97x,0.08x,4.43x; закрытия: 3 шаг(а) по направлению и 1 против; тел по направлению 4, встречных тел 1; макс. встречный close-step 0.17%; явного замедления нет","у прототипа есть 2/3 продолжения после старта, здесь нет; закрытие стартовой свечи хуже привязано к направленному краю"
15,2023-11-18 12:00,2023-11-19 16:00,UP,questionable,8,6.9696,1.3607,0.9845,True,"как у прототипа, стартовое тело направлено в сторону UP и не достигает порога 1.5x prev10; движение собрано серией закрытий; конец окна проверен по последним барам","5 bars: тела UP,UP,UP,DOWN,DOWN; тела по отношению к prev10 1.36x,1.05x,0.50x,0.03x,0.32x; закрытия: 2 шаг(а) по направлению и 2 против; тел по направлению 3, встречных тел 2; макс. встречный close-step 0.50%; явного ускорения нет","5 bars: тела DOWN,DOWN,DOWN,UP,UP; тела по отношению к prev10 0.03x,0.32x,0.09x,0.70x,1.83x; закрытия: 2 шаг(а) по направлению и 2 против; тел по направлению 2, встречных тел 3; макс. встречный close-step 0.50%; явного замедления нет",после окончания окна другое поведение: есть/нет продолжение
17,2023-12-21 00:00,2023-12-21 20:00,UP,confirmed,6,7.7249,0.5857,0.7317,True,"как у прототипа, стартовое тело направлено в сторону UP и не достигает порога 1.5x prev10; движение собрано серией закрытий; конец окна проверен по последним барам","5 bars: тела UP,UP,UP,DOWN,UP; тела по отношению к prev10 0.59x,0.78x,2.39x,2.15x,2.47x; закрытия: 3 шаг(а) по направлению и 1 против; тел по направлению 4, встречных тел 1; макс. встречный close-step 2.10%; ускорение есть","5 bars: тела UP,UP,DOWN,UP,UP; тела по отношению к prev10 0.78x,2.39x,2.15x,2.47x,2.49x; закрытия: 3 шаг(а) по направлению и 1 против; тел по направлению 4, встречных тел 1; макс. встречный close-step 2.10%; явного замедления нет",отличие только в масштабе движения и календарном контексте
22,2023-10-25 00:00,2023-10-26 04:00,UP,confirmed,8,5.8402,0.2806,0.2836,True,"как у прототипа, стартовое тело направлено в сторону UP и не достигает порога 1.5x prev10; движение собрано серией закрытий; конец окна проверен по последним барам","5 bars: тела UP,DOWN,UP,UP,DOWN; тела по отношению к prev10 0.28x,0.57x,0.37x,2.42x,2.26x; закрытия: 2 шаг(а) по направлению и 2 против; тел по направлению 3, встречных тел 2; макс. встречный close-step 2.64%; ускорение есть","5 bars: тела UP,DOWN,FLAT,UP,UP; тела по отношению к prev10 2.42x,2.26x,0.00x,2.45x,1.36x; закрытия: 2 шаг(а) по направлению и 1 против; тел по направлению 3, встречных тел 1; макс. встречный close-step 2.64%; замедление есть",закрытие стартовой свечи хуже привязано к направленному краю; размер стартового тела отличается: 0.28x против 1.27x у прототипа
