case_id,start_time,end_time,direction,duration_bars,net_return_pct,start_first1_direction_score,start_first3_direction_score,start_first5_direction_score,start_directional_candle_share_5,start_avg_body,start_max_body,start_avg_body_vs_prev10,start_max_body_vs_prev10,start_consecutive_directional_closes_5,start_updates_prev10_extreme,start_first_pullback_depth_pct,start_acceleration,start_compression,dev_impulse_expansions,dev_pullback_count,dev_avg_pullback_depth_pct,dev_max_pullback_depth_pct,dev_extreme_update_count,dev_directional_bar_share,dev_tempo_change_ratio,end_first_strong_counter_time,end_active_reference_time,end_first_reference_overlap_time,end_max_reference_overlap_ratio,end_full_reference_body_overlap,end_failed_continuation_attempts,end_extreme_lost_after_end,end_type,abs_net_return_pct,cluster_id,cluster_distance,cluster_margin_to_next,borderline,norm_duration_bars,norm_net_return_pct,norm_abs_net_return_pct,norm_start_first1_direction_score,norm_start_first3_direction_score,norm_start_first5_direction_score,norm_start_avg_body_vs_prev10,norm_start_max_body_vs_prev10,norm_start_consecutive_directional_closes_5,norm_start_updates_prev10_extreme,norm_start_first_pullback_depth_pct,norm_start_acceleration,norm_start_compression,norm_dev_impulse_expansions,norm_dev_pullback_count,norm_dev_avg_pullback_depth_pct,norm_dev_max_pullback_depth_pct,norm_dev_extreme_update_count,norm_dev_directional_bar_share,norm_dev_tempo_change_ratio,norm_end_max_reference_overlap_ratio,norm_end_full_reference_body_overlap,norm_end_failed_continuation_attempts,norm_end_extreme_lost_after_end
1,2023-12-08 00:00,2023-12-09 04:00,UP,8,37.039500,1.000000,1.000000,0.800000,0.800000,0.021800,0.045400,3.411581,7.104851,3,1,3.486842,1,0,6,1,3.486842,3.486842,6,0.875000,1.155747,,2023-12-09 04:00,2023-12-09 12:00,1.197425,0,4,0,gradual,37.039500,1,3.854071,4.582090,0,0.529209,3.786091,5.059170,0.252646,1.390829,0.686950,2.979305,1.775896,0.984309,0.816497,2.708434,0.403473,-0.850963,2.360840,-0.770154,2.785202,2.275389,1.601106,1.491020,-0.303009,-0.514081,-1.333333,0.665896,-0.500000
2,2023-07-12 20:00,2023-07-14 00:00,UP,8,26.205500,1.000000,0.333333,0.600000,0.600000,0.006040,0.022600,4.345324,16.258993,2,1,0.873515,1,0,6,1,0.873515,0.873515,4,0.750000,9.526316,2023-07-14 16:00,2023-07-14 00:00,2023-07-14 04:00,9.574468,1,2,0,gradual,26.205500,2,0.000000,9.286570,0,0.529209,2.605734,3.207912,0.252646,-2.001440,-0.806419,4.294211,5.720528,-0.085592,0.816497,-0.080624,0.403473,-0.850963,2.360840,-0.770154,-0.196638,-0.336891,0.184198,0.155436,3.997870,1.547336,0.750000,-0.721388,-0.500000
3,2023-12-13 04:00,2023-12-14 08:00,UP,8,18.211200,1.000000,1.000000,1.000000,1.000000,0.022260,0.047900,1.739063,3.742187,4,1,0.000000,1,1,3,1,2.047414,2.047414,5,0.750000,0.409762,,2023-12-13 20:00,2023-12-14 12:00,3.560345,1,4,0,pause,18.211200,1,3.854071,1.111026,0,0.529209,1.734761,1.841888,0.252646,1.390829,2.180319,0.624049,0.326883,2.054210,0.816497,-1.012878,0.403473,1.175139,0.360128,-0.770154,1.142796,0.836538,0.892652,0.155436,-0.686303,0.067385,0.750000,0.665896,-0.500000
4,2023-12-05 08:00,2023-12-06 12:00,UP,8,12.887900,1.000000,1.000000,0.800000,0.800000,0.005440,0.018500,1.162393,3.952991,3,1,0.125125,1,1,3,1,0.125125,0.125125,7,0.875000,0.966292,2023-12-07 08:00,2023-12-06 12:00,2023-12-06 16:00,1.427536,1,3,0,gradual,12.887900,3,3.936095,1.657685,0,0.529209,1.154791,0.932270,0.252646,1.390829,0.686950,-0.188023,0.417721,0.984309,0.816497,-0.879339,0.403473,1.175139,0.360128,-0.770154,-1.050561,-1.084981,2.309560,1.491020,-0.400353,-0.457455,0.750000,-0.027746,-0.500000
5,2023-11-01 12:00,2023-11-02 16:00,UP,8,12.673600,1.000000,1.000000,0.800000,0.800000,0.005060,0.012400,1.514970,3.712575,3,1,1.076389,1,1,3,2,2.378472,3.680556,4,0.750000,1.878378,,2023-11-02 16:00,2023-11-03 04:00,0.524590,0,3,0,pause,12.673600,4,3.594335,1.061073,0,0.529209,1.131443,0.895651,0.252646,1.390829,0.686950,0.308479,0.314122,0.984309,0.816497,0.135892,0.403473,1.175139,0.360128,0.980196,1.520538,2.469026,0.184198,0.155436,0.068286,-0.679652,-1.333333,-0.027746,-0.500000
6,2023-12-26 20:00,2023-12-28 00:00,UP,8,11.920100,1.000000,0.666667,0.800000,0.800000,0.013720,0.019100,1.750000,2.436224,3,0,3.233999,1,0,4,2,1.938706,3.233999,5,0.750000,0.911184,2023-12-28 12:00,2023-12-28 00:00,2023-12-28 04:00,2.434457,1,3,0,counter_impulse,11.920100,4,3.151840,2.243792,0,0.529209,1.049350,0.766897,0.252646,-0.305303,0.686950,0.639451,-0.235873,0.984309,-1.224745,2.438589,0.403473,-0.850963,1.027032,0.980196,1.018759,2.022648,0.892652,0.155436,-0.428668,-0.209673,0.750000,-0.027746,-0.500000
7,2023-11-15 04:00,2023-11-16 04:00,UP,7,12.058700,1.000000,0.666667,0.800000,0.800000,0.005260,0.009500,0.765648,1.382824,2,1,0.197684,0,0,1,1,0.197684,0.197684,5,0.857143,0.972656,2023-11-16 12:00,2023-11-16 04:00,2023-11-16 12:00,2.946309,1,5,1,counter_impulse,12.058700,5,3.639382,1.892193,0,-0.863446,1.064450,0.790580,0.252646,-0.305303,0.686950,-0.746723,-0.689796,-0.085592,0.816497,-0.801901,-2.478479,-0.850963,-0.973680,-0.770154,-0.967770,-1.012451,0.892652,1.300224,-0.397083,-0.083717,0.750000,1.359538,2.000000
8,2023-12-10 12:00,2023-12-11 16:00,DOWN,8,-9.827500,0.000000,0.333333,0.600000,0.600000,0.010620,0.036100,0.693211,2.356397,3,1,0.879567,1,1,1,1,0.879567,0.879567,1,0.750000,0.523139,2023-12-11 20:00,2023-12-11 00:00,2023-12-12 04:00,1.332410,0,4,0,counter_impulse,9.827500,3,5.532138,0.684374,1,0.529209,-1.320035,0.409324,-3.958114,-2.001440,-0.806419,-0.848730,-0.270271,0.984309,0.816497,-0.074165,0.403473,1.175139,-0.973680,-0.770154,-0.189732,-0.330841,-1.941164,0.155436,-0.628049,-0.480864,-1.333333,0.665896,-0.500000
9,2023-10-22 16:00,2023-10-23 20:00,UP,8,9.214600,1.000000,1.000000,0.800000,0.800000,0.002800,0.003600,1.717791,2.208589,2,1,1.244168,1,1,5,1,1.244168,1.244168,4,0.750000,1.536000,2023-10-24 12:00,2023-10-23 20:00,2023-10-24 12:00,0.678261,0,3,0,pause,9.214600,3,3.191074,1.094036,0,0.529209,0.754588,0.304595,0.252646,1.390829,0.686950,0.594094,-0.333964,-0.085592,0.816497,0.314953,0.403473,1.175139,1.693936,-0.770154,0.226282,0.033614,0.184198,0.155436,-0.107631,-0.641836,-1.333333,-0.027746,-0.500000
10,2023-11-20 16:00,2023-11-21 20:00,DOWN,8,-9.074700,1.000000,0.666667,0.800000,0.800000,0.004460,0.006700,1.728682,2.596899,2,0,1.121591,1,0,5,1,1.121591,1.121591,4,0.875000,1.413043,2023-11-22 00:00,2023-11-21 20:00,2023-11-22 00:00,2.440945,1,3,0,counter_impulse,9.074700,3,3.642710,0.852543,0,0.529209,-1.238018,0.280690,0.252646,-0.305303,0.686950,0.609430,-0.166636,-0.085592,-1.224745,0.184134,0.403473,-0.850963,1.693936,-0.770154,0.086420,-0.088914,0.184198,1.491020,-0.170808,-0.208076,0.750000,-0.027746,-0.500000
