case_id,start_time,end_time,direction,cluster_id,cluster_distance,cluster_margin_to_next,borderline,end_type
1,2023-12-08 00:00,2023-12-09 04:00,UP,1,3.854071,4.582090,0,gradual
2,2023-07-12 20:00,2023-07-14 00:00,UP,2,0.000000,9.286570,0,gradual
3,2023-12-13 04:00,2023-12-14 08:00,UP,1,3.854071,1.111026,0,pause
4,2023-12-05 08:00,2023-12-06 12:00,UP,3,3.936095,1.657685,0,gradual
5,2023-11-01 12:00,2023-11-02 16:00,UP,4,3.594335,1.061073,0,pause
6,2023-12-26 20:00,2023-12-28 00:00,UP,4,3.151840,2.243792,0,counter_impulse
7,2023-11-15 04:00,2023-11-16 04:00,UP,5,3.639382,1.892193,0,counter_impulse
8,2023-12-10 12:00,2023-12-11 16:00,DOWN,3,5.532138,0.684374,1,counter_impulse
9,2023-10-22 16:00,2023-10-23 20:00,UP,3,3.191074,1.094036,0,pause
10,2023-11-20 16:00,2023-11-21 20:00,DOWN,3,3.642710,0.852543,0,counter_impulse
11,2023-12-17 04:00,2023-12-18 08:00,DOWN,6,3.051363,1.113923,0,counter_impulse
12,2023-07-18 20:00,2023-07-20 00:00,UP,6,3.145501,1.219193,0,gradual
13,2023-11-12 16:00,2023-11-13 20:00,DOWN,6,3.175895,1.590848,0,counter_impulse
14,2023-11-05 16:00,2023-11-06 16:00,UP,5,3.230681,0.248554,1,gradual
15,2023-11-18 12:00,2023-11-19 16:00,UP,3,4.553108,0.794517,0,pause
16,2023-08-16 20:00,2023-08-17 20:00,DOWN,6,5.414599,1.400159,0,gradual
17,2023-12-21 00:00,2023-12-21 20:00,UP,4,4.208492,0.762828,0,gradual
18,2023-11-09 20:00,2023-11-10 20:00,UP,4,2.656406,2.826508,0,sharp
19,2023-07-14 12:00,2023-07-15 16:00,DOWN,4,4.493122,2.543203,0,pause
20,2023-12-28 12:00,2023-12-29 12:00,DOWN,4,3.831849,0.948333,0,pause
21,2023-08-22 20:00,2023-08-24 00:00,UP,5,5.188724,0.088840,1,counter_impulse
22,2023-10-25 00:00,2023-10-26 04:00,UP,4,2.968071,1.001087,0,gradual
23,2023-12-15 00:00,2023-12-15 20:00,DOWN,5,4.464311,0.808541,0,counter_impulse
24,2023-11-08 04:00,2023-11-09 08:00,UP,5,3.682943,2.398343,0,sharp
25,2023-09-30 16:00,2023-10-01 20:00,UP,3,3.933396,1.735077,0,pause
26,2023-11-26 08:00,2023-11-27 12:00,DOWN,3,2.648626,1.802630,0,pause
27,2023-09-10 12:00,2023-09-11 16:00,DOWN,5,3.562911,0.997674,0,counter_impulse
28,2023-11-22 16:00,2023-11-23 20:00,UP,3,3.822635,0.867429,0,pause
29,2023-08-02 00:00,2023-08-03 04:00,DOWN,3,3.157411,0.571967,1,pause
30,2023-12-25 00:00,2023-12-25 20:00,UP,5,4.174569,2.193776,0,counter_impulse
31,2023-10-20 08:00,2023-10-21 12:00,UP,3,3.475479,1.174668,0,pause
32,2023-07-17 04:00,2023-07-18 08:00,DOWN,5,3.165033,1.125749,0,counter_impulse
33,2023-07-04 12:00,2023-07-05 12:00,DOWN,5,4.436786,0.212878,1,pause
34,2023-12-19 04:00,2023-12-20 00:00,DOWN,5,5.455394,1.389771,0,counter_impulse
35,2023-12-01 16:00,2023-12-02 20:00,UP,3,3.355729,1.438130,0,pause
36,2023-08-31 12:00,2023-09-01 16:00,DOWN,6,3.124348,1.339448,0,pause
37,2023-10-31 00:00,2023-11-01 00:00,DOWN,6,4.014616,1.392546,0,pause
38,2023-07-23 08:00,2023-07-24 12:00,DOWN,6,3.283910,1.579591,0,pause
39,2023-12-03 16:00,2023-12-04 20:00,UP,3,5.846257,0.101673,1,gradual
40,2023-08-21 04:00,2023-08-22 08:00,DOWN,3,3.030817,1.223547,0,sharp
41,2023-07-31 00:00,2023-08-01 00:00,DOWN,5,3.492648,1.368176,0,gradual
42,2023-09-28 08:00,2023-09-29 12:00,UP,6,3.521958,0.868711,0,sharp
43,2023-08-29 20:00,2023-08-31 00:00,DOWN,3,3.811905,1.088857,0,gradual
44,2023-10-27 08:00,2023-10-28 00:00,UP,6,4.746483,0.775572,0,gradual
45,2023-08-15 04:00,2023-08-16 08:00,DOWN,3,4.852340,1.499097,0,pause
46,2023-09-20 16:00,2023-09-21 20:00,DOWN,3,2.990396,1.288671,0,pause
47,2023-07-02 20:00,2023-07-04 00:00,UP,5,3.419439,0.958297,0,counter_impulse
48,2023-09-18 08:00,2023-09-19 12:00,UP,6,2.427244,1.443542,0,gradual
49,2023-07-07 08:00,2023-07-08 12:00,UP,5,3.224049,2.277873,0,pause
50,2023-10-09 08:00,2023-10-10 12:00,DOWN,6,2.809554,1.087467,0,pause
