move_id,direction,start_time,window_bars,net_return,abs_path_pct,efficiency_ratio,up_candle_share,down_candle_share,direction_changes,max_directional_run,range_pct,close_position_in_range,avg_body_change_first_to_last_third,avg_true_range_change_first_to_last_third,new_high_count,new_low_count,max_pullback_pct,failed_previous_direction_attempt,last5_directions,last5_bodies,last5_extremes,last5_acceleration,window_start_time,window_end_time,window_bars_available,assigned_state
M01,LONG,2023-09-11 16:00,50,-0.04791830322073837,0.2089552238805969,0.2293233082706766,0.5,0.5,24,6,0.08955223880597021,0.18421052631578977,0.3432835820895568,0.22522522522523625,5,6,0.06264501160092804,False,UDDDD,0.000800;0.001000;0.001500;0.003200;0.000700,H=0.250100;L=0.238200,true,2023-09-03 08:00,2023-09-11 12:00,50,TRANSITION
M01,LONG,2023-09-11 16:00,30,-0.055707051032333386,0.13128165173354156,0.42433234421364774,0.43333333333333335,0.5666666666666667,13,6,0.08881963381379047,0.18421052631578977,0.31818181818181324,0.4807692307692295,0,3,0.06082913599380082,False,UDDDD,0.000800;0.001000;0.001500;0.003200;0.000700,H=0.250100;L=0.238200,true,2023-09-06 16:00,2023-09-11 12:00,30,OPPOSITE_TREND
M01,LONG,2023-09-11 16:00,20,-0.044164037854889544,0.07886435331230313,0.5599999999999974,0.35,0.65,7,6,0.07847003154574134,0.21105527638191,-0.038961038961052075,0.8068965517241364,0,4,0.050900548159749454,False,UDDDD,0.000800;0.001000;0.001500;0.003200;0.000700,H=0.250100;L=0.238200,true,2023-09-08 08:00,2023-09-11 12:00,20,UNKNOWN
M01,LONG,2023-09-11 16:00,10,-0.03310729956122846,0.04826485839648961,0.6859504132231415,0.3,0.7,4,4,0.05943358595931391,0.2818791946308732,0.12500000000000444,0.019736842105264607,0,2,0.03310729956122846,False,UDDDD,0.000800;0.001000;0.001500;0.003200;0.000700,H=0.250100;L=0.238200,true,2023-09-10 00:00,2023-09-11 12:00,10,UNKNOWN
M01,LONG,2023-09-11 16:00,5,-0.025723472668810247,0.025723472668810247,1.0,0.2,0.8,0,4,0.04782958199356911,0.3529411764705892,-0.12499999999998701,0.8,0,3,0.025723472668810247,False,UDDDD,0.000800;0.001000;0.001500;0.003200;0.000700,H=0.250100;L=0.238200,true,2023-09-10 20:00,2023-09-11 12:00,5,UNKNOWN
M02,SHORT,2023-12-13 20:00,50,0.5974733713153332,1.5496655932623236,0.38554987212276215,0.6,0.4,18,7,0.6321525885558584,0.9686520376175548,1.1529525653436585,1.1910739191073887,19,0,0.5974733713153332,False,DUUUU,0.022100;0.001500;0.020300;0.047900;0.018400,H=0.652900;L=0.542400,true,2023-12-05 12:00,2023-12-13 16:00,50,OPPOSITE_TREND
M02,SHORT,2023-12-13 20:00,30,0.18027086383601762,0.7542093704245972,0.23901965542344103,0.5,0.5,10,6,0.2695827232796486,0.9456890699253224,0.08550913838120167,-0.010995542347697396,4,1,0.20971675107859689,False,DUUUU,0.022100;0.001500;0.020300;0.047900;0.018400,H=0.652900;L=0.542400,true,2023-12-08 20:00,2023-12-13 16:00,30,OPPOSITE_TREND
M02,SHORT,2023-12-13 20:00,20,0.0842299932750505,0.45141223940820435,0.18659217877094988,0.5,0.5,6,6,0.24764626765299258,0.9456890699253224,1.0678571428571413,0.08125952260030367,4,1,0.20971675107859689,False,DUUUU,0.022100;0.001500;0.020300;0.047900;0.018400,H=0.652900;L=0.542400,true,2023-12-10 12:00,2023-12-13 16:00,20,OPPOSITE_TREND
M02,SHORT,2023-12-13 20:00,10,0.08660488626790228,0.22914911541701768,0.3779411764705882,0.6,0.4,3,4,0.18618365627632694,0.927601809954751,1.1435643564356441,0.4634678298800421,3,2,0.1582255747126438,False,DUUUU,0.022100;0.001500;0.020300;0.047900;0.018400,H=0.652900;L=0.542400,true,2023-12-12 04:00,2023-12-13 16:00,10,OPPOSITE_TREND
M02,SHORT,2023-12-13 20:00,5,0.1582255747126438,0.1582255747126438,1.0,0.8,0.2,0,4,0.19845545977011503,0.927601809954751,-0.16742081447963453,0.19109947643978975,2,1,0.1582255747126438,False,DUUUU,0.022100;0.001500;0.020300;0.047900;0.018400,H=0.652900;L=0.542400,true,2023-12-13 00:00,2023-12-13 16:00,5,UNKNOWN
M03,LONG,2024-01-23 08:00,50,-0.11691449814126395,0.4641263940520437,0.25190228273928766,0.48,0.52,30,5,0.14442379182156131,0.055341055341055684,-0.22273249138920725,-0.03707995365005834,3,9,0.12423963133640546,False,UDDUD,0.002100;0.013500;0.003400;0.004200;0.007800,H=0.500400;L=0.472200,false,2024-01-15 00:00,2024-01-23 04:00,50,OPPOSITE_TREND
M03,LONG,2024-01-23 08:00,30,-0.08175492848859674,0.29822187862388816,0.27414128321451736,0.5,0.5,17,5,0.10688055662930039,0.07775768535262251,-0.2944228274967565,-0.1497948016415862,0,4,0.08704842428900837,False,UDDUD,0.002100;0.013500;0.003400;0.004200;0.007800,H=0.500400;L=0.472200,false,2024-01-18 08:00,2024-01-23 04:00,30,OPPOSITE_TREND
M03,LONG,2024-01-23 08:00,20,-0.06088159715358765,0.16485471437042867,0.3693045563549166,0.45,0.55,11,4,0.09586874876457806,0.05979381443298992,0.5638766519823792,0.5486238532110093,4,5,0.08246427191966013,False,UDDUD,0.002100;0.013500;0.003400;0.004200;0.007800,H=0.500400;L=0.472200,false,2024-01-20 00:00,2024-01-23 04:00,20,OPPOSITE_TREND
M03,LONG,2024-01-23 08:00,10,-0.07152628493257772,0.10162204416650378,0.7038461538461543,0.3,0.7,6,2,0.08364275942935313,0.0677570093457947,-0.12000000000000566,0.23426573426573127,0,6,0.07152628493257772,False,UDDUD,0.002100;0.013500;0.003400;0.004200;0.007800,H=0.500400;L=0.472200,false,2024-01-21 16:00,2024-01-23 04:00,10,UNKNOWN
M03,LONG,2024-01-23 08:00,5,-0.04136400322840993,0.05831315577078274,0.7093425605536338,0.4,0.6,2,2,0.05690072639225171,0.10283687943262479,2.714285714285718,0.0370370370370412,0,2,0.04136400322840993,False,UDDUD,0.002100;0.013500;0.003400;0.004200;0.007800,H=0.500400;L=0.472200,false,2024-01-22 12:00,2024-01-23 04:00,5,UNKNOWN
M04,SHORT,2024-03-14 08:00,50,0.15849335302806491,0.6025110782865585,0.263054670262319,0.58,0.42,22,5,0.18980797636632207,0.9221789883268482,-0.2930547713156405,-0.10394960019384503,6,0,0.15849335302806491,False,DUUDU,0.012600;0.005800;0.011800;0.004300;0.023900,H=0.794300;L=0.736600,true,2024-03-06 00:00,2024-03-14 04:00,50,OPPOSITE_TREND
M04,SHORT,2024-03-14 08:00,30,0.07232704402515716,0.3042111019961719,0.23775280898876366,0.5666666666666667,0.43333333333333335,12,5,0.1524473612250479,0.9103139013452914,0.46927374301676394,0.6671348314606762,7,3,0.09907511210762329,False,DUUDU,0.012600;0.005800;0.011800;0.004300;0.023900,H=0.794300;L=0.736600,true,2024-03-09 08:00,2024-03-14 04:00,30,OPPOSITE_TREND
M04,SHORT,2024-03-14 08:00,20,0.09907511210762329,0.23920964125560548,0.4141769185705914,0.6,0.4,6,5,0.15625000000000006,0.9103139013452914,-0.061285500747380706,-0.11186232329440737,6,0,0.09907511210762329,False,DUUDU,0.012600;0.005800;0.011800;0.004300;0.023900,H=0.794300;L=0.736600,true,2024-03-11 00:00,2024-03-14 04:00,20,OPPOSITE_TREND
M04,SHORT,2024-03-14 08:00,10,0.048389252773693374,0.10533351156262559,0.45939086294416137,0.7,0.3,4,3,0.12177516374816195,0.8902305159165751,6.547169811320824,0.16413793103448304,4,0,0.04979253112033197,False,DUUDU,0.012600;0.005800;0.011800;0.004300;0.023900,H=0.794300;L=0.736600,true,2024-03-12 16:00,2024-03-14 04:00,10,UNKNOWN
M04,SHORT,2024-03-14 08:00,5,0.04979253112033197,0.06130370766965624,0.812227074235805,0.6,0.4,2,2,0.07723196359255785,0.8266897746967069,0.896825396825391,0.7241379310344893,3,0,0.04979253112033197,False,DUUDU,0.012600;0.005800;0.011800;0.004300;0.023900,H=0.794300;L=0.736600,true,2024-03-13 12:00,2024-03-14 04:00,5,UNKNOWN
M05,LONG,2024-07-05 00:00,50,-0.07179487179487186,0.5148717948717948,0.13944223107569734,0.48,0.52,22,6,0.15923076923076934,0.014492753623188586,0.16023738872403426,0.3827349121466779,12,4,0.1339712918660287,False,DDDDD,0.003700;0.003500;0.003600;0.008700;0.015400,H=0.396900;L=0.361100,true,2024-06-26 16:00,2024-07-04 20:00,50,CHOP
M05,LONG,2024-07-05 00:00,30,-0.05086523335081287,0.3036182485579443,0.1675302245250435,0.43333333333333335,0.5666666666666667,13,6,0.1628211851074988,0.014492753623188586,0.847352024922116,1.025757575757571,13,2,0.1339712918660287,False,DDDDD,0.003700;0.003500;0.003600;0.008700;0.015400,H=0.396900;L=0.361100,true,2024-06-30 00:00,2024-07-04 20:00,30,TRANSITION
M05,LONG,2024-07-05 00:00,20,-0.10462527825871878,0.21048726193420716,0.49706227967097566,0.3,0.7,8,6,0.15359881276280002,0.014492753623188586,1.3526315789473742,1.2994923857868028,6,6,0.1339712918660287,False,DDDDD,0.003700;0.003500;0.003600;0.008700;0.015400,H=0.396900;L=0.361100,true,2024-07-01 16:00,2024-07-04 20:00,20,OPPOSITE_TREND
M05,LONG,2024-07-05 00:00,10,-0.11187438665358201,0.12757605495583904,0.8769230769230777,0.1,0.9,2,6,0.13763493621197262,0.0160427807486633,1.4298245614035165,0.40597014925373087,0,6,0.11187438665358201,False,DDDDD,0.003700;0.003500;0.003600;0.008700;0.015400,H=0.396900;L=0.361100,true,2024-07-03 08:00,2024-07-04 20:00,10,OPPOSITE_TREND
M05,LONG,2024-07-05 00:00,5,-0.07934893184130215,0.07934893184130215,1.0,0.0,1.0,0,4,0.09104781281790437,0.025139664804469608,3.16216216216219,1.4000000000000208,0,3,0.07934893184130215,False,DDDDD,0.003700;0.003500;0.003600;0.008700;0.015400,H=0.396900;L=0.361100,true,2024-07-04 04:00,2024-07-04 20:00,5,UNKNOWN
M06,SHORT,2024-07-16 00:00,50,0.24957841483979762,0.6481169196177625,0.38508239375542075,0.7,0.28,21,8,0.3265879707700955,0.9862306368330466,-0.13262032085561692,-0.13775794757389792,14,2,0.2959837019790453,False,UDUUU,0.003600;0.006600;0.003500;0.000400;0.009400,H=0.445600;L=0.430500,false,2024-07-07 16:00,2024-07-15 20:00,50,OPPOSITE_TREND
M06,SHORT,2024-07-16 00:00,30,0.14528593508500776,0.3379701184956205,0.42987804878048824,0.6666666666666666,0.3,16,4,0.16022668727460065,0.9742765273311899,0.22868217054262874,-0.06726457399103314,7,0,0.14708912931478615,False,UDUUU,0.003600;0.006600;0.003500;0.000400;0.009400,H=0.445600;L=0.430500,false,2024-07-11 00:00,2024-07-15 20:00,30,OPPOSITE_TREND
M06,SHORT,2024-07-16 00:00,20,0.07106721271982647,0.2382558419657908,0.2982810920121339,0.65,0.35,12,3,0.09250782943868945,0.9583333333333336,-0.3849765258215949,-0.12019230769230838,3,0,0.08161282487247987,False,UDUUU,0.003600;0.006600;0.003500;0.000400;0.009400,H=0.445600;L=0.430500,false,2024-07-12 16:00,2024-07-15 20:00,20,OPPOSITE_TREND
