move_id,base_state,same_shift_count,shift_count,shift_states,stable
M01,OPPOSITE_TREND,2,6,RANGE|TRANSITION|TRANSITION|OPPOSITE_TREND|OPPOSITE_TREND|RANGE,false
M02,OPPOSITE_TREND,2,6,TRANSITION|TRANSITION|OPPOSITE_TREND|OPPOSITE_TREND|TRANSITION|TRANSITION,false
M03,OPPOSITE_TREND,5,6,OPPOSITE_TREND|OPPOSITE_TREND|OPPOSITE_TREND|OPPOSITE_TREND|CHOP|OPPOSITE_TREND,false
M04,OPPOSITE_TREND,1,6,TRANSITION|TRANSITION|RANGE|OPPOSITE_TREND|TRANSITION|TRANSITION,false
M05,TRANSITION,0,6,CHOP|CHOP|CHOP|OPPOSITE_TREND|OPPOSITE_TREND|OPPOSITE_TREND,false
M06,OPPOSITE_TREND,6,6,OPPOSITE_TREND|OPPOSITE_TREND|OPPOSITE_TREND|OPPOSITE_TREND|OPPOSITE_TREND|OPPOSITE_TREND,true
M07,OPPOSITE_TREND,6,6,OPPOSITE_TREND|OPPOSITE_TREND|OPPOSITE_TREND|OPPOSITE_TREND|OPPOSITE_TREND|OPPOSITE_TREND,true
M08,CHOP,6,6,CHOP|CHOP|CHOP|CHOP|CHOP|CHOP,true
M09,OPPOSITE_TREND,6,6,OPPOSITE_TREND|OPPOSITE_TREND|OPPOSITE_TREND|OPPOSITE_TREND|OPPOSITE_TREND|OPPOSITE_TREND,true
M10,OPPOSITE_TREND,5,6,CHOP|OPPOSITE_TREND|OPPOSITE_TREND|OPPOSITE_TREND|OPPOSITE_TREND|OPPOSITE_TREND,false
M11,OPPOSITE_TREND,6,6,OPPOSITE_TREND|OPPOSITE_TREND|OPPOSITE_TREND|OPPOSITE_TREND|OPPOSITE_TREND|OPPOSITE_TREND,true
M12,CHOP,0,6,OPPOSITE_TREND|OPPOSITE_TREND|OPPOSITE_TREND|OPPOSITE_TREND|OPPOSITE_TREND|OPPOSITE_TREND,false
M13,OPPOSITE_TREND,6,6,OPPOSITE_TREND|OPPOSITE_TREND|OPPOSITE_TREND|OPPOSITE_TREND|OPPOSITE_TREND|OPPOSITE_TREND,true
M14,OPPOSITE_TREND,4,6,TRANSITION|TRANSITION|OPPOSITE_TREND|OPPOSITE_TREND|OPPOSITE_TREND|OPPOSITE_TREND,false
M15,OPPOSITE_TREND,6,6,OPPOSITE_TREND|OPPOSITE_TREND|OPPOSITE_TREND|OPPOSITE_TREND|OPPOSITE_TREND|OPPOSITE_TREND,true
