event_id,timestamp,direction,matched_group_id,cluster_id,cluster_name
F001,2023-08-16 16:00,LONG,M01,0,TREND_CONTINUATION
F002,2023-08-15 20:00,LONG,M01,0,TREND_CONTINUATION
F003,2023-08-17 00:00,LONG,M01,0,TREND_CONTINUATION
F004,2025-05-13 00:00,SHORT,M02,1,RANGE_WHIPSAW
F005,2025-05-11 20:00,SHORT,M02,1,RANGE_WHIPSAW
F006,2025-05-11 12:00,SHORT,M02,1,RANGE_WHIPSAW
F007,2024-10-06 04:00,LONG,M03,1,RANGE_WHIPSAW
F008,2024-08-28 08:00,LONG,M03,1,RANGE_WHIPSAW
F009,2023-08-04 08:00,LONG,M03,1,RANGE_WHIPSAW
F010,2024-10-07 16:00,SHORT,M04,1,RANGE_WHIPSAW
F011,2024-08-26 04:00,SHORT,M04,1,RANGE_WHIPSAW
F012,2024-09-29 04:00,SHORT,M04,1,RANGE_WHIPSAW
F013,2025-05-30 08:00,LONG,M05,1,RANGE_WHIPSAW
F014,2025-05-27 04:00,LONG,M05,2,TREND_CONTINUATION
F015,2025-06-03 12:00,LONG,M05,1,RANGE_WHIPSAW
F016,2024-09-28 04:00,SHORT,M06,1,RANGE_WHIPSAW
F017,2024-09-28 16:00,SHORT,M06,1,RANGE_WHIPSAW
F018,2024-09-27 04:00,SHORT,M06,1,RANGE_WHIPSAW
F019,2024-10-03 16:00,LONG,M07,1,RANGE_WHIPSAW
F020,2024-10-02 00:00,LONG,M07,1,RANGE_WHIPSAW
F021,2025-05-31 04:00,LONG,M07,1,RANGE_WHIPSAW
F022,2025-05-30 16:00,LONG,M08,1,RANGE_WHIPSAW
F023,2025-05-18 04:00,LONG,M08,1,RANGE_WHIPSAW
F024,2025-05-18 12:00,LONG,M08,1,RANGE_WHIPSAW
F025,2024-08-28 16:00,LONG,M09,1,RANGE_WHIPSAW
F026,2024-08-28 00:00,LONG,M09,1,RANGE_WHIPSAW
F027,2024-08-29 00:00,LONG,M09,1,RANGE_WHIPSAW
F028,2025-05-11 04:00,SHORT,M10,1,RANGE_WHIPSAW
F029,2025-05-12 16:00,SHORT,M10,1,RANGE_WHIPSAW
F030,2023-07-14 16:00,SHORT,M10,1,RANGE_WHIPSAW
F031,2024-10-04 16:00,LONG,M11,1,RANGE_WHIPSAW
F032,2025-05-18 20:00,LONG,M11,1,RANGE_WHIPSAW
F033,2023-07-18 20:00,LONG,M11,1,RANGE_WHIPSAW
F034,2025-05-14 00:00,SHORT,M12,1,RANGE_WHIPSAW
F035,2024-09-28 20:00,SHORT,M12,1,RANGE_WHIPSAW
F036,2024-09-29 00:00,SHORT,M12,1,RANGE_WHIPSAW
F037,2025-06-01 12:00,LONG,M13,1,RANGE_WHIPSAW
F038,2024-10-02 20:00,LONG,M13,1,RANGE_WHIPSAW
F039,2024-10-02 12:00,LONG,M13,1,RANGE_WHIPSAW
F040,2025-05-11 00:00,SHORT,M14,1,RANGE_WHIPSAW
F041,2023-07-14 12:00,SHORT,M14,1,RANGE_WHIPSAW
F042,2023-07-14 08:00,SHORT,M14,1,RANGE_WHIPSAW
F043,2024-10-04 00:00,LONG,M15,1,RANGE_WHIPSAW
F044,2024-10-03 20:00,LONG,M15,1,RANGE_WHIPSAW
F045,2025-05-19 08:00,LONG,M15,1,RANGE_WHIPSAW
