model,cluster_count,noise_count,min_cluster_size,max_cluster_size,silhouette,davies_bouldin,calinski_harabasz
kmeans_k2,2,0,14,31,0.28465606614848815,1.4484409298534429,16.6541945659738
agglo_k2,2,0,3,42,0.473763514590236,0.5587486333879708,14.452409270413666
kmeans_k3,3,0,4,35,0.4105513705624104,0.781869155245368,20.81153641184386
agglo_k3,3,0,1,41,0.36253957258785857,0.5282171578359316,9.447209689215146
kmeans_k4,4,0,3,25,0.36822043773791974,0.9189507597328138,26.317830582652395
agglo_k4,4,0,1,35,0.3849928341301721,0.5701411355912462,17.123311958878272
kmeans_k5,5,0,3,21,0.36875527664102137,0.8920523554024038,26.46720148612992
agglo_k5,5,0,1,31,0.32041416834737735,0.7408204570662213,17.084065486838046
kmeans_k6,6,0,3,15,0.33964147933313193,1.0574279508128486,25.53390514750415
agglo_k6,6,0,1,25,0.36614920304899384,0.7462549759866263,20.885663055101823
kmeans_k7,7,0,3,16,0.36113638022115896,0.9398947620044027,24.8015180290089
agglo_k7,7,0,1,17,0.36636602196289975,0.9506739231496859,23.445372134220563
dbscan_simple,3,11,4,24,0.40166237437186764,0.6670068933417204,34.40052496539734
