event_id,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045
F001,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F002,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F003,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F004,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4294478527607362,1.0,0.444794952681388,1.0,0.43125,0.3987730061349693,0.44047619047619047,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.40705128205128205,0.440625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F005,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4536741214057508,1.0,0.41214057507987223,1.0,0.4694533762057878,0.43302180685358255,0.4779874213836478,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4533333333333333,0.483974358974359,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F006,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.44126984126984126,1.0,0.4243421052631579,1.0,0.45302013422818793,0.41368078175895767,0.46417445482866043,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.436241610738255,0.45394736842105265,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F007,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4793650793650794,1.0,0.40634920634920635,1.0,0.4772727272727273,0.43260188087774293,0.48623853211009177,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45723684210526316,0.473015873015873,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F008,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39628482972136225,1.0,0.4794952681388013,1.0,0.40683229813664595,0.36503067484662577,0.41515151515151516,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3887147335423197,0.4095238095238095,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F009,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.43582089552238806,1.0,0.43558282208588955,1.0,0.43597560975609756,0.4066265060240964,0.4518950437317784,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41358024691358025,0.44072948328267475,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F010,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.44025157232704404,1.0,0.4394904458598726,1.0,0.44625407166123776,0.4119496855345912,0.4503105590062112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41,0.4416403785488959,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
