,horizon,signed_close_return_pct,signed_close_return_atr,mfe_pct,mfe_atr,mae_pct,mae_atr,efficiency_ratio,signed_efficiency,total_path_pct,total_path_atr,net_to_path_ratio,return_sign_changes,swing_direction_changes,number_of_local_pivots,high_low_range_pct,high_low_range_atr,range_expansion_vs_pre_event,range_expansion_vs_pre10,range_expansion_vs_pre60,realized_volatility,realized_volatility_ratio,realized_volatility_ratio_pre10,realized_volatility_ratio_pre60,rolling_range_contraction,atr_decay,realized_volatility_decay,inside_bar_fraction,overlap_ratio,body_range_ratio,mean_body_to_range,median_body_to_range,upper_wick_fraction,lower_wick_fraction,directional_body_fraction,large_body_fraction,doji_fraction,outside_bar_fraction,fraction_bars_in_event_direction,longest_same_direction_run,close_above_or_below_event_price_fraction,time_to_mfe,time_to_mae,time_to_new_extreme,initial_move_in_expected_direction,initial_move_against_expected_direction,bars_until_first_favorable_break,bars_until_first_adverse_break,mfe_before_mae,mae_before_mfe,delayed_mfe_after_30,delayed_mae_after_30,delayed_major_move_flag
horizon,1.0,0.05493163730364562,0.04758758859052347,0.35970496333329416,0.28598567610502107,-0.21930404641801424,-0.16890370822843148,-0.38315546775864584,-0.08387228047415433,0.906409647172019,0.8259736609602496,-0.08387228047415433,0.9681036551077903,0.9697327838820292,0.9697327838820292,0.6247132855330099,0.4066493657123186,0.40087480583122975,0.40772676849119754,0.41185771082412737,-0.10172678969085117,-0.07133723436920528,-0.05768427596740977,-0.06835256230043045,-0.1971214097570648,-0.1971214097570648,-0.14869621437256778,-0.06189309746073861,0.062375686655062386,-0.14468089129068437,-0.14468089129068437,-0.0877072662124249,0.09249579467159381,0.062184589331661926,-0.16215289091594304,-0.1301604568112612,0.10369295723863543,-0.031864073025006885,-0.16215289091594304,0.38048530841383427,0.050778645163260056,0.5712633849356247,0.523185139233716,0.5712633849356247,-1.6494742080145188e-16,1.7552097341692958e-16,4.473216042163333e-18,-3.7798675556280167e-17,0.054432109846721304,-0.04224693683092453,0.5628151536294748,-0.3591489448786428,
signed_close_return_pct,0.05493163730364562,1.0,0.9567831304553769,0.8284425640298503,0.7661572232607121,0.7117408419971383,0.6151637963556366,0.3349429282508714,0.8100666534511951,0.09976039584594505,0.08421263260154725,0.8100666534511951,0.08672999993823906,0.09680311408121124,0.09680311408121124,0.1650677698407075,0.08316499639664911,-0.05006282940008482,0.1987345518381291,-0.1055944523618804,0.05703383893034537,-0.23723372010676064,0.013495727350962506,-0.10199401035413118,0.16902074477572754,0.16902074477572754,0.10577757874523191,0.13327445280920594,0.03284970625618588,0.08263472043128718,0.08263472043128718,0.07102583007200905,-0.25592935464101674,0.2073350303773244,0.44599608241233896,0.19138024868898618,-0.05828066990931514,-0.1558663517508464,0.44599608241233896,0.11272003773102879,0.765671140174258,0.519984857805527,-0.4215910793468606,0.519984857805527,0.31048867407177144,-0.3104886740717714,-0.04779013782495806,0.24436251369979017,-0.6563893423500208,0.6434544493194477,0.45888266908472963,0.5393678729126548,
signed_close_return_atr,0.04758758859052347,0.9567831304553769,1.0,0.8191939466482804,0.8490749476999725,0.7124596593240046,0.6417463609666223,0.31618705632036964,0.7641617691505739,0.08922477695833839,0.1298323371217185,0.7641617691505739,0.06387964198125763,0.07528348827307246,0.07528348827307246,0.1541552442887046,0.12985912850846248,-0.04087227107379126,0.2977159763891986,-0.11322837598587022,0.02741739577200035,-0.22869844923930555,0.11572671342470342,-0.10268707484575076,0.21931533583059637,0.21931533583059637,0.1314782910295863,0.14961499502471126,0.04612087143533058,0.16438152357768762,0.16438152357768762,0.1643436034993488,-0.32042930360273053,0.18683368441127274,0.33117443087676673,0.29025259508988754,-0.03346647336004542,-0.17136461534055036,0.33117443087676673,0.04459825336347456,0.7175410242999231,0.48809175411516126,-0.3855567125844426,0.48809175411516126,0.29181837010514616,-0.2918183701051461,-0.03928276742643831,0.3184914888791291,-0.6226182107093696,0.6159152924140802,0.4497767664135213,0.5330561259527704,
mfe_pct,0.35970496333329416,0.8284425640298503,0.8191939466482804,1.0,0.8993875481927599,0.5663533673856964,0.5028419200844035,0.19901556544538926,0.6177793449615767,0.450153562444316,0.40017932889866487,0.6177793449615767,0.3412575555751196,0.3546690554866434,0.3546690554866434,0.5057182336045569,0.3043093493421799,0.1729900864541608,0.4585206545511662,0.12995669794868892,0.14564623063323848,-0.20595925791434166,0.0679593602602574,-0.09949534187162015,0.19258481829085825,0.19258481829085825,0.14253640448628374,0.08303877677263709,0.018442347759566203,0.06294720611746629,0.06294720611746629,0.04757524032350296,-0.2087321015008497,0.17441179771323304,0.2585233772707159,0.09413082297242291,-0.07136798198961053,-0.16368937705361233,0.2585233772707159,0.27757319956409227,0.7461635371259631,0.6581197682601174,-0.2177316026611291,0.6581197682601174,0.30311412999913223,-0.30311412999913206,-0.09011331480404584,0.22281776189890534,-0.5811526343339541,0.5738880257465363,0.5675877455516163,0.35870174052240666,
mfe_atr,0.28598567610502107,0.7661572232607121,0.8490749476999725,0.8993875481927599,1.0,0.5102051868938696,0.3905488997688849,0.2556943405976728,0.5562390082931592,0.3243034892474695,0.4896609158400293,0.5562390082931592,0.2751822054435711,0.2884524132530876,0.2884524132530876,0.45396366468373,0.4972026219661581,0.2900440833555692,0.6592585395485094,0.21720109549660876,0.055780142221142394,-0.06693354069142052,0.32586106510654866,0.031148107327617774,0.2672968816263776,0.2672968816263776,0.17782595335635784,0.0677996148126716,-0.031071651305213673,0.17858321863304719,0.17858321863304719,0.20872241101044448,-0.3138931208211746,0.1620579472993007,0.1068349382721475,0.24614128445663433,-0.031309247319462045,-0.1860496358190792,0.1068349382721475,0.04854281988736489,0.6338332935482061,0.5156979928540951,-0.18207282919565354,0.5156979928540951,0.3233214332810885,-0.32332143328108837,-0.07103364224814986,0.33198816740022435,-0.46875573011209837,0.46902597468132046,0.49457391856993727,0.36529918845635045,
mae_pct,-0.21930404641801424,0.7117408419971383,0.7124596593240046,0.5663533673856964,0.5102051868938696,1.0,0.9133919532163433,0.2900378263362483,0.6627123508230518,-0.2765951895451406,-0.3360580554273418,0.6627123508230518,-0.21108703060287917,-0.20350079006129512,-0.20350079006129512,-0.42458872220736643,-0.41938288475199925,-0.557273495224041,-0.20434736648606575,-0.6293742997603108,-0.2995657383068663,-0.6104005853221701,-0.3023410504651794,-0.5381881923483693,0.17683510899008703,0.17683510899008703,0.10278415590652855,0.17749937444461272,0.31072790304315434,0.018963984172510835,0.018963984172510835,0.03343728199772582,-0.04165844733075756,0.027164419081595118,0.25052533343734795,0.24976300338578275,0.11684285349978647,-0.17765415906640425,0.25052533343734795,0.038776614940116666,0.8145161095668393,0.24199041183379566,-0.36793804426915144,0.24199041183379566,0.41204015682715917,-0.41204015682715883,0.054321097180077896,0.14296285172531578,-0.5098526098986419,0.49581212695554155,0.24327980292925905,0.513527999900534,
mae_atr,-0.16890370822843148,0.6151637963556366,0.6417463609666223,0.5028419200844035,0.3905488997688849,0.9133919532163433,1.0,0.15424152247660342,0.5650740750178816,-0.16591681143297743,-0.3891522528657566,0.5650740750178816,-0.1901561701685792,-0.1826405947220185,-0.1826405947220185,-0.40370175705512273,-0.6045468870018127,-0.7145045555840379,-0.3123491698603021,-0.7685878351762478,-0.220946713917931,-0.7553249513519407,-0.4599260660149417,-0.697678278067706,0.12319405584598386,0.12319405584598386,0.0445539828773065,0.21727525973327122,0.3951336788775369,-0.00892987615301198,-0.00892987615301198,-0.04936179596855958,0.0024082886016279256,0.007784787290444536,0.22779187755297495,0.19359132329910145,0.09793351178084038,-0.15169119079177806,0.22779187755297495,0.18108273181744647,0.681135814410492,0.3035915297002513,-0.2806527285599549,0.3035915297002513,0.2649218199447891,-0.26492181994478886,0.04304423949469096,0.09761961455876077,-0.5240401088736305,0.5131850969823696,0.2324908598817914,0.4176188965920622,
efficiency_ratio,-0.38315546775864584,0.3349429282508714,0.31618705632036964,0.19901556544538926,0.2556943405976728,0.2900378263362483,0.15424152247660342,1.0,0.48130335988075806,-0.34869401211449014,-0.20090938872905972,0.48130335988075806,-0.3629827106058312,-0.3521920058139196,-0.3521920058139196,-0.08497023807983023,0.0758792310635316,0.028273246062658897,0.03743598218036324,-0.022986013413034148,-0.021388486056282168,0.030833694667221783,0.11472249630032365,0.08193896076336653,0.27246670706441717,0.27246670706441717,0.1454222712952064,-0.07222232743468113,-0.25310003673658044,0.1739741101453717,0.1739741101453717,0.15594930630601617,-0.26438049888381154,0.10835890164899845,0.207419481828367,0.10280332965217759,-0.19038053497025578,-0.14302135618224227,0.207419481828367,-0.27709271507895245,0.2799535467499531,-0.1725048106234191,-0.2963415028685537,-0.1725048106234191,0.26857703991275833,-0.26857703991275833,-0.07306371835296635,0.18209972102426303,-0.16897997160608275,0.14854367690479353,-0.12470788236814673,0.18089452525943728,
signed_efficiency,-0.08387228047415433,0.8100666534511951,0.7641617691505739,0.6177793449615767,0.5562390082931592,0.6627123508230518,0.5650740750178816,0.48130335988075806,1.0,-0.07390176391716702,-0.07897769974335915,1.0,-0.06593916105225828,-0.05977931278272566,-0.05977931278272566,-0.015036007949797557,-0.05126612097023455,-0.14082627735159814,0.04948224958326941,-0.20047949891089017,-0.10544847513022022,-0.3188377948113618,-0.10104300035344227,-0.21005550706772902,0.1970321092284145,0.1970321092284145,0.12250465790802105,0.10325617832946345,0.05338499904374636,0.04410562630112992,0.04410562630112992,0.05708765878160582,-0.16107792451969424,0.1399319593849239,0.581540985739139,0.17049388733198098,-0.020513269340191178,-0.10517903717922666,0.581540985739139,0.09556784667917359,0.7723929384744161,0.3254531558696179,-0.3523200288098677,0.3254531558696179,0.3813110064675895,-0.3813110064675894,-0.07663778481694294,0.1998446091600163,-0.6741208939907137,0.6535200858327946,0.14252025005704833,0.26147075526334623,
total_path_pct,0.906409647172019,0.09976039584594505,0.08922477695833839,0.450153562444316,0.3243034892474695,-0.2765951895451406,-0.16591681143297743,-0.34869401211449014,-0.07390176391716702,1.0,0.8277389078073555,-0.07390176391716705,0.8619140328474968,0.8669602628062996,0.8669602628062996,0.7840458413866519,0.4369902406587611,0.4500940320284688,0.4662629739669378,0.4667892215134429,0.22304104576436934,0.033982415207992306,0.053754451657137596,0.04534861727450618,-0.16912519347003563,-0.16912519347003563,-0.09875573418715257,-0.09567493240636396,-0.04078349117316541,-0.011586447354700947,-0.011586447354700947,-0.06931003745779132,-0.033673994643974754,0.05410183480662055,-0.11791813394205514,-0.1073161276515018,-0.08584995562045933,-0.03685922749112218,-0.11791813394205514,0.39120730935839054,0.026351636836358366,0.629633530328432,0.36865887603565456,0.629633530328432,-0.13333453475661033,0.13333453475661022,-0.07141478237495517,0.027771944551056776,-0.058550029577527835,0.0668284240326134,0.578031694991816,-0.2904025248778162,
