event_id,symbol,timeframe,timestamp,direction,matched_group_id,event_type,horizon,signed_close_return_pct,signed_close_return_atr,mfe_pct,mfe_atr,mae_pct,mae_atr,final_direction,efficiency_ratio,signed_efficiency,total_path_pct,total_path_atr,net_to_path_ratio,return_sign_changes,swing_direction_changes,number_of_local_pivots,high_low_range_pct,high_low_range_atr,range_expansion_vs_pre_event,range_expansion_vs_pre10,range_expansion_vs_pre60,realized_volatility,realized_volatility_ratio,realized_volatility_ratio_pre10,realized_volatility_ratio_pre60,rolling_range_contraction,atr_decay,realized_volatility_decay,inside_bar_fraction,overlap_ratio,body_range_ratio,mean_body_to_range,median_body_to_range,upper_wick_fraction,lower_wick_fraction,directional_body_fraction,large_body_fraction,doji_fraction,outside_bar_fraction,fraction_bars_in_event_direction,longest_same_direction_run,close_above_or_below_event_price_fraction,time_to_mfe,time_to_mae,time_to_new_extreme,initial_move_in_expected_direction,initial_move_against_expected_direction,bars_until_first_favorable_break,bars_until_first_adverse_break,mfe_before_mae,mae_before_mfe,delayed_mfe_after_30,delayed_mae_after_30,delayed_major_move_flag
F001,ADAUSDT,4H,2023-08-16 16:00,LONG,M01,MATCHED_NON_MAJOR,10,-0.030578813250819143,-1.9731543624161159,0.012741172187841293,0.8221476510067138,-0.15908263560247538,-10.265100671140958,AGAINST_EVENT_DIRECTION,0.18181818181818235,-0.18181818181818235,0.16818347287950478,10.852348993288604,-0.18181818181818235,5,4,4,0.17182380779031667,11.087248322147673,1.9748953974895413,2.371859296482415,1.4936708860759509,0.0255820057136951,4.028145706590627,3.146546782941271,4.109337262101601,2.067647058823528,2.067647058823528,3.1473721459814157,0.1111111111111111,0.4058804729945664,0.445175813453481,0.445175813453481,0.462121212121209,0.17116027666558145,0.3836639098809376,0.6,0.3,0.1,0.1111111111111111,0.6,3,0.3,3,7,3,0,1,1,1,1,0,0.0,-0.0,0
F001,ADAUSDT,4H,2023-08-16 16:00,LONG,M01,MATCHED_NON_MAJOR,20,-0.030578813250819143,-1.9731543624161159,0.012741172187841293,0.8221476510067138,-0.15908263560247538,-10.265100671140958,AGAINST_EVENT_DIRECTION,0.134615384615385,-0.134615384615385,0.22715689843465584,14.65771812080539,-0.134615384615385,12,11,11,0.17182380779031667,11.087248322147673,1.9748953974895413,2.371859296482415,1.4936708860759509,0.01910680395266535,3.008559655953608,2.3501070706650564,3.0692003715848157,0.400767018216682,0.400767018216682,0.33119398404959693,0.15789473684210525,0.46615512086170285,0.4076216326963201,0.4076216326963201,0.4512596899224772,0.23323954935028648,0.3591388179533935,0.6,0.25,0.1,0.15789473684210525,0.6,3,0.15,3,7,3,0,1,1,1,1,0,0.0,-0.0,0
F001,ADAUSDT,4H,2023-08-16 16:00,LONG,M01,MATCHED_NON_MAJOR,30,-0.0374954495813614,-2.4194630872483214,0.012741172187841293,0.8221476510067138,-0.15908263560247538,-10.265100671140958,AGAINST_EVENT_DIRECTION,0.123058542413381,-0.123058542413381,0.3046960320349468,19.66107382550337,-0.123058542413381,17,16,16,0.17182380779031667,11.087248322147673,1.9748953974895413,2.371859296482415,1.4936708860759509,0.016690998038422437,2.6281665651880814,2.052966712995518,2.681140054012089,0.49882168106834185,0.49882168106834185,0.47393936939577164,0.1724137931034483,0.48199956625460905,0.41393240302907575,0.41393240302907575,0.462121212121209,0.25530013431328374,0.3307674626576405,0.5666666666666667,0.23333333333333334,0.13333333333333333,0.1724137931034483,0.5666666666666667,3,0.1,3,7,3,0,1,1,1,1,0,0.0,-0.0,0
F001,ADAUSDT,4H,2023-08-16 16:00,LONG,M01,MATCHED_NON_MAJOR,60,-0.05132872224244631,-3.312080536912759,0.012741172187841293,0.8221476510067138,-0.15908263560247538,-10.265100671140958,AGAINST_EVENT_DIRECTION,0.10545998504113711,-0.10545998504113711,0.4867127775755359,31.406040268456373,-0.10545998504113711,33,31,31,0.17182380779031667,11.087248322147673,1.9748953974895413,2.371859296482415,1.4936708860759509,0.013244799806684728,2.0855277757751396,1.6290897081660196,2.127563803394369,0.6158280922431865,0.6158280922431865,0.5084682893562065,0.1864406779661017,0.5165560729423798,0.400457720233902,0.400457720233902,0.4330357142857107,0.28241152022759447,0.3171307595385034,0.4666666666666667,0.2,0.16666666666666666,0.1694915254237288,0.4666666666666667,3,0.05,3,7,3,0,1,1,1,1,0,-0.012377138696760154,-0.09137240626137609,0
F002,ADAUSDT,4H,2023-08-15 20:00,LONG,M01,MATCHED_NON_MAJOR,10,-0.046486870120652946,-3.3837638376383783,0.003193754435770092,0.2324723247232504,-0.06032647267565655,-4.39114391143912,AGAINST_EVENT_DIRECTION,0.6453201970443355,-0.6453201970443355,0.07203690560681329,5.243542435424353,-0.6453201970443355,4,4,4,0.06352022711142664,4.623616236162371,0.7336065573770509,0.9179487179487186,0.6067796610169507,0.009179014391598706,1.592865077123269,1.1649877190186089,1.5186575802403586,1.5315315315315408,1.5315315315315408,1.56690615207658,0.1111111111111111,0.5021747726374054,0.3580504416683552,0.3580504416683552,0.3494186046511586,0.260769958186048,0.38117960014559676,0.3,0.2,0.1,0.1111111111111111,0.3,2,0.0,1,6,1,0,1,1,1,1,0,0.0,-0.0,0
F002,ADAUSDT,4H,2023-08-15 20:00,LONG,M01,MATCHED_NON_MAJOR,20,-0.06742370475514556,-4.907749077490782,0.003193754435770092,0.2324723247232504,-0.18026969481902053,-13.12177121771218,AGAINST_EVENT_DIRECTION,0.29968454258675153,-0.29968454258675153,0.22498225691980092,16.37638376383762,-0.29968454258675153,11,11,11,0.18346344925479063,13.35424354243543,2.118852459016395,2.6512820512820485,1.7525423728813576,0.01874479262520373,3.2528465777254847,2.3790629660522313,3.101304802000767,1.6601423487544513,1.6601423487544513,2.700720593923754,0.15789473684210525,0.4787889456081678,0.4165848219412379,0.4165848219412379,0.41976744186047055,0.22016643460194874,0.36324874345681335,0.5,0.25,0.1,0.05263157894736842,0.5,3,0.0,1,12,1,0,1,1,1,1,0,0.0,-0.0,0
F002,ADAUSDT,4H,2023-08-15 20:00,LONG,M01,MATCHED_NON_MAJOR,30,-0.04151880766501061,-3.0221402214022124,0.003193754435770092,0.2324723247232504,-0.18026969481902053,-13.12177121771218,AGAINST_EVENT_DIRECTION,0.14426633785450066,-0.14426633785450066,0.28779276082327854,20.948339483394818,-0.14426633785450066,16,16,16,0.18346344925479063,13.35424354243543,2.118852459016395,2.6512820512820485,1.7525423728813576,0.016258222618038408,2.821343765194656,2.063470964858836,2.689904598332252,0.47984189723320125,0.47984189723320125,0.3779096896990736,0.1724137931034483,0.4967948717948718,0.415407123407832,0.415407123407832,0.41976744186047055,0.25018829901720085,0.33440457757496694,0.5333333333333333,0.2,0.06666666666666667,0.13793103448275862,0.5333333333333333,3,0.0,1,12,1,0,1,1,1,1,0,0.0,-0.0,0
F002,ADAUSDT,4H,2023-08-15 20:00,LONG,M01,MATCHED_NON_MAJOR,60,-0.07416607523065995,-5.398523985239849,0.003193754435770092,0.2324723247232504,-0.18026969481902053,-13.12177121771218,AGAINST_EVENT_DIRECTION,0.14917915774446835,-0.14917915774446835,0.49716110716820344,36.18819188191877,-0.14917915774446835,33,32,32,0.18346344925479063,13.35424354243543,2.118852459016395,2.6512820512820485,1.7525423728813576,0.013417146720531379,2.3283223594609845,1.7028855699361691,2.2198517948704466,0.7099358974358987,0.7099358974358987,0.6016895927154968,0.1864406779661017,0.5172112528394202,0.4088183253841533,0.4088183253841533,0.4408430232558118,0.28710310276677725,0.3040785718490694,0.45,0.21666666666666667,0.15,0.1694915254237288,0.45,3,0.0,1,12,1,0,1,1,1,1,0,-0.03300212916962376,-0.11426543647977291,0
F003,ADAUSDT,4H,2023-08-17 00:00,LONG,M01,MATCHED_NON_MAJOR,10,-0.04920405209840811,-2.6704067321178173,0.006512301013024689,0.35343618513324515,-0.1642547033285093,-8.91444600280506,AGAINST_EVENT_DIRECTION,0.2845188284518828,-0.2845188284518828,0.1729377713458756,9.385694249649388,-0.2845188284518828,6,5,5,0.170767004341534,9.267882187938305,1.5892255892255887,1.8294573643410819,1.2486772486772484,0.02556298222608116,3.9368162223231327,2.9550724228081706,4.143033535160432,0.5061349693251529,0.5061349693251529,0.37887424170399175,0.1111111111111111,0.43561891830730975,0.4946723933923149,0.4946723933923149,0.4976604278074824,0.2109097871147254,0.2944178194929596,0.6,0.4,0.1,0.1111111111111111,0.6,3,0.1,1,5,1,1,0,1,1,1,0,0.0,-0.0,0
F003,ADAUSDT,4H,2023-08-17 00:00,LONG,M01,MATCHED_NON_MAJOR,20,-0.030752532561504894,-1.6690042075736262,0.006512301013024689,0.35343618513324515,-0.1642547033285093,-8.91444600280506,AGAINST_EVENT_DIRECTION,0.13343799058084702,-0.13343799058084702,0.23046309696092612,12.507713884993006,-0.13343799058084702,12,11,11,0.170767004341534,9.267882187938305,1.5892255892255887,1.8294573643410819,1.2486772486772484,0.01917380146668516,2.9528531526589794,2.216485207144246,3.107528760550361,0.35947046843177133,0.35947046843177133,0.30224521893099626,0.15789473684210525,0.4738813325448459,0.44283728046904286,0.44283728046904286,0.462121212121209,0.25049508350453037,0.3066676360264268,0.6,0.25,0.05,0.21052631578947367,0.6,3,0.05,1,5,1,1,0,1,1,1,0,0.0,-0.0,0
