event_id,cluster_id,cluster_name,rule_based_class,confidence,horizon,delayed_major_move_flag
F001,0,TREND_CONTINUATION,TREND_CONTINUATION,HIGH,30,0
F002,0,TREND_CONTINUATION,TREND_CONTINUATION,HIGH,30,0
F003,0,TREND_CONTINUATION,TREND_CONTINUATION,HIGH,30,0
F004,1,RANGE_WHIPSAW,UNCLASSIFIED,LOW,30,0
F005,1,RANGE_WHIPSAW,UNCLASSIFIED,LOW,30,0
F006,1,RANGE_WHIPSAW,RANGE_WHIPSAW,HIGH,30,0
F007,1,RANGE_WHIPSAW,RANGE_WHIPSAW,HIGH,30,0
F008,1,RANGE_WHIPSAW,TREND_CONTINUATION,MEDIUM,30,0
F009,1,RANGE_WHIPSAW,UNCLASSIFIED,LOW,30,0
F010,1,RANGE_WHIPSAW,RANGE_WHIPSAW,HIGH,30,0
F011,1,RANGE_WHIPSAW,WEAK_REVERSAL,MEDIUM,30,0
F012,1,RANGE_WHIPSAW,WEAK_REVERSAL,MEDIUM,30,0
F013,1,RANGE_WHIPSAW,RANGE_WHIPSAW,HIGH,30,0
F014,2,TREND_CONTINUATION,TREND_CONTINUATION,HIGH,30,0
F015,1,RANGE_WHIPSAW,TREND_CONTINUATION,MEDIUM,30,0
F016,1,RANGE_WHIPSAW,WEAK_REVERSAL,MEDIUM,30,0
F017,1,RANGE_WHIPSAW,WEAK_REVERSAL,MEDIUM,30,0
F018,1,RANGE_WHIPSAW,WEAK_REVERSAL,MEDIUM,30,0
F019,1,RANGE_WHIPSAW,RANGE_WHIPSAW,HIGH,30,0
F020,1,RANGE_WHIPSAW,RANGE_WHIPSAW,HIGH,30,0
F021,1,RANGE_WHIPSAW,RANGE_WHIPSAW,HIGH,30,0
F022,1,RANGE_WHIPSAW,TREND_CONTINUATION,MEDIUM,30,0
F023,1,RANGE_WHIPSAW,UNCLASSIFIED,LOW,30,0
F024,1,RANGE_WHIPSAW,RANGE_WHIPSAW,HIGH,30,0
F025,1,RANGE_WHIPSAW,TREND_CONTINUATION,MEDIUM,30,0
F026,1,RANGE_WHIPSAW,TREND_CONTINUATION,MEDIUM,30,0
F027,1,RANGE_WHIPSAW,TREND_CONTINUATION,MEDIUM,30,0
F028,1,RANGE_WHIPSAW,RANGE_WHIPSAW,HIGH,30,0
F029,1,RANGE_WHIPSAW,WEAK_REVERSAL,MEDIUM,30,0
F030,1,RANGE_WHIPSAW,RANGE_WHIPSAW,HIGH,30,0
F031,1,RANGE_WHIPSAW,TREND_CONTINUATION,MEDIUM,30,0
F032,1,RANGE_WHIPSAW,RANGE_WHIPSAW,HIGH,30,0
F033,1,RANGE_WHIPSAW,RANGE_WHIPSAW,HIGH,30,0
F034,1,RANGE_WHIPSAW,WEAK_REVERSAL,MEDIUM,30,0
F035,1,RANGE_WHIPSAW,WEAK_REVERSAL,MEDIUM,30,0
F036,1,RANGE_WHIPSAW,WEAK_REVERSAL,MEDIUM,30,0
F037,1,RANGE_WHIPSAW,RANGE_WHIPSAW,HIGH,30,0
F038,1,RANGE_WHIPSAW,RANGE_WHIPSAW,HIGH,30,0
F039,1,RANGE_WHIPSAW,RANGE_WHIPSAW,HIGH,30,0
F040,1,RANGE_WHIPSAW,RANGE_WHIPSAW,HIGH,30,0
F041,1,RANGE_WHIPSAW,WEAK_REVERSAL,MEDIUM,30,0
F042,1,RANGE_WHIPSAW,WEAK_REVERSAL,MEDIUM,30,0
F043,1,RANGE_WHIPSAW,RANGE_WHIPSAW,HIGH,30,0
F044,1,RANGE_WHIPSAW,RANGE_WHIPSAW,HIGH,30,0
F045,1,RANGE_WHIPSAW,UNCLASSIFIED,LOW,30,0
