match_group,event_id,model
M14,F042,mean
M14,F041,mean
M10,F030,mean
M11,F033,mean
M03,F009,mean
M01,F002,mean
M01,F001,mean
M01,F003,mean
M01,M01,mean
M02,M02,mean
M03,M03,mean
M04,M04,mean
M05,M05,mean
M06,M06,mean
M07,M07,mean
M04,F011,mean
M09,F026,mean
M03,F008,mean
M09,F025,mean
M09,F027,mean
M08,M08,mean
M06,F018,mean
M06,F016,mean
M06,F017,mean
M12,F035,mean
M12,F036,mean
M04,F012,mean
M07,F020,mean
M13,F039,mean
M13,F038,mean
M07,F019,mean
M15,F044,mean
M15,F043,mean
M11,F031,mean
M03,F007,mean
M04,F010,mean
M09,M09,mean
M10,M10,mean
M11,M11,mean
M12,M12,mean
M13,M13,mean
M14,M14,mean
M15,M15,mean
M14,F040,mean
M10,F028,mean
M02,F006,mean
M02,F005,mean
M10,F029,mean
M02,F004,mean
M12,F034,mean
M08,F023,mean
M08,F024,mean
M11,F032,mean
M15,F045,mean
M05,F014,mean
M05,F013,mean
M08,F022,mean
M07,F021,mean
M13,F037,mean
M05,F015,mean
M14,F042,linear
M14,F041,linear
M10,F030,linear
M11,F033,linear
M03,F009,linear
M01,F002,linear
M01,F001,linear
M01,F003,linear
M01,M01,linear
M02,M02,linear
M03,M03,linear
M04,M04,linear
M05,M05,linear
M06,M06,linear
M07,M07,linear
M04,F011,linear
M09,F026,linear
M03,F008,linear
M09,F025,linear
M09,F027,linear
M08,M08,linear
M06,F018,linear
M06,F016,linear
M06,F017,linear
M12,F035,linear
M12,F036,linear
M04,F012,linear
M07,F020,linear
M13,F039,linear
M13,F038,linear
M07,F019,linear
M15,F044,linear
M15,F043,linear
M11,F031,linear
M03,F007,linear
M04,F010,linear
M09,M09,linear
M10,M10,linear
M11,M11,linear
M12,M12,linear
M13,M13,linear
M14,M14,linear
M15,M15,linear
M14,F040,linear
M10,F028,linear
M02,F006,linear
M02,F005,linear
M10,F029,linear
M02,F004,linear
M12,F034,linear
M08,F023,linear
M08,F024,linear
M11,F032,linear
M15,F045,linear
M05,F014,linear
M05,F013,linear
M08,F022,linear
M07,F021,linear
M13,F037,linear
M05,F015,linear
M14,F042,ridge
M14,F041,ridge
M10,F030,ridge
M11,F033,ridge
M03,F009,ridge
M01,F002,ridge
M01,F001,ridge
