event_id,horizon,signed_close_return_atr,signed_close_return_pct,MFE_atr,MAE_atr,signed_efficiency,net_to_path_ratio,directional_persistence,longest_directional_run,time_to_MFE,time_to_MAE,path_length_atr,high_low_range_atr,number_of_sign_changes,number_of_local_pivots,reversal_after_MFE
F042,10,2.2915789473684223,0.08855353075170848,2.578947368421055,-0.022105263157892303,0.5123558484349263,0.5123558484349263,0.8,5,2,1,4.472631578947367,2.6010526315789475,4,4,1
F042,20,3.0431578947368423,0.11759681093394078,3.404210526315791,-0.022105263157892303,0.4785631517960607,0.4785631517960607,0.7,5,18,1,6.358947368421048,3.426315789473683,10,10,0
F042,30,2.5494736842105277,0.09851936218678821,3.8536842105263167,-0.022105263157892303,0.2873754152823924,0.2873754152823924,0.6333333333333333,5,26,1,8.871578947368414,3.8757894736842093,17,17,1
F042,60,3.3157894736842093,0.128132118451025,3.8536842105263167,-0.022105263157892303,0.22681451612903208,0.22681451612903208,0.6,5,26,1,14.61894736842106,3.8757894736842093,36,36,1
F041,10,1.9250897896357098,0.07714450201496831,2.2411493073370963,-0.021549512570550614,0.46689895470383297,0.46689895470383297,0.7,5,1,1,4.123140071831704,2.262698819907647,5,4,1
F041,20,2.5643919958953316,0.10276338514680487,3.0456644433042577,-0.021549512570550614,0.4234875444839865,0.4234875444839865,0.65,5,17,1,6.055413032324259,3.0672139558748084,11,10,0
F041,30,2.492560287326835,0.0998848589522165,3.483837865572087,-0.021549512570550614,0.2879668049792535,0.2879668049792535,0.6333333333333333,5,25,1,8.65572088250384,3.505387378142638,18,17,1
F041,60,3.2252437147254995,0.12924582613701785,3.483837865572087,-0.021549512570550614,0.226424609178013,0.226424609178013,0.6,5,25,1,14.244227809132894,3.505387378142638,36,35,1
F030,10,-0.08117752007136632,-0.00404858299595149,0.2747546833184666,-1.011596788581623,-0.03951367781155088,-0.03951367781155088,0.6,5,8,4,2.0544157002676173,1.2863514719000897,4,3,0
F030,20,0.7243532560214094,0.03612581750233572,1.0053523639607496,-1.011596788581623,0.19269102990033266,0.19269102990033266,0.65,5,16,4,3.7591436217662717,2.016949152542373,11,10,0
F030,30,-0.1748438893844797,-0.008720024914356975,1.3862622658340766,-1.011596788581623,-0.026565464895635924,-0.026565464895635924,0.6,5,24,4,6.5816235504014236,2.3978590544157,18,17,1
F030,60,1.1239964317573605,0.056057303020865826,1.3862622658340766,-1.011596788581623,0.10428736964078798,0.10428736964078798,0.5833333333333334,5,24,4,10.777876895628909,2.3978590544157,36,35,1
F033,10,1.0769230769230762,0.026179702650290872,3.031339031339029,-0.3589743589743637,0.16981132075471664,0.16981132075471664,0.4,1,7,1,6.341880341880351,3.390313390313393,7,6,1
F033,20,0.43874643874643465,0.010665804783451744,3.031339031339029,-0.3589743589743637,0.055462184873948966,0.055462184873948966,0.45,3,7,1,7.910731244064591,3.390313390313393,13,12,1
F033,30,1.0104463437796765,0.024563671622495137,3.031339031339029,-0.47863247863247754,0.0992167101827675,0.0992167101827675,0.4666666666666667,3,7,24,10.184235517568858,3.509971509971507,18,17,1
F033,60,0.05318138651472137,0.001292824822236624,3.031339031339029,-1.2896486229819544,0.003110419906687484,0.003110419906687484,0.48333333333333334,3,7,34,17.097815764482473,4.320987654320984,39,36,1
