shift,feature,spearman,n
-3,new_low_count,-0.29448884387939217,60
-3,pre_net_return_atr,0.36026674076132265,60
-3,distance_from_30bar_high,-0.39083078632953605,60
-3,range_expansion_ratio,-0.31891389520130564,60
-3,new_high_count,0.2815496789072792,60
-2,new_low_count,-0.3476571734367973,60
-2,pre_net_return_atr,0.3606557377049181,60
-2,distance_from_30bar_high,-0.39166435120866916,60
-2,range_expansion_ratio,-0.37427047781811185,60
-2,new_high_count,0.2666745769330346,60
-1,new_low_count,-0.3642202572198792,60
-1,pre_net_return_atr,0.39288691303139767,60
-1,distance_from_30bar_high,-0.37849402611836624,60
-1,range_expansion_ratio,-0.281767284579916,60
-1,new_high_count,0.29383291931122957,60
0,new_low_count,-0.407626031258501,60
0,pre_net_return_atr,0.3670464017782718,60
0,distance_from_30bar_high,-0.3539872186718534,60
0,range_expansion_ratio,-0.3253512938747081,60
0,new_high_count,0.3172026037471166,60
1,new_low_count,-0.35216602306035644,60
1,pre_net_return_atr,0.29430397332592395,60
1,distance_from_30bar_high,-0.24879133092525707,60
1,range_expansion_ratio,-0.3340283363010876,60
1,new_high_count,0.3221751320815775,60
2,new_low_count,-0.3548331668228977,60
2,pre_net_return_atr,0.41672686857460417,60
2,distance_from_30bar_high,-0.3404834676298973,60
2,range_expansion_ratio,-0.2555291892063821,60
2,new_high_count,0.34826735898522243,60
3,new_low_count,-0.4128920586533619,60
3,pre_net_return_atr,0.444456793553765,60
3,distance_from_30bar_high,-0.4111697693803835,60
3,range_expansion_ratio,-0.22486346233284937,60
3,new_high_count,0.41826632658662183,60
