validation,model,quartile,n,probability_mean,major_rate,major_count,severity_mean
group_oof,Model 0,1,15,0.47085509687473437,0.13333333333333333,2,0.7109843936122057
group_oof,Model 0,2,15,0.4944529045278204,0.4,6,0.14526901167362383
group_oof,Model 0,3,15,0.512629956028304,0.2,3,-0.4240901134051631
group_oof,Model 0,4,15,0.5213171512662503,0.26666666666666666,4,-0.036512509071005124
group_oof,Model 1,1,15,0.2880921443871792,0.26666666666666666,4,0.3337980964354407
group_oof,Model 1,2,15,0.44508289908342463,0.3333333333333333,5,0.23128097363148187
group_oof,Model 1,3,15,0.5307568348922431,0.2,3,0.14842542057096228
group_oof,Model 1,4,15,0.6382724205093238,0.2,3,-0.31785370782822364
group_oof,Model 2,1,15,0.05875671539574527,0.06666666666666667,1,-0.3062422464034713
group_oof,Model 2,2,15,0.22079591357012793,0.13333333333333333,2,0.19255509515060265
group_oof,Model 2,3,15,0.4587691232728575,0.2,3,0.12613274301882882
group_oof,Model 2,4,15,0.8406791167116434,0.6,9,0.38320519104370104
group_oof,Model 3,1,15,0.05881929781502378,0.06666666666666667,1,-0.3062422464034713
group_oof,Model 3,2,15,0.21911321996758992,0.13333333333333333,2,0.19255509515060265
group_oof,Model 3,3,15,0.4608075763327726,0.2,3,0.1261327430188288
group_oof,Model 3,4,15,0.8417662693817044,0.6,9,0.38320519104370104
temporal,Model 0,1,5,0.4800867052845206,0.2,1,0.9572050232217609
temporal,Model 0,2,5,0.49686432304081707,0.4,2,0.36011613609295134
temporal,Model 0,3,5,0.5136618698821307,0.0,0,-0.3325362145775628
temporal,Model 0,4,5,0.518745703521984,0.4,2,0.6902848516108981
temporal,Model 1,1,5,0.2531734760345404,0.0,0,-0.04204419309935424
temporal,Model 1,2,5,0.40974672934787365,0.4,2,1.5987744623786633
temporal,Model 1,3,5,0.49806192081618816,0.2,1,0.055790162844734856
temporal,Model 1,4,5,0.6356554318435212,0.4,2,0.06254936422400385
temporal,Model 2,1,5,0.05839952434764312,0.2,1,0.05335602658483518
temporal,Model 2,2,5,0.17491145252129234,0.0,0,0.8070174185088123
temporal,Model 2,3,5,0.33871737228065146,0.2,1,-0.12042066189268189
temporal,Model 2,4,5,0.7835490425958087,0.6,3,0.935117013147082
temporal,Model 3,1,5,0.05856835898179902,0.0,0,0.040719042502149826
temporal,Model 3,2,5,0.17475211619687603,0.2,1,0.8196544025914976
temporal,Model 3,3,5,0.33179766125218496,0.4,2,0.15813945237781776
temporal,Model 3,4,5,0.7773608050461489,0.4,2,0.6565568988765824
