removed,removed_type,model,n,roc_auc,pr_auc,balanced_accuracy,brier_score,log_loss,spearman_prob_severity,prevalence
M11,match_group,Model 0,16,0.6041666666666666,0.6375,0.5,0.24843784744087472,0.6900192643551296,-0.3029411764705882,0.25
M11,match_group,Model 3,16,0.9166666666666666,0.8166666666666667,0.7916666666666667,0.11589656665220746,0.37040452577947236,0.11470588235294117,0.25
M12,match_group,Model 0,16,0.5416666666666666,0.42234848484848486,0.5,0.25309326093813056,0.6993345565201348,-0.2029411764705882,0.25
M12,match_group,Model 3,16,0.75,0.625,0.75,0.16943105930177427,0.4943936588674763,0.0029411764705882353,0.25
M13,match_group,Model 0,16,0.4791666666666667,0.33392857142857146,0.5,0.24938630090934139,0.6919184774652435,-0.5294117647058824,0.25
M13,match_group,Model 3,16,0.7291666666666666,0.5659090909090909,0.625,0.19123184818124278,0.5379386776914801,0.02647058823529412,0.25
M14,match_group,Model 0,16,0.5833333333333334,0.43127705627705626,0.5,0.25302632958980076,0.6992003721125202,-0.31764705882352945,0.25
M14,match_group,Model 3,16,0.6666666666666666,0.42692307692307696,0.625,0.20240500921117732,0.5833477787508214,-0.15294117647058825,0.25
M15,match_group,Model 0,16,0.4583333333333333,0.325,0.5,0.24976975511138697,0.6926857642746606,-0.44117647058823534,0.25
M15,match_group,Model 3,16,0.8125,0.6950757575757576,0.7083333333333333,0.140739961649771,0.428130899335583,0.19705882352941176,0.25
M11,major_event,Model 0,19,0.55,0.40199055330634276,0.45,0.25137194799235024,0.6958903397676283,-0.3666666666666667,0.21052631578947367
M11,major_event,Model 3,19,0.8833333333333333,0.6845238095238095,0.775,0.13560804784289912,0.41245401821828764,0.019298245614035085,0.21052631578947367
M12,major_event,Model 0,19,0.5833333333333334,0.4124800637958533,0.575,0.25020386947797535,0.693553798529861,-0.3543859649122807,0.21052631578947367
M12,major_event,Model 3,19,0.7666666666666667,0.613095238095238,0.775,0.14750465785981517,0.446598787170512,-0.02631578947368421,0.21052631578947367
M13,major_event,Model 0,19,0.43333333333333335,0.2853238866396761,0.45,0.25186544573101677,0.6968783997619596,-0.5859649122807017,0.21052631578947367
M13,major_event,Model 3,19,0.7333333333333333,0.5464285714285715,0.65,0.16927830710198988,0.4931105390612671,-0.09473684210526316,0.21052631578947367
M14,major_event,Model 0,19,0.6666666666666666,0.43127705627705626,0.575,0.24958196977057837,0.6923085717178264,-0.3140350877192983,0.21052631578947367
M14,major_event,Model 3,19,0.7166666666666667,0.42142857142857143,0.65,0.17256931494756592,0.5082089255701628,-0.0912280701754386,0.21052631578947367
M15,major_event,Model 0,19,0.43333333333333335,0.2853238866396761,0.45,0.2517875549251403,0.6967223618264131,-0.5070175438596491,0.21052631578947367
M15,major_event,Model 3,19,0.7666666666666667,0.613095238095238,0.65,0.16497217728551455,0.4831021101279635,-0.02631578947368421,0.21052631578947367
,direction_LONG,Model 0,12,0.37037037037037035,0.3242424242424242,0.5,0.23651086609718264,0.6664968502372245,-0.11188811188811189,0.25
,direction_LONG,Model 3,12,0.8518518518518519,0.8095238095238095,0.8333333333333333,0.09217816808437601,0.3457842786326133,0.0,0.25
,direction_SHORT,Model 0,8,0.4166666666666667,0.375,0.6666666666666667,0.2347754339932545,0.668037949930172,-0.2380952380952381,0.25
,direction_SHORT,Model 3,8,0.9166666666666666,0.8333333333333333,0.75,0.09168843224559084,0.3041002756759109,0.09523809523809526,0.25
