validation,fold_group,model,feature,coefficient
group_oof,M01,Model 0,pre_net_return_atr,-0.08358935849721776
group_oof,M02,Model 0,pre_net_return_atr,-0.06177115948523399
group_oof,M03,Model 0,pre_net_return_atr,-0.0954197923420341
group_oof,M04,Model 0,pre_net_return_atr,-0.058865885048113166
group_oof,M05,Model 0,pre_net_return_atr,-0.09081346057314811
group_oof,M06,Model 0,pre_net_return_atr,-0.08001620935445143
group_oof,M07,Model 0,pre_net_return_atr,-0.06462455948215941
group_oof,M08,Model 0,pre_net_return_atr,-0.07463870054845786
group_oof,M09,Model 0,pre_net_return_atr,-0.08627320288702887
group_oof,M10,Model 0,pre_net_return_atr,-0.05689732798992622
group_oof,M11,Model 0,pre_net_return_atr,-0.10330732400276764
group_oof,M12,Model 0,pre_net_return_atr,-0.058073653910283914
group_oof,M13,Model 0,pre_net_return_atr,-0.0522551986405385
group_oof,M14,Model 0,pre_net_return_atr,-0.09981920428392894
group_oof,M15,Model 0,pre_net_return_atr,-0.04732499464464069
group_oof,M01,Model 1,price_minus_ema27_atr,0.14474156782570277
group_oof,M01,Model 1,ema27_slope_5,-0.5722075138579568
group_oof,M01,Model 1,ema27_slope_10,-0.3657174758384834
group_oof,M01,Model 1,ema27_slope_change,-0.8150134228514887
group_oof,M01,Model 1,fraction_last10_above_ema27,0.5482001839067037
group_oof,M01,Model 1,number_of_ema27_crosses_last20,-0.18075176136898616
group_oof,M01,Model 1,distance_change_to_ema27_last10,0.6726447064116359
group_oof,M02,Model 1,price_minus_ema27_atr,0.04991172705186438
group_oof,M02,Model 1,ema27_slope_5,-0.5190254746197794
group_oof,M02,Model 1,ema27_slope_10,-0.356688693981454
group_oof,M02,Model 1,ema27_slope_change,-0.6828806307923075
group_oof,M02,Model 1,fraction_last10_above_ema27,0.5679084708301545
group_oof,M02,Model 1,number_of_ema27_crosses_last20,-0.41499097957580733
group_oof,M02,Model 1,distance_change_to_ema27_last10,0.5622397353413253
group_oof,M03,Model 1,price_minus_ema27_atr,0.06740937432170784
group_oof,M03,Model 1,ema27_slope_5,-0.533220387536116
group_oof,M03,Model 1,ema27_slope_10,-0.3583508311252573
group_oof,M03,Model 1,ema27_slope_change,-0.7143802806384748
group_oof,M03,Model 1,fraction_last10_above_ema27,0.5409878682103746
group_oof,M03,Model 1,number_of_ema27_crosses_last20,-0.22628142214476735
group_oof,M03,Model 1,distance_change_to_ema27_last10,0.713085028007239
group_oof,M04,Model 1,price_minus_ema27_atr,0.18426282214204603
group_oof,M04,Model 1,ema27_slope_5,-0.46669718830423346
group_oof,M04,Model 1,ema27_slope_10,-0.3053859115459301
group_oof,M04,Model 1,ema27_slope_change,-0.6725964494936661
group_oof,M04,Model 1,fraction_last10_above_ema27,0.42142712068718763
