validation,split,model,n,roc_auc,pr_auc,balanced_accuracy,brier_score,log_loss,spearman_prob_severity,prevalence,r2,spearman,mae,rmse
temporal,TRAIN,Model 0,40,0.5066666666666667,0.2848812967633294,0.5,0.2497967861750972,0.6927386893004022,-0.4127579737335835,0.25,,,,
temporal,TEMPORAL_TEST,Model 0,20,0.5333333333333333,0.395021645021645,0.5,0.25074269879790684,0.6946316869455378,-0.3759398496240601,0.25,,,,
temporal,TRAIN,Model 1,40,0.6533333333333333,0.4359985014985015,0.5666666666666667,0.22759980741868793,0.6451971882110261,-0.016697936210131333,0.25,,,,
temporal,TEMPORAL_TEST,Model 1,20,0.72,0.5353646353646354,0.5666666666666667,0.21362587190670235,0.6088219881535741,-0.11879699248120301,0.25,,,,
temporal,TRAIN,Model 2,40,0.9533333333333334,0.865981240981241,0.9333333333333333,0.10484927752732313,0.3394829105841032,0.3431519699812383,0.25,,,,
temporal,TEMPORAL_TEST,Model 2,20,0.7733333333333333,0.6301190476190477,0.7,0.1635855297038371,0.48379532965754973,0.018045112781954885,0.25,,,,
temporal,TRAIN,Model 3,40,0.9533333333333334,0.865981240981241,0.8833333333333333,0.10445759026967685,0.3387289465494697,0.3365853658536586,0.25,,,,
temporal,TEMPORAL_TEST,Model 3,20,0.7733333333333333,0.6142857142857143,0.7,0.1639408889992346,0.48284310808496667,0.02857142857142857,0.25,,,,
temporal_severity,TEMPORAL_TEST,Model 0,20,,,,,,,,-0.3249126049744677,0.3759398496240601,0.6636174395024057,1.197638734349173
temporal_severity,TEMPORAL_TEST,Model 3,20,,,,,,,,-0.19921417166590416,0.39999999999999997,0.7108970832961914,1.1394114876467811
