known_id,known_label,known_time,direction,matched_event_id,distance_bars,match_status,period
M01,MAJOR,2023-09-11 16:00:00,LONG,CG0006,2,MATCHED,development
M02,MAJOR,2023-12-13 20:00:00,SHORT,CG0027,5,RETROSPECTIVE_ONLY,development
M03,MAJOR,2024-01-23 08:00:00,LONG,CG0038,5,RETROSPECTIVE_ONLY,development
M04,MAJOR,2024-03-14 08:00:00,SHORT,CG0053,23,RETROSPECTIVE_ONLY,development
M05,MAJOR,2024-07-05 00:00:00,LONG,CG0085,7,RETROSPECTIVE_ONLY,development
M06,MAJOR,2024-07-16 00:00:00,SHORT,CG0088,4,RETROSPECTIVE_ONLY,development
M07,MAJOR,2024-08-05 08:00:00,LONG,CG0093,4,RETROSPECTIVE_ONLY,development
M08,MAJOR,2024-09-06 16:00:00,LONG,CG0101,11,RETROSPECTIVE_ONLY,development
M09,MAJOR,2024-10-26 12:00:00,LONG,CG0115,1,MATCHED,development
M10,MAJOR,2024-12-03 00:00:00,SHORT,CG0125,3,MATCHED,development
F001,NON_MAJOR,2023-08-16 16:00:00,LONG,CG0002,3,MATCHED,development
F002,NON_MAJOR,2023-08-15 20:00:00,LONG,CG0002,8,RETROSPECTIVE_ONLY,development
F003,NON_MAJOR,2023-08-17 00:00:00,LONG,CG0002,1,MATCHED,development
F007,NON_MAJOR,2024-10-06 04:00:00,LONG,CG0110,0,MATCHED,development
F008,NON_MAJOR,2024-08-28 08:00:00,LONG,CG0098,0,MATCHED,development
F009,NON_MAJOR,2023-08-04 08:00:00,LONG,CG0001,56,RETROSPECTIVE_ONLY,development
F010,NON_MAJOR,2024-10-07 16:00:00,SHORT,CG0111,0,MATCHED,development
F011,NON_MAJOR,2024-08-26 04:00:00,SHORT,CG0097,7,RETROSPECTIVE_ONLY,development
F012,NON_MAJOR,2024-09-29 04:00:00,SHORT,CG0107,6,RETROSPECTIVE_ONLY,development
F016,NON_MAJOR,2024-09-28 04:00:00,SHORT,CG0107,0,MATCHED,development
F017,NON_MAJOR,2024-09-28 16:00:00,SHORT,CG0107,3,MATCHED,development
F018,NON_MAJOR,2024-09-27 04:00:00,SHORT,CG0107,6,RETROSPECTIVE_ONLY,development
