move_id,direction,start_time,end_time,start_price,end_price,duration_bars,total_return_pct,start_basis,end_basis,confidence,retrospective_start_time
M01,LONG,2023-09-11 16:00,2023-12-13 20:00,0.237800,0.668100,560,180.9504,retrospective local closing low in 120-bar neighborhood before a major advance,retrospective local closing high after the advance; boundary remains candidate,HIGH,true
M02,SHORT,2023-12-13 20:00,2024-01-23 08:00,0.668100,0.458300,244,-31.4025,retrospective local closing high in 120-bar neighborhood before a major decline,retrospective local closing low after the decline; boundary remains candidate,MEDIUM,true
M03,LONG,2024-01-23 08:00,2024-03-14 08:00,0.458300,0.796000,307,73.6854,retrospective local closing low in 120-bar neighborhood before a major advance,retrospective local closing high after the advance; boundary remains candidate,HIGH,true
M04,SHORT,2024-03-14 08:00,2024-07-05 00:00,0.796000,0.323600,677,-59.3467,retrospective local closing high in 120-bar neighborhood before a major decline,retrospective local closing low after the decline; boundary remains candidate,HIGH,true
M05,LONG,2024-07-05 00:00,2024-07-16 00:00,0.323600,0.451200,67,39.4314,retrospective local closing low in 120-bar neighborhood before a major advance,retrospective local closing high after the advance; boundary remains candidate,MEDIUM,true
M06,SHORT,2024-07-16 00:00,2024-08-05 08:00,0.451200,0.295600,123,-34.4858,retrospective local closing high in 120-bar neighborhood before a major decline,retrospective local closing low after the decline; boundary remains candidate,MEDIUM,true
M07,LONG,2024-08-05 08:00,2024-08-24 16:00,0.295600,0.398200,117,34.7091,retrospective local closing low in 120-bar neighborhood before a major advance,retrospective local closing high after the advance; boundary remains candidate,MEDIUM,true
M08,LONG,2024-09-06 16:00,2024-09-27 00:00,0.313000,0.409600,123,30.8626,retrospective local closing low in 120-bar neighborhood before a major advance,retrospective local closing high after the advance; boundary remains candidate,MEDIUM,true
M09,LONG,2024-10-26 12:00,2024-12-03 00:00,0.325500,1.300000,226,299.3856,retrospective local closing low in 120-bar neighborhood before a major advance,retrospective local closing high after the advance; boundary remains candidate,HIGH,true
M10,SHORT,2024-12-03 00:00,2024-12-20 08:00,1.300000,0.762100,105,-41.3769,retrospective local closing high in 120-bar neighborhood before a major decline,retrospective local closing low after the decline; boundary remains candidate,MEDIUM,true
M11,LONG,2024-12-20 08:00,2025-01-17 16:00,0.762100,1.137600,171,49.2717,retrospective local closing low in 120-bar neighborhood before a major advance,retrospective local closing high after the advance; boundary remains candidate,HIGH,true
M12,SHORT,2025-01-17 16:00,2025-02-28 04:00,1.137600,0.592500,250,-47.9167,retrospective local closing high in 120-bar neighborhood before a major decline,retrospective local closing low after the decline; boundary remains candidate,HIGH,true
M13,LONG,2025-02-28 04:00,2025-03-02 20:00,0.592500,1.133900,17,91.3755,retrospective local closing low in 120-bar neighborhood before a major advance,retrospective local closing high after the advance; boundary remains candidate,LOW,true
M14,SHORT,2025-03-02 20:00,2025-04-07 04:00,1.133900,0.520100,213,-54.1318,retrospective local closing high in 120-bar neighborhood before a major decline,retrospective local closing low after the decline; boundary remains candidate,HIGH,true
M15,LONG,2025-04-07 04:00,2025-05-10 20:00,0.520100,0.840600,203,61.6228,retrospective local closing low in 120-bar neighborhood before a major advance,retrospective local closing high after the advance; boundary remains candidate,HIGH,true
M16,SHORT,2025-05-10 20:00,2025-06-22 12:00,0.840600,0.523000,257,-37.7825,retrospective local closing high in 120-bar neighborhood before a major decline,retrospective local closing low after the decline; boundary remains candidate,MEDIUM,true
M17,LONG,2025-06-22 12:00,2025-07-21 12:00,0.523000,0.912900,175,74.5507,retrospective local closing low in 120-bar neighborhood before a major advance,retrospective local closing high after the advance; boundary remains candidate,HIGH,true
M18,LONG,2025-08-02 16:00,2025-08-14 04:00,0.693700,0.998400,70,43.9239,retrospective local closing low in 120-bar neighborhood before a major advance,retrospective local closing high after the advance; boundary remains candidate,MEDIUM,true
M19,SHORT,2025-09-13 08:00,2025-12-31 16:00,0.950200,0.331900,657,-65.0705,retrospective local closing high in 120-bar neighborhood before a major decline,retrospective local closing low after the decline; boundary remains candidate,HIGH,true
M20,LONG,2025-12-31 16:00,2026-01-14 00:00,0.331900,0.425800,81,28.2917,retrospective local closing low in 120-bar neighborhood before a major advance,retrospective local closing high after the advance; boundary remains candidate,LOW,true
M21,SHORT,2026-01-14 00:00,2026-02-05 20:00,0.425800,0.245100,138,-42.4378,retrospective local closing high in 120-bar neighborhood before a major decline,retrospective local closing low after the decline; boundary remains candidate,MEDIUM,true
