window_id,move_id,sample_type,control_id,direction,event_time,window_bars_requested,window_bars_available,window_start_time,window_end_time,price_slope_pct,price_acceleration_pct,direction_changes,range_pct,range_compression_ratio,range_state,directional_candle_share,avg_body,avg_body_change_ratio,max_pullback_pct,local_extreme_update_last5,failed_continuation_attempt,ema27_slope_state,ema27_slope_change,price_vs_ema27,distance_to_ema27_pct,ema27_crosses,ema27_aligned_to_move,ema200_slope_state,price_vs_ema200,distance_to_ema200_pct,ema200_crosses,ema200_aligned_to_move,last5_directions,last5_body_sequence,last5_acceleration,last5_tempo_change_candle,last5_false_attempt,uses_post_start_data
M01_real_50,M01,real,,LONG,2023-09-11 16:00,50,50,2023-09-03 08:00,2023-09-11 12:00,-4.7918,-4.3313,24,8.9552,2.3351,expanded,0.5000,0.001078,0.2181,2.6403,false,false,falling,-0.00031830,below,-3.3844,10,false,falling,below,-8.9689,0,false,UDDDD,0.000800;0.001000;0.001500;0.003200;0.000700,true,false,false,false
M01_real_30,M01,real,,LONG,2023-09-11 16:00,30,30,2023-09-06 16:00,2023-09-11 12:00,-5.5707,-4.0501,13,8.8820,1.9228,expanded,0.4333,0.001183,-0.0278,2.6403,false,false,falling,-0.00043575,below,-3.3844,3,false,falling,below,-8.9689,0,false,UDDDD,0.000800;0.001000;0.001500;0.003200;0.000700,true,false,false,false
M01_real_20,M01,real,,LONG,2023-09-11 16:00,20,20,2023-09-08 08:00,2023-09-11 12:00,-4.4164,-4.0304,7,7.8470,2.6443,expanded,0.3500,0.001225,0.4500,2.6403,false,false,falling,-0.00030736,below,-3.3844,0,false,falling,below,-8.9689,0,false,UDDDD,0.000800;0.001000;0.001500;0.003200;0.000700,true,false,false,false
M01_real_10,M01,real,,LONG,2023-09-11 16:00,10,10,2023-09-10 00:00,2023-09-11 12:00,-3.3107,-1.1811,4,5.9434,1.0076,neutral,0.3000,0.001450,-0.0137,2.6403,false,false,falling,0.00000000,below,-3.3844,0,false,falling,below,-8.9689,0,false,UDDDD,0.000800;0.001000;0.001500;0.003200;0.000700,true,false,false,false
M01_real_5,M01,real,,LONG,2023-09-11 16:00,5,5,2023-09-10 20:00,2023-09-11 12:00,-2.5723,-1.7772,0,4.7830,2.6011,expanded,0.2000,0.001440,1.0000,2.6403,false,false,falling,0.00000000,below,-3.3844,0,false,falling,below,-8.9689,0,false,UDDDD,0.000800;0.001000;0.001500;0.003200;0.000700,true,false,false,false
M02_real_50,M02,real,,SHORT,2023-12-13 20:00,50,50,2023-12-05 12:00,2023-12-13 16:00,59.7473,-46.7254,18,63.2153,0.3982,compressed,0.4000,0.012590,0.0465,20.6520,false,false,rising,0.00014173,above,13.2944,4,false,rising,above,48.6452,0,false,DUUUU,0.022100;0.001500;0.020300;0.047900;0.018400,true,false,false,false
M02_real_30,M02,real,,SHORT,2023-12-13 20:00,30,30,2023-12-08 20:00,2023-12-13 16:00,18.0271,14.3498,10,26.9583,0.8912,neutral,0.5000,0.014177,0.0616,13.6610,false,false,rising,-0.00503959,above,13.2944,4,false,rising,above,48.6452,0,false,DUUUU,0.022100;0.001500;0.020300;0.047900;0.018400,true,false,false,false
M02_real_20,M02,real,,SHORT,2023-12-13 20:00,20,20,2023-12-10 12:00,2023-12-13 16:00,8.4230,19.8191,6,24.7646,1.0058,neutral,0.5000,0.013605,0.5718,13.6610,false,false,rising,0.00091815,above,13.2944,4,false,rising,above,48.6452,0,false,DUUUU,0.022100;0.001500;0.020300;0.047900;0.018400,true,false,false,false
M02_real_10,M02,real,,SHORT,2023-12-13 20:00,10,10,2023-12-12 04:00,2023-12-13 16:00,8.6605,13.8609,3,18.6184,2.2782,expanded,0.4000,0.016630,0.9643,13.6610,true,false,rising,0.00000000,above,13.2944,2,false,rising,above,48.6452,0,false,DUUUU,0.022100;0.001500;0.020300;0.047900;0.018400,true,false,false,false
M02_real_5,M02,real,,SHORT,2023-12-13 20:00,5,5,2023-12-13 00:00,2023-12-13 16:00,15.8226,15.2420,0,19.8455,1.9875,expanded,0.2000,0.022040,1.4463,13.6610,false,false,rising,0.00000000,above,13.2944,1,false,rising,above,48.6452,0,false,DUUUU,0.022100;0.001500;0.020300;0.047900;0.018400,true,false,false,false
