scope,exit_variant,exit_reason,count,share
DEVELOPMENT,EXIT_R0,EMA27_TWO_CLOSES,23,0.5348837209302325
DEVELOPMENT,EXIT_R0,STOP_A,20,0.46511627906976744
DEVELOPMENT,EXIT_R1,BREAK_EVEN_STOP,23,0.5348837209302325
DEVELOPMENT,EXIT_R1,REGIME_FLIP,1,0.023255813953488372
DEVELOPMENT,EXIT_R1,STOP_A,19,0.4418604651162791
DEVELOPMENT,EXIT_R2,ATR_GIVEBACK,23,0.5348837209302325
DEVELOPMENT,EXIT_R2,STOP_A,20,0.46511627906976744
DEVELOPMENT,EXIT_R3,MFE_50_GIVEBACK,24,0.5581395348837209
DEVELOPMENT,EXIT_R3,STOP_A,19,0.4418604651162791
DEVELOPMENT,EXIT_R4,EMA27_HYSTERESIS,23,0.5348837209302325
DEVELOPMENT,EXIT_R4,STOP_A,20,0.46511627906976744
DEVELOPMENT,EXIT_R5,EMA27_HYSTERESIS,4,0.09302325581395349
DEVELOPMENT,EXIT_R5,MFE_50_GIVEBACK,24,0.5581395348837209
DEVELOPMENT,EXIT_R5,STOP_A,15,0.3488372093023256
EXIT_VALIDATION,EXIT_R0,EMA27_TWO_CLOSES,9,0.75
EXIT_VALIDATION,EXIT_R0,STOP_A,3,0.25
EXIT_VALIDATION,EXIT_R1,BREAK_EVEN_STOP,7,0.5833333333333334
EXIT_VALIDATION,EXIT_R1,REGIME_FLIP,1,0.08333333333333333
EXIT_VALIDATION,EXIT_R1,STOP_A,4,0.3333333333333333
EXIT_VALIDATION,EXIT_R2,ATR_GIVEBACK,7,0.5833333333333334
EXIT_VALIDATION,EXIT_R2,STOP_A,5,0.4166666666666667
EXIT_VALIDATION,EXIT_R3,MFE_50_GIVEBACK,8,0.6666666666666666
EXIT_VALIDATION,EXIT_R3,STOP_A,4,0.3333333333333333
EXIT_VALIDATION,EXIT_R4,EMA27_HYSTERESIS,9,0.75
EXIT_VALIDATION,EXIT_R4,STOP_A,3,0.25
EXIT_VALIDATION,EXIT_R5,EMA27_HYSTERESIS,3,0.25
EXIT_VALIDATION,EXIT_R5,MFE_50_GIVEBACK,8,0.6666666666666666
EXIT_VALIDATION,EXIT_R5,STOP_A,1,0.08333333333333333
REUSED_TEMPORAL_TEST,EXIT_R0,EMA27_TWO_CLOSES,9,0.42857142857142855
REUSED_TEMPORAL_TEST,EXIT_R0,STOP_A,12,0.5714285714285714
REUSED_TEMPORAL_TEST,EXIT_R1,BREAK_EVEN_STOP,9,0.42857142857142855
REUSED_TEMPORAL_TEST,EXIT_R1,STOP_A,12,0.5714285714285714
REUSED_TEMPORAL_TEST,EXIT_R2,ATR_GIVEBACK,9,0.42857142857142855
REUSED_TEMPORAL_TEST,EXIT_R2,STOP_A,12,0.5714285714285714
REUSED_TEMPORAL_TEST,EXIT_R3,MFE_50_GIVEBACK,8,0.38095238095238093
REUSED_TEMPORAL_TEST,EXIT_R3,STOP_A,13,0.6190476190476191
REUSED_TEMPORAL_TEST,EXIT_R4,EMA27_HYSTERESIS,9,0.42857142857142855
REUSED_TEMPORAL_TEST,EXIT_R4,STOP_A,12,0.5714285714285714
REUSED_TEMPORAL_TEST,EXIT_R5,EMA27_HYSTERESIS,4,0.19047619047619047
REUSED_TEMPORAL_TEST,EXIT_R5,MFE_50_GIVEBACK,7,0.3333333333333333
REUSED_TEMPORAL_TEST,EXIT_R5,STOP_A,10,0.47619047619047616
