scope,exit_variant,failure_type,count,share
DEVELOPMENT,EXIT_R0,GOOD_ENTRY_BAD_EXIT,7,0.16279069767441862
DEVELOPMENT,EXIT_R0,LATE_EXIT,2,0.046511627906976744
DEVELOPMENT,EXIT_R0,MIXED,15,0.3488372093023256
DEVELOPMENT,EXIT_R0,NO_MOVEMENT,19,0.4418604651162791
DEVELOPMENT,EXIT_R1,GOOD_ENTRY_BAD_EXIT,2,0.046511627906976744
DEVELOPMENT,EXIT_R1,MIXED,22,0.5116279069767442
DEVELOPMENT,EXIT_R1,NO_MOVEMENT,19,0.4418604651162791
DEVELOPMENT,EXIT_R2,LATE_EXIT,1,0.023255813953488372
DEVELOPMENT,EXIT_R2,MIXED,23,0.5348837209302325
DEVELOPMENT,EXIT_R2,NO_MOVEMENT,19,0.4418604651162791
DEVELOPMENT,EXIT_R3,MIXED,24,0.5581395348837209
DEVELOPMENT,EXIT_R3,NO_MOVEMENT,19,0.4418604651162791
DEVELOPMENT,EXIT_R4,GOOD_ENTRY_BAD_EXIT,7,0.16279069767441862
DEVELOPMENT,EXIT_R4,LATE_EXIT,2,0.046511627906976744
DEVELOPMENT,EXIT_R4,MIXED,15,0.3488372093023256
DEVELOPMENT,EXIT_R4,NO_MOVEMENT,19,0.4418604651162791
DEVELOPMENT,EXIT_R5,MIXED,24,0.5581395348837209
DEVELOPMENT,EXIT_R5,NO_MOVEMENT,19,0.4418604651162791
EXIT_VALIDATION,EXIT_R0,GOOD_ENTRY_BAD_EXIT,1,0.08333333333333333
EXIT_VALIDATION,EXIT_R0,LATE_EXIT,1,0.08333333333333333
EXIT_VALIDATION,EXIT_R0,MIXED,6,0.5
EXIT_VALIDATION,EXIT_R0,NO_MOVEMENT,4,0.3333333333333333
EXIT_VALIDATION,EXIT_R1,GOOD_ENTRY_BAD_EXIT,1,0.08333333333333333
EXIT_VALIDATION,EXIT_R1,MIXED,7,0.5833333333333334
EXIT_VALIDATION,EXIT_R1,NO_MOVEMENT,4,0.3333333333333333
EXIT_VALIDATION,EXIT_R2,LATE_EXIT,1,0.08333333333333333
EXIT_VALIDATION,EXIT_R2,MIXED,7,0.5833333333333334
EXIT_VALIDATION,EXIT_R2,NO_MOVEMENT,4,0.3333333333333333
EXIT_VALIDATION,EXIT_R3,MIXED,8,0.6666666666666666
EXIT_VALIDATION,EXIT_R3,NO_MOVEMENT,4,0.3333333333333333
EXIT_VALIDATION,EXIT_R4,GOOD_ENTRY_BAD_EXIT,1,0.08333333333333333
EXIT_VALIDATION,EXIT_R4,LATE_EXIT,1,0.08333333333333333
EXIT_VALIDATION,EXIT_R4,MIXED,6,0.5
EXIT_VALIDATION,EXIT_R4,NO_MOVEMENT,4,0.3333333333333333
EXIT_VALIDATION,EXIT_R5,MIXED,8,0.6666666666666666
EXIT_VALIDATION,EXIT_R5,NO_MOVEMENT,4,0.3333333333333333
REUSED_TEMPORAL_TEST,EXIT_R0,GOOD_ENTRY_BAD_EXIT,2,0.09523809523809523
REUSED_TEMPORAL_TEST,EXIT_R0,MIXED,6,0.2857142857142857
REUSED_TEMPORAL_TEST,EXIT_R0,NO_MOVEMENT,13,0.6190476190476191
REUSED_TEMPORAL_TEST,EXIT_R1,GOOD_ENTRY_BAD_EXIT,3,0.14285714285714285
REUSED_TEMPORAL_TEST,EXIT_R1,MIXED,6,0.2857142857142857
REUSED_TEMPORAL_TEST,EXIT_R1,NO_MOVEMENT,12,0.5714285714285714
REUSED_TEMPORAL_TEST,EXIT_R2,MIXED,9,0.42857142857142855
REUSED_TEMPORAL_TEST,EXIT_R2,NO_MOVEMENT,12,0.5714285714285714
REUSED_TEMPORAL_TEST,EXIT_R3,GOOD_ENTRY_BAD_EXIT,1,0.047619047619047616
REUSED_TEMPORAL_TEST,EXIT_R3,MIXED,8,0.38095238095238093
REUSED_TEMPORAL_TEST,EXIT_R3,NO_MOVEMENT,12,0.5714285714285714
REUSED_TEMPORAL_TEST,EXIT_R4,GOOD_ENTRY_BAD_EXIT,2,0.09523809523809523
REUSED_TEMPORAL_TEST,EXIT_R4,MIXED,6,0.2857142857142857
REUSED_TEMPORAL_TEST,EXIT_R4,NO_MOVEMENT,13,0.6190476190476191
REUSED_TEMPORAL_TEST,EXIT_R5,MIXED,8,0.38095238095238093
REUSED_TEMPORAL_TEST,EXIT_R5,NO_MOVEMENT,13,0.6190476190476191
