move_id,direction,signal_time,executable_time,price,zone,ema27_relation_to_ema200,ema27_slope_10,ema200_slope_20,ema_distance_atr,price_distance_ema27_atr,bars_from_move_start,atr_from_move_start,fraction_move_completed,pullback_to_ema27,pullback_depth_atr,new_extremum_after_pullback,ema27_crossings_last10,entry_label,visual_basis
M01,LONG,2023-10-19 08:00:00,2023-10-19 12:00:00,0.2422,ZONE_1_BIRTH,EMA27_BELOW_EMA200,-0.0025426667464191754,-0.0011253115105167577,2.2760918658585694,1.4676291055586155,2,0.6120218579234945,0.0037426900584795098,True,1.3387978142076535,False,0.0,PRIMARY_ENTRY,"early zone; movement direction already visible; EMA context describes direction but label is based on retrospective major-move birth, not a live signal"
M01,LONG,2023-10-27 00:00:00,2023-10-27 04:00:00,0.2851,ZONE_3_EARLY_CONTINUATION,EMA27_ABOVE_EMA200,0.0090804180242397,0.005543183406509444,2.4923130163032936,0.8460384848556238,48,5.597484276729561,0.10409356725146202,True,2.1509433962264155,False,0.0,OPTIONAL_SECONDARY_ENTRY,first early-continuation zone after initial pullback; second approved label kept only where it remains before mature/late zones
M02,SHORT,2023-12-28 08:00:00,2023-12-28 12:00:00,0.6466,ZONE_1_BIRTH,EMA27_ABOVE_EMA200,0.011787390608304027,0.018172577313197658,3.4097112958384126,1.0411460741049379,1,0.6553540081919257,0.08488063660477464,True,0.9543592744294904,False,3.0,PRIMARY_ENTRY,"early zone; movement direction already visible; EMA context describes direction but label is based on retrospective major-move birth, not a live signal"
M02,SHORT,2023-12-30 04:00:00,2023-12-30 08:00:00,0.6043,ZONE_3_EARLY_CONTINUATION,EMA27_ABOVE_EMA200,-0.005208774836447105,0.016430100502252576,3.2183906752508618,0.5250566706637468,12,2.679579776756404,0.3092838196286474,True,0.9054497701904164,False,4.0,OPTIONAL_SECONDARY_ENTRY,first early-continuation zone after initial pullback; second approved label kept only where it remains before mature/late zones
M03,LONG,2024-01-08 04:00:00,2024-01-08 08:00:00,0.4895,ZONE_1_BIRTH,EMA27_BELOW_EMA200,-0.02705478584792831,-0.006975208569289126,1.246709574116076,2.5131763724003515,1,0.9116279069767418,0.12300319488817864,True,1.6989429175475679,False,0.0,PRIMARY_ENTRY,"early zone; movement direction already visible; EMA context describes direction but label is based on retrospective major-move birth, not a live signal"
M03,LONG,2024-01-09 08:00:00,2024-01-09 12:00:00,0.5219,ZONE_3_EARLY_CONTINUATION,EMA27_BELOW_EMA200,-0.014076967035552834,-0.007534544292718159,1.1574884146990365,0.3955459994352432,8,2.5415875427269286,0.38178913738019166,True,1.6057728826433733,False,2.0,OPTIONAL_SECONDARY_ENTRY,first early-continuation zone after initial pullback; second approved label kept only where it remains before mature/late zones
M04,LONG,2024-02-08 00:00:00,2024-02-08 04:00:00,0.511,ZONE_1_BIRTH,EMA27_BELOW_EMA200,-0.004099114281209459,-0.0038874425737277507,1.6034809209702672,1.4919023961113684,4,3.860937499999998,0.22131661442006273,True,1.1812499999999908,True,3.0,PRIMARY_ENTRY,"early zone; movement direction already visible; EMA context describes direction but label is based on retrospective major-move birth, not a live signal"
M04,LONG,2024-02-09 20:00:00,2024-02-10 00:00:00,0.5408,ZONE_3_EARLY_CONTINUATION,EMA27_ABOVE_EMA200,0.01963368125254422,0.000631575319124833,0.39993228294556205,1.8559738146049127,15,5.5743119266055015,0.4081504702194354,True,0.8220183486238486,True,0.0,OPTIONAL_SECONDARY_ENTRY,first early-continuation zone after initial pullback; second approved label kept only where it remains before mature/late zones
M05,LONG,2024-02-24 12:00:00,2024-02-24 16:00:00,0.5889,ZONE_1_BIRTH,EMA27_ABOVE_EMA200,-0.008871969676523483,0.0067558270898209205,2.5375702451275104,0.29849087028273186,3,0.9193381592554248,0.05777979981801608,True,0.6370217166494337,True,0.0,PRIMARY_ENTRY,"early zone; movement direction already visible; EMA context describes direction but label is based on retrospective major-move birth, not a live signal"
M05,LONG,2024-02-27 20:00:00,2024-02-28 00:00:00,0.6246,ZONE_3_EARLY_CONTINUATION,EMA27_ABOVE_EMA200,0.013211140876002503,0.008269636754554721,2.723210306199946,1.409632569526983,23,3.4274152756702034,0.22020018198362148,True,0.8993424380374326,False,1.0,OPTIONAL_SECONDARY_ENTRY,first early-continuation zone after initial pullback; second approved label kept only where it remains before mature/late zones
M06,SHORT,2024-03-14 12:00:00,2024-03-14 16:00:00,0.7478,ZONE_1_BIRTH,EMA27_ABOVE_EMA200,0.011392409178057061,0.020232159607742495,3.129243706657866,0.22317830941111277,1,1.757291666666667,0.23018147086915003,True,2.2458333333333322,False,1.0,PRIMARY_ENTRY,"early zone; movement direction already visible; EMA context describes direction but label is based on retrospective major-move birth, not a live signal"
M06,SHORT,2024-03-15 12:00:00,2024-03-15 16:00:00,0.718,ZONE_3_EARLY_CONTINUATION,EMA27_ABOVE_EMA200,-0.005103114700251377,0.016924971534586275,2.0077453540495287,0.6935987620804166,7,2.1958576312085274,0.372492836676218,True,1.6074803941282905,False,1.0,OPTIONAL_SECONDARY_ENTRY,first early-continuation zone after initial pullback; second approved label kept only where it remains before mature/late zones
M07,SHORT,2024-04-09 00:00:00,2024-04-09 04:00:00,0.6085,ZONE_1_BIRTH,EMA27_BELOW_EMA200,0.007456691175395491,-0.008595517774189765,3.658008612072675,1.3524455856081705,2,0.684892086330928,0.037138175860185245,True,0.9669064748201507,False,4.0,PRIMARY_ENTRY,"early zone; movement direction already visible; EMA context describes direction but label is based on retrospective major-move birth, not a live signal"
M07,SHORT,2024-04-10 12:00:00,2024-04-10 16:00:00,0.5732,ZONE_3_EARLY_CONTINUATION,EMA27_BELOW_EMA200,-0.001309404940170622,-0.0070825874530401345,2.463217419619991,1.3629991530391306,11,2.9381854436689823,0.2299290005461492,True,1.5563310069790592,True,1.0,OPTIONAL_SECONDARY_ENTRY,first early-continuation zone after initial pullback; second approved label kept only where it remains before mature/late zones
M08,SHORT,2024-05-21 00:00:00,2024-05-21 04:00:00,0.4988,ZONE_1_BIRTH,EMA27_BELOW_EMA200,0.004957170240552589,0.0004382907495788513,0.2707967638870261,2.445584286166952,1,0.3451776649746153,0.025430067314883762,True,2.8121827411167475,False,4.0,PRIMARY_ENTRY,"early zone; movement direction already visible; EMA context describes direction but label is based on retrospective major-move birth, not a live signal"
M08,SHORT,2024-05-26 00:00:00,2024-05-26 04:00:00,0.4605,ZONE_3_EARLY_CONTINUATION,EMA27_BELOW_EMA200,-0.008264956208254237,-0.0022056235187950524,1.0430441400077042,1.0593670255577337,31,5.456074766355133,0.31189229618548964,False,2.538317757009341,False,0.0,OPTIONAL_SECONDARY_ENTRY,first early-continuation zone after initial pullback; second approved label kept only where it remains before mature/late zones
M09,LONG,2024-07-05 08:00:00,2024-07-05 12:00:00,0.3486,ZONE_1_BIRTH,EMA27_BELOW_EMA200,-0.01924846069588132,-0.0041232112725372305,1.497524738508115,2.09945108359906,2,1.4919011082693963,0.19592476489028232,True,2.5183290707587394,False,1.0,PRIMARY_ENTRY,"early zone; movement direction already visible; EMA context describes direction but label is based on retrospective major-move birth, not a live signal"
