entry_variant,signal_time,entry_time,direction,scope,executed,blocked,block_reason,move_id,zone,signal_number_in_move
ENTRY_T1,2023-10-19 12:00:00,2023-10-19 16:00:00,SHORT,DEVELOPMENT,False,True,LATE_ENTRY_BLOCK,M01,ZONE_1_BIRTH,1.0
ENTRY_T1,2023-10-19 16:00:00,2023-10-19 20:00:00,SHORT,DEVELOPMENT,True,False,,M01,ZONE_2_FIRST_PULLBACK,2.0
ENTRY_T2,2023-10-19 16:00:00,2023-10-19 20:00:00,SHORT,DEVELOPMENT,True,False,,M01,ZONE_2_FIRST_PULLBACK,3.0
ENTRY_T2,2023-11-02 00:00:00,2023-11-02 04:00:00,LONG,DEVELOPMENT,False,True,LATE_ENTRY_BLOCK,M01,ZONE_3_EARLY_CONTINUATION,4.0
ENTRY_T2,2023-11-02 08:00:00,2023-11-02 12:00:00,LONG,DEVELOPMENT,False,True,LATE_ENTRY_BLOCK,M01,ZONE_3_EARLY_CONTINUATION,5.0
ENTRY_T4,2023-11-02 08:00:00,2023-11-02 12:00:00,LONG,DEVELOPMENT,False,True,LATE_ENTRY_BLOCK,M01,ZONE_3_EARLY_CONTINUATION,6.0
ENTRY_T1,2023-11-02 12:00:00,2023-11-02 16:00:00,LONG,DEVELOPMENT,False,True,LATE_ENTRY_BLOCK,M01,ZONE_3_EARLY_CONTINUATION,7.0
ENTRY_T2,2023-11-03 04:00:00,2023-11-03 08:00:00,LONG,DEVELOPMENT,False,True,LATE_ENTRY_BLOCK|CHOP_BLOCK,M01,ZONE_3_EARLY_CONTINUATION,8.0
ENTRY_T2,2023-11-03 12:00:00,2023-11-03 16:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_3_EARLY_CONTINUATION,9.0
ENTRY_T4,2023-11-03 12:00:00,2023-11-03 16:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_3_EARLY_CONTINUATION,10.0
ENTRY_T2,2023-11-03 16:00:00,2023-11-03 20:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_3_EARLY_CONTINUATION,11.0
ENTRY_T4,2023-11-03 16:00:00,2023-11-03 20:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_3_EARLY_CONTINUATION,12.0
ENTRY_T1,2023-11-07 12:00:00,2023-11-07 16:00:00,LONG,DEVELOPMENT,True,False,,M01,ZONE_3_EARLY_CONTINUATION,13.0
ENTRY_T1,2023-11-07 20:00:00,2023-11-08 00:00:00,LONG,DEVELOPMENT,True,False,,M01,ZONE_3_EARLY_CONTINUATION,14.0
ENTRY_T2,2023-11-08 00:00:00,2023-11-08 04:00:00,LONG,DEVELOPMENT,True,False,,M01,ZONE_3_EARLY_CONTINUATION,15.0
ENTRY_T4,2023-11-08 00:00:00,2023-11-08 04:00:00,LONG,DEVELOPMENT,True,False,,M01,ZONE_3_EARLY_CONTINUATION,16.0
