move_id,zone,start_time,end_time,duration_bars,zone_note
M01,ZONE_0_BEFORE_MOVE,2023-10-16 00:00:00,2023-10-18 20:00:00,18,retrospective training label; not live detector
M01,ZONE_1_BIRTH,2023-10-19 00:00:00,2023-10-19 16:00:00,5,retrospective training label; not live detector
M01,ZONE_2_FIRST_PULLBACK,2023-10-19 16:00:00,2023-10-19 20:00:00,2,retrospective training label; not live detector
M01,ZONE_3_EARLY_CONTINUATION,2023-10-20 00:00:00,2023-11-09 04:00:00,122,retrospective training label; not live detector
M01,ZONE_4_MATURE_MOVE,2023-11-09 08:00:00,2023-11-25 20:00:00,100,retrospective training label; not live detector
M01,ZONE_5_LATE_MOVE,2023-11-26 00:00:00,2023-12-06 00:00:00,61,retrospective training label; not live detector
M01,ZONE_6_EXHAUSTION_OR_CHOP,2023-12-06 04:00:00,2023-12-13 20:00:00,47,retrospective training label; not live detector
M02,ZONE_0_BEFORE_MOVE,2023-12-26 20:00:00,2023-12-28 00:00:00,8,retrospective training label; not live detector
M02,ZONE_1_BIRTH,2023-12-28 04:00:00,2023-12-28 16:00:00,4,retrospective training label; not live detector
M02,ZONE_2_FIRST_PULLBACK,2023-12-28 16:00:00,2023-12-28 20:00:00,2,retrospective training label; not live detector
M02,ZONE_3_EARLY_CONTINUATION,2023-12-29 00:00:00,2024-01-01 04:00:00,20,retrospective training label; not live detector
M02,ZONE_4_MATURE_MOVE,2024-01-01 08:00:00,2024-01-04 12:00:00,20,retrospective training label; not live detector
M02,ZONE_5_LATE_MOVE,2024-01-04 16:00:00,2024-01-06 08:00:00,11,retrospective training label; not live detector
M02,ZONE_6_EXHAUSTION_OR_CHOP,2024-01-06 12:00:00,2024-01-08 00:00:00,10,retrospective training label; not live detector
M03,ZONE_0_BEFORE_MOVE,2024-01-07 00:00:00,2024-01-07 20:00:00,6,retrospective training label; not live detector
M03,ZONE_1_BIRTH,2024-01-08 00:00:00,2024-01-08 12:00:00,4,retrospective training label; not live detector
M03,ZONE_2_FIRST_PULLBACK,2024-01-08 12:00:00,2024-01-09 04:00:00,5,retrospective training label; not live detector
M03,ZONE_3_EARLY_CONTINUATION,2024-01-09 08:00:00,2024-01-09 08:00:00,1,retrospective training label; not live detector
M03,ZONE_4_MATURE_MOVE,2024-01-09 08:00:00,2024-01-10 04:00:00,6,retrospective training label; not live detector
M03,ZONE_5_LATE_MOVE,2024-01-10 08:00:00,2024-01-10 20:00:00,4,retrospective training label; not live detector
M03,ZONE_6_EXHAUSTION_OR_CHOP,2024-01-11 00:00:00,2024-01-11 08:00:00,3,retrospective training label; not live detector
M04,ZONE_0_BEFORE_MOVE,2024-02-06 00:00:00,2024-02-07 04:00:00,8,retrospective training label; not live detector
M04,ZONE_1_BIRTH,2024-02-07 08:00:00,2024-02-08 16:00:00,9,retrospective training label; not live detector
M04,ZONE_2_FIRST_PULLBACK,2024-02-08 16:00:00,2024-02-08 20:00:00,2,retrospective training label; not live detector
M04,ZONE_3_EARLY_CONTINUATION,2024-02-09 00:00:00,2024-02-11 12:00:00,16,retrospective training label; not live detector
M04,ZONE_4_MATURE_MOVE,2024-02-11 16:00:00,2024-02-14 16:00:00,19,retrospective training label; not live detector
M04,ZONE_5_LATE_MOVE,2024-02-14 20:00:00,2024-02-16 16:00:00,12,retrospective training label; not live detector
M04,ZONE_6_EXHAUSTION_OR_CHOP,2024-02-16 20:00:00,2024-02-18 08:00:00,10,retrospective training label; not live detector
M05,ZONE_0_BEFORE_MOVE,2024-02-21 16:00:00,2024-02-23 20:00:00,14,retrospective training label; not live detector
M05,ZONE_1_BIRTH,2024-02-24 00:00:00,2024-02-25 00:00:00,7,retrospective training label; not live detector
M05,ZONE_2_FIRST_PULLBACK,2024-02-25 00:00:00,2024-02-25 16:00:00,5,retrospective training label; not live detector
