detector,active_move_id,start_time,end_time,direction,duration_bars,trigger_detail,why_not_major_move,classification,overlap_reference_moves,starts_after_reference_gt_5atr,starts_with_unchanged_ema_context,starts_near_reference_end
START_A,START_A_AM001,2023-07-07 08:00:00,2023-07-08 16:00:00,SHORT,9,EMA context held for two closed bars,active move ended quickly and did not become a major reference move,SMALL_LOCAL_MOVE,,False,False,False
START_A,START_A_AM002,2023-07-11 08:00:00,2023-07-13 00:00:00,LONG,11,EMA context held for two closed bars,active move ended quickly and did not become a major reference move,SMALL_LOCAL_MOVE,,False,False,False
START_A,START_A_AM003,2023-07-13 16:00:00,2023-07-17 00:00:00,LONG,21,EMA context held for two closed bars,triggered direction did not produce at least 1 ATR of closed-bar continuation,FALSE_BREAK,,False,False,False
START_A,START_A_AM004,2023-07-20 04:00:00,2023-07-21 04:00:00,LONG,7,EMA context held for two closed bars,active move ended quickly and did not become a major reference move,SMALL_LOCAL_MOVE,,False,False,False
START_A,START_A_AM005,2023-07-28 12:00:00,2023-07-31 20:00:00,LONG,21,EMA context held for two closed bars,triggered direction did not produce at least 1 ATR of closed-bar continuation,FALSE_BREAK,,False,False,False
START_A,START_A_AM006,2023-08-03 20:00:00,2023-08-08 20:00:00,SHORT,31,EMA context held for two closed bars,triggered direction did not produce at least 1 ATR of closed-bar continuation,FALSE_BREAK,,False,False,False
START_A,START_A_AM007,2023-08-11 20:00:00,2023-08-24 00:00:00,SHORT,74,EMA context held for two closed bars,no matching reference move; local behavior does not fit a narrower audit bucket,UNKNOWN,,False,False,False
START_A,START_A_AM008,2023-08-25 16:00:00,2023-08-28 20:00:00,SHORT,20,EMA context held for two closed bars,triggered direction did not produce at least 1 ATR of closed-bar continuation,FALSE_BREAK,,False,False,False
START_A,START_A_AM009,2023-08-31 16:00:00,2023-09-08 04:00:00,SHORT,46,EMA context held for two closed bars,triggered direction did not produce at least 1 ATR of closed-bar continuation,FALSE_BREAK,,False,False,False
START_A,START_A_AM010,2023-09-08 16:00:00,2023-09-14 16:00:00,SHORT,37,EMA context held for two closed bars,triggered direction did not produce at least 1 ATR of closed-bar continuation,FALSE_BREAK,,False,True,False
START_A,START_A_AM011,2023-09-18 00:00:00,2023-09-18 16:00:00,SHORT,5,EMA context held for two closed bars,active move ended quickly and did not become a major reference move,SMALL_LOCAL_MOVE,,False,False,False
START_A,START_A_AM012,2023-09-21 12:00:00,2023-09-28 16:00:00,SHORT,44,EMA context held for two closed bars,triggered direction did not produce at least 1 ATR of closed-bar continuation,FALSE_BREAK,,False,False,False
START_A,START_A_AM013,2023-10-02 08:00:00,2023-10-04 08:00:00,LONG,13,EMA context held for two closed bars,triggered direction did not produce at least 1 ATR of closed-bar continuation,FALSE_BREAK,,False,False,False
START_A,START_A_AM014,2023-10-05 20:00:00,2023-10-07 16:00:00,LONG,12,EMA context held for two closed bars,active move ended quickly and did not become a major reference move,SMALL_LOCAL_MOVE,,False,False,False
START_A,START_A_AM015,2023-10-10 12:00:00,2023-10-16 04:00:00,SHORT,35,EMA context held for two closed bars,triggered direction did not produce at least 1 ATR of closed-bar continuation,FALSE_BREAK,,False,False,False
START_A,START_A_AM016,2023-10-18 12:00:00,2023-10-20 04:00:00,SHORT,11,EMA context held for two closed bars,start direction opposed an overlapping reference move,COUNTERTREND_NOISE,M01,False,False,False
START_A,START_A_AM018,2023-11-02 00:00:00,2023-11-13 16:00:00,LONG,71,EMA context held for two closed bars,start occurred inside an existing same-direction reference move after the early window,LATE_RESTART,M01,True,False,False
START_A,START_A_AM019,2023-11-16 08:00:00,2023-11-17 12:00:00,LONG,8,EMA context held for two closed bars,start occurred inside an existing same-direction reference move after the early window,LATE_RESTART,M01,True,False,False
START_A,START_A_AM020,2023-11-19 16:00:00,2023-11-21 20:00:00,LONG,14,EMA context held for two closed bars,start occurred inside an existing same-direction reference move after the early window,LATE_RESTART,M01,True,False,False
START_A,START_A_AM021,2023-11-23 16:00:00,2023-11-27 08:00:00,LONG,23,EMA context held for two closed bars,start occurred inside an existing same-direction reference move after the early window,LATE_RESTART,M01,True,False,False
START_A,START_A_AM022,2023-12-02 08:00:00,2023-12-17 12:00:00,LONG,92,EMA context held for two closed bars,start occurred inside an existing same-direction reference move after the early window,LATE_RESTART,M01,True,False,False
START_A,START_A_AM023,2023-12-21 16:00:00,2023-12-23 16:00:00,LONG,13,EMA context held for two closed bars,triggered direction did not produce at least 1 ATR of closed-bar continuation,FALSE_BREAK,,False,False,False
START_A,START_A_AM024,2023-12-24 00:00:00,2023-12-25 04:00:00,LONG,8,EMA context held for two closed bars,active move ended quickly and did not become a major reference move,SMALL_LOCAL_MOVE,,False,True,False
START_A,START_A_AM025,2023-12-25 20:00:00,2023-12-29 04:00:00,LONG,21,EMA context held for two closed bars,start direction opposed an overlapping reference move,COUNTERTREND_NOISE,M02,False,False,False
START_A,START_A_AM026,2024-01-02 08:00:00,2024-01-03 04:00:00,LONG,6,EMA context held for two closed bars,start direction opposed an overlapping reference move,COUNTERTREND_NOISE,M02,False,False,False
START_A,START_A_AM028,2024-01-12 12:00:00,2024-01-13 08:00:00,LONG,6,EMA context held for two closed bars,active move ended quickly and did not become a major reference move,SMALL_LOCAL_MOVE,,False,False,False
START_A,START_A_AM029,2024-01-14 08:00:00,2024-01-26 20:00:00,SHORT,76,EMA context held for two closed bars,no matching reference move; local behavior does not fit a narrower audit bucket,UNKNOWN,,False,False,False
START_A,START_A_AM030,2024-02-01 12:00:00,2024-02-02 04:00:00,SHORT,5,EMA context held for two closed bars,active move ended quickly and did not become a major reference move,SMALL_LOCAL_MOVE,,False,False,False
START_A,START_A_AM031,2024-02-05 00:00:00,2024-02-08 04:00:00,SHORT,20,EMA context held for two closed bars,start direction opposed an overlapping reference move,COUNTERTREND_NOISE,M04,False,False,False
START_A,START_A_AM034,2024-03-07 16:00:00,2024-03-08 20:00:00,LONG,8,EMA context held for two closed bars,start occurred inside an existing same-direction reference move after the early window,LATE_RESTART,M05,False,False,False
START_A,START_A_AM035,2024-03-10 00:00:00,2024-03-10 16:00:00,LONG,5,EMA context held for two closed bars,start occurred inside an existing same-direction reference move after the early window,LATE_RESTART,M05,True,False,False
START_A,START_A_AM036,2024-03-11 20:00:00,2024-03-15 00:00:00,LONG,20,EMA context held for two closed bars,start occurred inside an existing same-direction reference move after the early window,LATE_RESTART,M05|M06,True,False,False
START_A,START_A_AM037,2024-03-20 00:00:00,2024-03-24 16:00:00,SHORT,29,EMA context held for two closed bars,triggered direction did not produce at least 1 ATR of closed-bar continuation,FALSE_BREAK,,False,False,True
START_A,START_A_AM038,2024-03-29 08:00:00,2024-03-30 04:00:00,SHORT,6,EMA context held for two closed bars,active move ended quickly and did not become a major reference move,SMALL_LOCAL_MOVE,,False,False,False
START_A,START_A_AM039,2024-03-31 16:00:00,2024-04-07 08:00:00,SHORT,41,EMA context held for two closed bars,no matching reference move; local behavior does not fit a narrower audit bucket,UNKNOWN,,False,False,False
START_A,START_A_AM041,2024-04-25 00:00:00,2024-05-02 16:00:00,SHORT,47,EMA context held for two closed bars,no matching reference move; local behavior does not fit a narrower audit bucket,UNKNOWN,,False,False,False
START_A,START_A_AM042,2024-05-07 08:00:00,2024-05-09 20:00:00,SHORT,16,EMA context held for two closed bars,triggered direction did not produce at least 1 ATR of closed-bar continuation,FALSE_BREAK,,False,False,False
START_A,START_A_AM043,2024-05-11 12:00:00,2024-05-15 20:00:00,SHORT,27,EMA context held for two closed bars,triggered direction did not produce at least 1 ATR of closed-bar continuation,FALSE_BREAK,,False,False,False
START_A,START_A_AM044,2024-05-21 12:00:00,2024-05-23 20:00:00,LONG,15,EMA context held for two closed bars,start direction opposed an overlapping reference move,COUNTERTREND_NOISE,M08,False,False,False
