move_id,direction,timestamp,observation_type,delay_bars_from_reference_start,distance_to_primary_bars,earlier_than_detectors,description,available_data_on_bar,delay_START_A,delay_START_B,delay_START_C
M01,LONG,2023-10-19 12:00:00,PRICE_EMA27_HOLD,3,1,START_A|START_B|START_C,directional body expanded versus recent median; old-direction extreme stopped updating,OHLC closed; close=0.2451; EMA27=0.2460; EMA200=0.2519; ATR14=0.0028; ema27_slope_5=-0.001513,22.0,83.0,28.0
M02,SHORT,2023-12-28 12:00:00,LOCAL_STRUCTURE_BREAK,2,1,START_A|START_C,closed-bar local structure break; price crossed and held beyond EMA27 on close; directional body expanded versus recent median,OHLC closed; close=0.6177; EMA27=0.6209; EMA200=0.5387; ATR14=0.0254; ema27_slope_5=0.010196,58.0,,65.0
M03,LONG,2024-01-08 12:00:00,PRICE_EMA27_HOLD,3,2,,directional body expanded versus recent median; old-direction extreme stopped updating,OHLC closed; close=0.5119; EMA27=0.5284; EMA200=0.5521; ATR14=0.0164; ema27_slope_5=-0.015027,,,
M04,LONG,2024-02-07 20:00:00,LOCAL_STRUCTURE_BREAK,3,-1,START_A|START_C,closed-bar local structure break; price crossed and held beyond EMA27 on close; directional body expanded versus recent median; old-direction extreme stopped updating,OHLC closed; close=0.5020; EMA27=0.4963; EMA200=0.5120; ATR14=0.0087; ema27_slope_5=-0.003840,14.0,,65.0
M05,LONG,2024-02-24 12:00:00,PRICE_EMA27_HOLD,3,0,START_A|START_B|START_C,first higher low/lower high sequence visible on closed bars; old-direction extreme stopped updating,OHLC closed; close=0.5889; EMA27=0.5930; EMA200=0.5580; ATR14=0.0138; ema27_slope_5=-0.003671,17.0,116.0,16.0
M06,SHORT,2024-03-14 12:00:00,PRICE_EMA27_HOLD,1,0,START_C,price crossed and held beyond EMA27 on close; directional body expanded versus recent median,OHLC closed; close=0.7478; EMA27=0.7539; EMA200=0.6681; ATR14=0.0274; ema27_slope_5=0.007485,,,33.0
M07,SHORT,2024-04-09 20:00:00,LOCAL_STRUCTURE_BREAK,7,5,START_A|START_B|START_C,closed-bar local structure break; price crossed and held beyond EMA27 on close; directional body expanded versus recent median,OHLC closed; close=0.5918; EMA27=0.5973; EMA200=0.6300; ATR14=0.0136; ema27_slope_5=0.002243,12.0,11.0,11.0
M08,SHORT,2024-05-22 04:00:00,LOCAL_STRUCTURE_BREAK,8,7,START_A|START_B|START_C,closed-bar local structure break; first higher low/lower high sequence visible on closed bars,OHLC closed; close=0.4903; EMA27=0.4832; EMA200=0.4786; ATR14=0.0113; ema27_slope_5=0.004811,21.0,54.0,54.0
M09,LONG,2024-07-05 20:00:00,PRICE_EMA27_HOLD,5,3,START_A|START_C,first higher low/lower high sequence visible on closed bars; old-direction extreme stopped updating,OHLC closed; close=0.3496; EMA27=0.3772; EMA200=0.4072; ATR14=0.0161; ema27_slope_5=-0.013535,52.0,,51.0
M10,SHORT,2024-07-16 16:00:00,PRICE_EMA27_HOLD,4,3,START_A|START_B|START_C,first higher low/lower high sequence visible on closed bars; old-direction extreme stopped updating,OHLC closed; close=0.4407; EMA27=0.4278; EMA200=0.4050; ATR14=0.0105; ema27_slope_5=0.005580,59.0,83.0,58.0
M11,LONG,2024-10-26 16:00:00,PRICE_EMA27_HOLD,1,-1,START_A|START_B|START_C,first higher low/lower high sequence visible on closed bars; directional body expanded versus recent median,OHLC closed; close=0.3317; EMA27=0.3423; EMA200=0.3532; ATR14=0.0089; ema27_slope_5=-0.005453,72.0,148.0,87.0
M12,SHORT,2024-12-03 12:00:00,PRICE_EMA27_HOLD,3,2,,directional body expanded versus recent median; old-direction extreme stopped updating,OHLC closed; close=1.1982; EMA27=1.1398; EMA200=0.7976; ATR14=0.0804; ema27_slope_5=0.049890,,,
