move_id,direction,detector,active_move_id,detected,start_time,delay_bars,delay_atr_from_reference_start,before_primary,reference_zone,ema27_vs_ema200,price_vs_ema27,trigger_reason,reference_start,reference_end,primary_entry_time,secondary_entry_time
M01,LONG,START_A,START_A_AM017,True,2023-10-22 16:00:00,22.0,7.556164383561647,False,ZONE_3_EARLY_CONTINUATION,EMA27_ABOVE_EMA200,PRICE_ABOVE_EMA27,EMA context held for two closed bars,2023-10-19 00:00:00,2023-12-13 20:00:00,2023-10-19 08:00:00,2023-10-27 00:00:00
M01,LONG,START_B,START_B_AM007,True,2023-11-01 20:00:00,83.0,25.660273972602788,False,ZONE_3_EARLY_CONTINUATION,EMA27_ABOVE_EMA200,PRICE_ABOVE_EMA27,directed expansion; break20=True; near_ema27=True,2023-10-19 00:00:00,2023-12-13 20:00:00,2023-10-19 08:00:00,2023-10-27 00:00:00
M01,LONG,START_C,START_C_AM012,True,2023-10-23 16:00:00,28.0,11.046575342465763,False,ZONE_3_EARLY_CONTINUATION,EMA27_ABOVE_EMA200,PRICE_ABOVE_EMA27,breakout after compression; compressed=True; break10=True,2023-10-19 00:00:00,2023-12-13 20:00:00,2023-10-19 08:00:00,2023-10-27 00:00:00
M02,SHORT,START_A,START_A_AM027,True,2024-01-06 20:00:00,58.0,5.849056603773583,False,ZONE_6_EXHAUSTION_OR_CHOP,EMA27_BELOW_EMA200,PRICE_BELOW_EMA27,EMA context held for two closed bars,2023-12-28 04:00:00,2024-01-08 00:00:00,2023-12-28 08:00:00,2023-12-30 04:00:00
M02,SHORT,START_B,,False,,,,False,NOT_DETECTED,,,20-bar expansion criteria appeared only after the reference matching window,2023-12-28 04:00:00,2024-01-08 00:00:00,2023-12-28 08:00:00,2023-12-30 04:00:00
M02,SHORT,START_C,START_C_AM019,True,2024-01-08 00:00:00,65.0,7.9035639412997885,False,ZONE_6_EXHAUSTION_OR_CHOP,EMA27_BELOW_EMA200,PRICE_BELOW_EMA27,breakout after compression; compressed=True; break10=True,2023-12-28 04:00:00,2024-01-08 00:00:00,2023-12-28 08:00:00,2023-12-30 04:00:00
M03,LONG,START_A,,False,,,,False,NOT_DETECTED,,,overlapping active move was opposite direction (START_A_AM027),2024-01-08 00:00:00,2024-01-11 08:00:00,2024-01-08 04:00:00,2024-01-09 08:00:00
M03,LONG,START_B,,False,,,,False,NOT_DETECTED,,,20-bar expansion criteria appeared only after the reference matching window,2024-01-08 00:00:00,2024-01-11 08:00:00,2024-01-08 04:00:00,2024-01-09 08:00:00
M03,LONG,START_C,,False,,,,False,NOT_DETECTED,,,overlapping active move was opposite direction (START_C_AM019),2024-01-08 00:00:00,2024-01-11 08:00:00,2024-01-08 04:00:00,2024-01-09 08:00:00
M04,LONG,START_A,START_A_AM032,True,2024-02-09 16:00:00,14.0,8.222222222222216,False,ZONE_3_EARLY_CONTINUATION,EMA27_ABOVE_EMA200,PRICE_ABOVE_EMA27,EMA context held for two closed bars,2024-02-07 08:00:00,2024-02-18 08:00:00,2024-02-08 00:00:00,2024-02-09 20:00:00
