detector,reference_move_id,reference_direction,matched_active_move_id,detected,start_delay_bars,start_before_primary,causal_move_covers_reference
START_A,M01,LONG,START_A_AM017,True,22.0,False,False
START_A,M02,SHORT,START_A_AM027,True,58.0,False,False
START_A,M03,LONG,,False,,False,False
START_A,M04,LONG,START_A_AM032,True,14.0,False,False
START_A,M05,LONG,START_A_AM033,True,17.0,False,False
START_A,M06,SHORT,,False,,False,False
START_A,M07,SHORT,START_A_AM040,True,12.0,False,False
START_A,M08,SHORT,START_A_AM045,True,21.0,False,False
START_A,M09,LONG,START_A_AM051,True,52.0,False,False
START_A,M10,SHORT,START_A_AM054,True,59.0,False,False
START_A,M11,LONG,START_A_AM070,True,72.0,False,False
START_A,M12,SHORT,,False,,False,False
START_B,M01,LONG,START_B_AM007,True,83.0,False,False
START_B,M02,SHORT,,False,,False,False
START_B,M03,LONG,,False,,False,False
START_B,M04,LONG,,False,,False,False
START_B,M05,LONG,START_B_AM011,True,116.0,False,False
START_B,M06,SHORT,,False,,False,False
START_B,M07,SHORT,START_B_AM013,True,11.0,False,False
START_B,M08,SHORT,START_B_AM015,True,54.0,False,False
START_B,M09,LONG,,False,,False,False
START_B,M10,SHORT,START_B_AM016,True,83.0,False,False
START_B,M11,LONG,START_B_AM020,True,148.0,False,False
START_B,M12,SHORT,,False,,False,False
START_C,M01,LONG,START_C_AM012,True,28.0,False,False
START_C,M02,SHORT,START_C_AM019,True,65.0,False,False
START_C,M03,LONG,,False,,False,False
START_C,M04,LONG,START_C_AM022,True,65.0,False,False
START_C,M05,LONG,START_C_AM023,True,16.0,False,False
START_C,M06,SHORT,START_C_AM025,True,33.0,False,False
START_C,M07,SHORT,START_C_AM027,True,11.0,False,False
START_C,M08,SHORT,START_C_AM030,True,54.0,False,False
START_C,M09,LONG,START_C_AM034,True,51.0,False,False
START_C,M10,SHORT,START_C_AM035,True,58.0,False,False
START_C,M11,LONG,START_C_AM045,True,87.0,False,False
START_C,M12,SHORT,,False,,False,False
