source_i,dt,open,high,low,close,ema27,ema200,signed_ema_distance_pct,ema27_slope_3,ema27_slope_6,ema200_slope_12,ema200_slope_24,ema200_slope_change,ema_distance_change_6,ema_distance_change_12,direction,absolute_ema_distance_pct,aligned_ema27_slope_3,aligned_ema27_slope_6,aligned_ema200_slope_12,aligned_ema200_slope_24,aligned_ema200_slope_change,aligned_distance_change_6,aligned_distance_change_12,backbone_state,local_phase,local_event,correction_id,direction_num,composite_state
24,2023-07-05 00:00:00,0.2924,0.2943,0.291,0.2942,0.2923226464523386,0.28742782786873244,1.7029730975949837,0.017007304619043317,0.05015225023622024,0.028991593090538226,0.020801688064284174,0.016423534218359036,0.16188792780286,0.9945580929688226,LONG,1.7029730975949837,0.017007304619043317,0.05015225023622024,0.028991593090538226,0.020801688064284174,0.016423534218359036,0.16188792780286,0.9945580929688226,1,EXPANSION,,,1,STATE_1 + EXPANSION
25,2023-07-05 04:00:00,0.2942,0.2963,0.293,0.2951,0.29252102884860015,0.2875041678899391,1.7449698192137448,0.041056456873615296,0.0469375315113818,0.02895584527945842,0.021855578576136327,0.01425162617783582,0.1435298073497171,0.9206352671743773,LONG,1.7449698192137448,0.041056456873615296,0.0469375315113818,0.02895584527945842,0.021855578576136327,0.01425162617783582,0.1435298073497171,0.9206352671743773,1,EXPANSION,,,1,STATE_1 + EXPANSION
26,2023-07-05 08:00:00,0.2952,0.2957,0.283,0.286,0.2920552410737001,0.2874892010452631,1.5882474930660555,-0.014031796656703103,-0.0004912022439536774,0.026113391520043994,0.021361275517684887,0.009556115998900681,-0.10590690254055013,0.6451514847502056,LONG,1.5882474930660555,-0.014031796656703103,-0.0004912022439536774,0.026113391520043994,0.021361275517684887,0.009556115998900681,-0.10590690254055013,0.6451514847502056,1,PULLBACK,CORRECTION_START,1.0,1,STATE_1 + PULLBACK
27,2023-07-05 12:00:00,0.286,0.2869,0.2797,0.2826,0.291379866711293,0.28744055227864357,1.3704797049063173,-0.10750447065793385,-0.045276008438651275,0.02214339059966782,0.020291764459065553,0.003752121687344845,-0.3393214155937492,0.3061092071136633,LONG,1.3704797049063173,-0.10750447065793385,-0.045276008438651275,0.02214339059966782,0.020291764459065553,0.003752121687344845,-0.3393214155937492,0.3061092071136633,1,PULLBACK,,1.0,1,STATE_1 + PULLBACK
28,2023-07-05 16:00:00,0.2826,0.2884,0.2812,0.2826,0.2907527333747721,0.2873923875793536,1.169253585219146,-0.20150066712449158,-0.08034619867718548,0.017346022338793343,0.019291315818860864,-0.0038464742977269636,-0.5195426892878243,-0.06994794178506458,LONG,1.169253585219146,-0.20150066712449158,-0.08034619867718548,0.017346022338793343,0.019291315818860864,-0.0038464742977269636,-0.5195426892878243,-0.06994794178506458,1,PULLBACK,,1.0,1,STATE_1 + PULLBACK
29,2023-07-05 20:00:00,0.2825,0.2852,0.2815,0.2839,0.29026325241943124,0.2873576374541859,1.0111493785191554,-0.20452622224034211,-0.10923596139310043,0.013468040973058093,0.01786353649760134,-0.008755074828986631,-0.6656576684515076,-0.35138715197649484,LONG,1.0111493785191554,-0.20452622224034211,-0.10923596139310043,0.013468040973058093,0.01786353649760134,-0.008755074828986631,-0.6656576684515076,-0.35138715197649484,1,PULLBACK,,1.0,1,STATE_1 + PULLBACK
30,2023-07-06 00:00:00,0.2839,0.2854,0.2813,0.2849,0.2898801629609004,0.28733318335016417,0.8864202808181463,-0.17156341506126732,-0.1392572853477954,0.009023560052608588,0.017104556773404424,-0.016134751337554265,-0.8165528167768374,-0.6546648889739775,LONG,0.8864202808181463,-0.17156341506126732,-0.1392572853477954,0.009023560052608588,0.017104556773404424,-0.016134751337554265,-0.8165528167768374,-0.6546648889739775,1,PULLBACK,,1.0,1,STATE_1 + PULLBACK
31,2023-07-06 04:00:00,0.2849,0.2919,0.2833,0.288,0.2897458656065504,0.2873398183417048,0.837352539140377,-0.11543230755276153,-0.15811759203393133,0.006909611919290552,0.01674418578720601,-0.019647128123726855,-0.9076172800733678,-0.7640874727236507,LONG,0.837352539140377,-0.11543230755276153,-0.15811759203393133,0.006909611919290552,0.01674418578720601,-0.019647128123726855,-0.9076172800733678,-0.7640874727236507,1,RECOVERY,RECOVERY,1.0,1,STATE_1 + RECOVERY
32,2023-07-06 08:00:00,0.2881,0.2937,0.2864,0.2878,0.2896068752060825,0.2873443972636779,0.7873749980684347,-0.07537723174596556,-0.13972047768637436,0.004240116852177733,0.016184011488615258,-0.023873484678199608,-0.8008724949976208,-0.9067793975381709,LONG,0.7873749980684347,-0.07537723174596556,-0.13972047768637436,0.004240116852177733,0.016184011488615258,-0.023873484678199608,-0.8008724949976208,-0.9067793975381709,1,PULLBACK,RECOVERY_FAILED,1.0,1,STATE_1 + PULLBACK
33,2023-07-06 12:00:00,0.2877,0.2889,0.2761,0.2824,0.28909209840564803,0.28729519928095476,0.6254539335117923,-0.09061957962247882,-0.13085829227360196,0.0009640934155304611,0.015051014663393833,-0.0281704718826196,-0.745025771394525,-1.0843471869882741,LONG,0.6254539335117923,-0.09061957962247882,-0.13085829227360196,0.0009640934155304611,0.015051014663393833,-0.0281704718826196,-0.745025771394525,-1.0843471869882741,1,PULLBACK,,1.0,1,STATE_1 + PULLBACK
34,2023-07-06 16:00:00,0.2825,0.2879,0.2802,0.2838,0.28871409137667314,0.28726042117865674,0.5060461138544087,-0.11869875781401011,-0.11686000761061226,-0.0014122141492702487,0.014103195421718192,-0.031035839330292858,-0.6632074713647372,-1.1827501606525614,LONG,0.5060461138544087,-0.11869875781401011,-0.11686000761061226,-0.0014122141492702487,0.014103195421718192,-0.031035839330292858,-0.6632074713647372,-1.1827501606525614,1,PULLBACK,,1.0,1,STATE_1 + PULLBACK
35,2023-07-06 20:00:00,0.2838,0.2848,0.2784,0.2784,0.28797737056405365,0.28717225778384425,0.2803588293739034,-0.18755363235873163,-0.1312533729481813,-0.005437668378052707,0.012049080234211956,-0.034992782533689135,-0.730790549145252,-1.3964482175967596,LONG,0.2803588293739034,-0.18755363235873163,-0.1312533729481813,-0.005437668378052707,0.012049080234211956,-0.034992782533689135,-0.730790549145252,-1.3964482175967596,1,PULLBACK,,1.0,1,STATE_1 + PULLBACK
36,2023-07-07 00:00:00,0.2783,0.2828,0.2761,0.2819,0.2875432726666213,0.2871197975073881,0.14749075574361672,-0.17858504234101363,-0.13435956145979033,-0.008930658165228384,0.010014932622201544,-0.037922251255766606,-0.7389295250745296,-1.555482341851367,LONG,0.14749075574361672,-0.17858504234101363,-0.13435956145979033,-0.008930658165228384,0.010014932622201544,-0.037922251255766606,-0.7389295250745296,-1.555482341851367,1,PULLBACK,,1.0,1,STATE_1 + PULLBACK
37,2023-07-07 04:00:00,0.2819,0.2824,0.2788,0.2796,0.2869758960475769,0.2870449736515932,-0.024065080512489408,-0.20068242608780965,-0.15933328063053404,-0.013309784971004176,0.0077999063897678704,-0.042265630250462594,-0.8614176196528665,-1.7690348997262342,SHORT,0.024065080512489408,0.20068242608780965,0.15933328063053404,0.013309784971004176,-0.0077999063897678704,0.042265630250462594,0.8614176196528665,1.7690348997262342,1,CONTEXT_LOSS,CONTEXT_LOSS,,-1,STATE_1 + CONTEXT_LOSS
38,2023-07-07 08:00:00,0.2795,0.2835,0.2785,0.2822,0.28663476061560716,0.28699676495854254,-0.12613533918672087,-0.15540688096623195,-0.17104304978720064,-0.014274045915757538,0.005897308177168123,-0.04038743743580153,-0.9135103372551556,-1.7143828322527763,SHORT,0.12613533918672087,0.15540688096623195,0.17104304978720064,0.014274045915757538,-0.005897308177168123,0.04038743743580153,0.9135103372551556,1.7143828322527763,1,PULLBACK,CORRECTION_START,2.0,-1,STATE_1 + PULLBACK
39,2023-07-07 12:00:00,0.2822,0.2854,0.2809,0.2841,0.286453706285921,0.28696794142661675,-0.17919602382737315,-0.1263075258894501,-0.15210793459234745,-0.01370169844049085,0.004202641955961909,-0.03584508904015867,-0.8046499573391654,-1.5496757287336904,SHORT,0.17919602382737315,0.1263075258894501,0.15210793459234745,0.01370169844049085,-0.004202641955961909,0.03584508904015867,0.8046499573391654,1.5496757287336904,1,PULLBACK,,2.0,-1,STATE_1 + PULLBACK
40,2023-07-07 16:00:00,0.2841,0.2855,0.2811,0.283,0.2862070129797838,0.2869284594223718,-0.2514377430668105,-0.0893086699827017,-0.1447267078268144,-0.013452228179777759,0.0019328965204771602,-0.030798250518571102,-0.7574838569212192,-1.4206913282859563,SHORT,0.2514377430668105,0.0893086699827017,0.1447267078268144,0.013452228179777759,-0.0019328965204771602,0.030798250518571102,0.7574838569212192,1.4206913282859563,1,PULLBACK,,2.0,-1,STATE_1 + PULLBACK
41,2023-07-07 20:00:00,0.283,0.2852,0.2826,0.2844,0.286077940624085,0.2869033006221492,-0.28767880894866704,-0.06475371774243102,-0.10992935175475245,-0.013175707806187265,0.0001355195250805445,-0.026643748779245358,-0.5680376383225705,-1.2988281874678225,SHORT,0.28767880894866704,0.06475371774243102,0.10992935175475245,0.013175707806187265,-0.0001355195250805445,0.026643748779245358,0.5680376383225705,1.2988281874678225,1,PULLBACK,,2.0,-1,STATE_1 + PULLBACK
