correction_id,direction,direction_label,start_i,start_time,pre_correction_extreme,correction_start_close,running_extreme,duration_bars,max_depth_pct,min_distance_to_ema27_pct,min_distance_to_ema200_pct,recovery_attempt_count,end_i,end_time,end_status,in_recovery
1,1,LONG,2,2023-07-05 08:00:00,0.2963,0.286,0.2761,11,6.817414782315219,0.6025506534478622,0.15855633193503188,2,13,2023-07-07 04:00:00,CONTEXT_LOSS,False
2,-1,SHORT,14,2023-07-07 08:00:00,0.2761,0.2822,0.2931,23,6.1571894241217,0.0665165755433968,0.1543326631288651,2,37,2023-07-11 04:00:00,CONTEXT_LOSS,False
3,1,LONG,38,2023-07-11 08:00:00,0.2941,0.2913,0.2848,14,3.162189731383875,0.017584948647942016,0.21830508340368648,3,51,2023-07-13 12:00:00,RESUMPTION,True
4,1,LONG,55,2023-07-14 04:00:00,0.3793,0.3526,0.2928,123,22.80516741365674,0.006254709783879134,0.0015598836871335972,29,178,2023-08-03 16:00:00,CONTEXT_LOSS,True
5,-1,SHORT,180,2023-08-04 00:00:00,0.2888,0.294,0.3026,69,4.778393351800546,0.032751225423326605,0.010833124649566378,12,248,2023-08-15 08:00:00,RESUMPTION,False
6,-1,SHORT,251,2023-08-15 20:00:00,0.2741,0.282,0.2844,5,3.7577526450200565,2.83195969200202,5.514449697186179,1,255,2023-08-16 12:00:00,RESUMPTION,True
7,-1,SHORT,256,2023-08-16 16:00:00,0.2711,0.2751,0.2785,6,2.72962006639617,2.6242513260575584,6.771412281210698,1,261,2023-08-17 12:00:00,RESUMPTION,True
8,-1,SHORT,262,2023-08-17 16:00:00,0.2681,0.2739,0.2743,2,2.312569936590818,2.830564166118013,7.493401824401722,0,263,2023-08-17 20:00:00,RESUMPTION,
9,-1,SHORT,264,2023-08-18 00:00:00,0.238,0.2596,0.2802,271,17.731092436974798,0.0011400651016655215,0.005246249279722912,80,535,2023-10-02 04:00:00,CONTEXT_LOSS,False
10,1,LONG,537,2023-10-02 12:00:00,0.2696,0.2639,0.2488,47,7.715133531157274,0.010778351958107982,0.012610090013945833,12,584,2023-10-10 08:00:00,CONTEXT_LOSS,False
11,-1,SHORT,586,2023-10-10 16:00:00,0.2478,0.2486,0.2497,3,0.7667473769168737,2.055825520374728,2.6528877938024618,0,588,2023-10-11 00:00:00,RESUMPTION,
12,-1,SHORT,590,2023-10-11 08:00:00,0.2447,0.2475,0.2489,9,1.7163874131589738,1.3747900369391841,2.8039667336933283,0,598,2023-10-12 16:00:00,RESUMPTION,
13,-1,SHORT,599,2023-10-12 20:00:00,0.2422,0.246,0.26,38,7.349298100743192,0.013272830316768522,0.41978894546717843,9,636,2023-10-19 00:00:00,RESUMPTION,True
14,-1,SHORT,637,2023-10-19 04:00:00,0.2394,0.242,0.2633,20,9.98329156223892,0.32043781389515946,0.2579919484418811,3,657,2023-10-22 12:00:00,CONTEXT_LOSS,True
15,1,LONG,661,2023-10-23 04:00:00,0.269,0.2633,0.2616,4,2.750929368029746,2.957974339895076,4.160362529526504,0,664,2023-10-23 16:00:00,RESUMPTION,
16,1,LONG,667,2023-10-24 04:00:00,0.29,0.28,0.2733,13,5.75862068965517,3.1953079162056017,8.87503038942012,5,679,2023-10-26 04:00:00,RESUMPTION,True
17,1,LONG,680,2023-10-26 08:00:00,0.296,0.2892,0.2806,11,5.202702702702693,1.125890453171768,8.832932624903469,2,690,2023-10-28 00:00:00,RESUMPTION,False
18,1,LONG,691,2023-10-28 04:00:00,0.2962,0.2933,0.2881,9,2.734638757596217,1.6516884513615573,10.719488316595061,1,699,2023-10-29 12:00:00,RESUMPTION,True
19,1,LONG,700,2023-10-29 16:00:00,0.2978,0.2964,0.292,5,1.9476158495634746,1.442987381499623,10.974189159905324,0,704,2023-10-30 08:00:00,RESUMPTION,
20,1,LONG,706,2023-10-30 16:00:00,0.3022,0.301,0.2948,2,2.448709463931177,3.1973363087513813,13.34608060604809,0,707,2023-10-30 20:00:00,RESUMPTION,
21,1,LONG,708,2023-10-31 00:00:00,0.3031,0.2998,0.2839,12,6.334543055097326,0.12889122643926304,7.220244007125623,1,719,2023-11-01 20:00:00,RESUMPTION,True
22,1,LONG,721,2023-11-02 04:00:00,0.3124,0.3069,0.2981,4,4.577464788732406,1.1038891155761177,10.964209412726927,0,724,2023-11-02 16:00:00,RESUMPTION,
23,1,LONG,725,2023-11-02 20:00:00,0.3295,0.323,0.3114,14,5.493171471927163,2.968576808451389,16.271515659706807,3,738,2023-11-05 00:00:00,RESUMPTION,True
24,1,LONG,741,2023-11-05 12:00:00,0.3445,0.3416,0.3347,2,2.8447024673439696,6.5902888389071785,22.043884440671928,0,742,2023-11-05 16:00:00,RESUMPTION,
25,1,LONG,743,2023-11-05 20:00:00,0.35,0.3419,0.3373,4,3.6285714285714255,5.604998711030389,21.60568998339466,0,746,2023-11-06 08:00:00,RESUMPTION,
26,1,LONG,749,2023-11-06 20:00:00,0.3679,0.3624,0.3335,16,9.350366947540088,0.5322068736134986,18.136203732120084,5,764,2023-11-09 08:00:00,RESUMPTION,True
27,1,LONG,766,2023-11-09 16:00:00,0.3864,0.3617,0.3417,12,11.568322981366464,2.338381007842012,21.88930701087763,4,777,2023-11-11 12:00:00,RESUMPTION,False
28,1,LONG,779,2023-11-11 20:00:00,0.3951,0.3844,0.34,27,13.94583649708934,0.468234356143981,10.401244567878983,7,805,2023-11-16 04:00:00,RESUMPTION,True
29,1,LONG,806,2023-11-16 08:00:00,0.398,0.3926,0.3488,107,12.361809045226135,0.03804433232024036,5.402092660013948,27,912,2023-12-04 00:00:00,RESUMPTION,True
30,1,LONG,914,2023-12-04 08:00:00,0.4125,0.4037,0.3911,9,5.187878787878782,1.1223780925014628,9.417184476682017,3,922,2023-12-05 16:00:00,RESUMPTION,True
31,1,LONG,924,2023-12-06 00:00:00,0.426,0.4253,0.4162,2,2.3004694835680692,5.9801257080993055,15.839555496013386,0,925,2023-12-06 04:00:00,RESUMPTION,
32,1,LONG,928,2023-12-06 16:00:00,0.451,0.4477,0.4312,7,4.39024390243902,3.726796387108058,16.6858639995993,0,934,2023-12-07 16:00:00,RESUMPTION,
33,1,LONG,940,2023-12-08 16:00:00,0.5496,0.5325,0.5315,3,3.293304221251821,17.78598860173277,39.520054473751024,0,942,2023-12-09 00:00:00,RESUMPTION,
34,1,LONG,944,2023-12-09 08:00:00,0.6277,0.6229,0.5106,27,18.6554086346981,0.004342992767124563,28.575791213502725,5,970,2023-12-13 16:00:00,RESUMPTION,True
35,1,LONG,972,2023-12-14 00:00:00,0.6788,0.6564,0.5,142,26.34060106069534,0.0009811043942122147,0.1608604570587037,33,1114,2024-01-06 16:00:00,CONTEXT_LOSS,True
36,-1,SHORT,1115,2024-01-06 20:00:00,0.5137,0.5227,0.53,7,3.1730582051781155,4.186757317304674,5.221282470053132,2,1121,2024-01-07 20:00:00,RESUMPTION,False
37,-1,SHORT,1123,2024-01-08 04:00:00,0.4643,0.4895,0.6174,25,32.97437001938401,0.08002032577944562,1.692111332749233,6,1148,2024-01-12 08:00:00,CONTEXT_LOSS,False
38,1,LONG,1149,2024-01-12 12:00:00,0.5891,0.5664,0.5271,11,10.524528942454584,0.26754932762463063,0.03365795643098925,0,1160,2024-01-14 08:00:00,CONTEXT_LOSS,
39,-1,SHORT,1161,2024-01-14 12:00:00,0.5404,0.5456,0.5488,2,1.5544041450777135,0.7933885403570343,0.9093324700893083,0,1162,2024-01-14 16:00:00,RESUMPTION,
40,-1,SHORT,1164,2024-01-15 00:00:00,0.5233,0.5378,0.5482,19,4.75826485763425,0.1948732575104915,1.1880156770082173,4,1182,2024-01-18 00:00:00,RESUMPTION,False
41,-1,SHORT,1183,2024-01-18 04:00:00,0.5178,0.5252,0.526,2,1.5836230204712216,1.751869706500799,3.970816649053538,0,1184,2024-01-18 08:00:00,RESUMPTION,
42,-1,SHORT,1185,2024-01-18 12:00:00,0.515,0.5203,0.5234,2,1.6310679611650412,2.2728815689965067,4.769829546710016,0,1186,2024-01-18 16:00:00,RESUMPTION,
43,-1,SHORT,1187,2024-01-18 20:00:00,0.4955,0.5026,0.5061,2,2.1392532795156405,4.824439899081477,7.857829877443953,0,1188,2024-01-19 00:00:00,RESUMPTION,
44,-1,SHORT,1189,2024-01-19 04:00:00,0.4872,0.4996,0.5205,22,6.834975369458116,0.028063871151187757,4.22115730624246,4,1210,2024-01-22 16:00:00,RESUMPTION,False
45,-1,SHORT,1212,2024-01-23 00:00:00,0.4767,0.4828,0.4863,2,2.0138451856513524,4.2120444959693195,9.912880145024383,0,1213,2024-01-23 04:00:00,RESUMPTION,
46,-1,SHORT,1215,2024-01-23 12:00:00,0.4521,0.4676,0.5409,101,19.64167219641673,0.10865777583502856,0.058555966377451175,22,1316,2024-02-09 08:00:00,CONTEXT_LOSS,False
47,1,LONG,1317,2024-02-09 12:00:00,0.5445,0.5421,0.528,9,3.0303030303030227,1.9834643827630456,3.4775999913859623,1,1325,2024-02-10 20:00:00,RESUMPTION,True
48,1,LONG,1327,2024-02-11 04:00:00,0.5638,0.56,0.5306,20,5.888612983327423,0.056374148772221806,3.1688551327798806,3,1346,2024-02-14 08:00:00,RESUMPTION,True
49,1,LONG,1351,2024-02-15 04:00:00,0.5827,0.5778,0.5706,2,2.0765402436931524,4.045180962501705,10.059747043538882,0,1352,2024-02-15 08:00:00,RESUMPTION,
50,1,LONG,1356,2024-02-16 00:00:00,0.6126,0.6083,0.5687,13,7.166176950701934,0.2262033979903275,8.329085127544827,1,1368,2024-02-18 00:00:00,RESUMPTION,True
51,1,LONG,1371,2024-02-18 12:00:00,0.6391,0.6212,0.568,61,11.125019558754506,0.05821590661485927,3.336926532803249,18,1431,2024-02-28 12:00:00,RESUMPTION,False
52,1,LONG,1432,2024-02-28 16:00:00,0.6503,0.6181,0.5961,4,8.334614793172387,1.2023883248361231,8.665119288032697,1,1435,2024-02-29 04:00:00,RESUMPTION,True
53,1,LONG,1438,2024-02-29 16:00:00,0.7088,0.6766,0.6398,8,9.734762979683966,3.2463639976057244,13.768723080612356,2,1445,2024-03-01 20:00:00,RESUMPTION,False
54,1,LONG,1447,2024-03-02 04:00:00,0.7638,0.7343,0.685,13,10.316836868290126,3.1813705681128903,19.857107004691432,1,1459,2024-03-04 04:00:00,RESUMPTION,True
55,1,LONG,1462,2024-03-04 16:00:00,0.7986,0.7768,0.571,91,28.49987478086652,0.02936663474579508,0.021281310830453697,22,1553,2024-03-19 20:00:00,CONTEXT_LOSS,False
56,-1,SHORT,1554,2024-03-20 00:00:00,0.58,0.5884,0.6837,89,17.87931034482759,0.005988254799217671,0.09956044688335189,33,1642,2024-04-03 16:00:00,RESUMPTION,True
57,-1,SHORT,1645,2024-04-04 04:00:00,0.5655,0.5757,0.5967,8,5.517241379310345,1.9176516689387815,8.711002978118698,1,1652,2024-04-05 08:00:00,RESUMPTION,True
58,-1,SHORT,1653,2024-04-05 12:00:00,0.5626,0.5778,0.6242,44,10.94916459296125,0.09047363845804218,2.6023437265066405,13,1696,2024-04-12 16:00:00,RESUMPTION,True
59,-1,SHORT,1697,2024-04-12 20:00:00,0.45,0.5027,0.5164,7,14.755555555555548,9.051332956562645,17.34837450671317,1,1703,2024-04-13 20:00:00,RESUMPTION,True
