source_i,dt,open,high,low,close,ema27,ema200,direction,local_phase,local_event,correction_id
24,2023-07-05 00:00:00,0.2924,0.2943,0.291,0.2942,0.2923226464523386,0.28742782786873244,LONG,EXPANSION,,
25,2023-07-05 04:00:00,0.2942,0.2963,0.293,0.2951,0.29252102884860015,0.2875041678899391,LONG,EXPANSION,,
26,2023-07-05 08:00:00,0.2952,0.2957,0.283,0.286,0.2920552410737001,0.2874892010452631,LONG,PULLBACK,CORRECTION_START,1.0
27,2023-07-05 12:00:00,0.286,0.2869,0.2797,0.2826,0.291379866711293,0.28744055227864357,LONG,PULLBACK,,1.0
28,2023-07-05 16:00:00,0.2826,0.2884,0.2812,0.2826,0.2907527333747721,0.2873923875793536,LONG,PULLBACK,,1.0
29,2023-07-05 20:00:00,0.2825,0.2852,0.2815,0.2839,0.29026325241943124,0.2873576374541859,LONG,PULLBACK,,1.0
30,2023-07-06 00:00:00,0.2839,0.2854,0.2813,0.2849,0.2898801629609004,0.28733318335016417,LONG,PULLBACK,,1.0
31,2023-07-06 04:00:00,0.2849,0.2919,0.2833,0.288,0.2897458656065504,0.2873398183417048,LONG,RECOVERY,RECOVERY,1.0
32,2023-07-06 08:00:00,0.2881,0.2937,0.2864,0.2878,0.2896068752060825,0.2873443972636779,LONG,PULLBACK,RECOVERY_FAILED,1.0
33,2023-07-06 12:00:00,0.2877,0.2889,0.2761,0.2824,0.28909209840564803,0.28729519928095476,LONG,PULLBACK,,1.0
34,2023-07-06 16:00:00,0.2825,0.2879,0.2802,0.2838,0.28871409137667314,0.28726042117865674,LONG,PULLBACK,,1.0
35,2023-07-06 20:00:00,0.2838,0.2848,0.2784,0.2784,0.28797737056405365,0.28717225778384425,LONG,PULLBACK,,1.0
36,2023-07-07 00:00:00,0.2783,0.2828,0.2761,0.2819,0.2875432726666213,0.2871197975073881,LONG,PULLBACK,,1.0
37,2023-07-07 04:00:00,0.2819,0.2824,0.2788,0.2796,0.2869758960475769,0.2870449736515932,SHORT,CONTEXT_LOSS,CONTEXT_LOSS,
38,2023-07-07 08:00:00,0.2795,0.2835,0.2785,0.2822,0.28663476061560716,0.28699676495854254,SHORT,PULLBACK,CORRECTION_START,2.0
39,2023-07-07 12:00:00,0.2822,0.2854,0.2809,0.2841,0.286453706285921,0.28696794142661675,SHORT,PULLBACK,,2.0
40,2023-07-07 16:00:00,0.2841,0.2855,0.2811,0.283,0.2862070129797838,0.2869284594223718,SHORT,PULLBACK,,2.0
41,2023-07-07 20:00:00,0.283,0.2852,0.2826,0.2844,0.286077940624085,0.2869033006221492,SHORT,PULLBACK,,2.0
42,2023-07-08 00:00:00,0.2844,0.2866,0.283,0.2833,0.2858795162937932,0.28686744688461535,SHORT,PULLBACK,,2.0
43,2023-07-08 04:00:00,0.2832,0.288,0.2817,0.2847,0.28579526512995085,0.2868458802489475,SHORT,PULLBACK,,2.0
44,2023-07-08 08:00:00,0.2846,0.2873,0.2841,0.286,0.28580988904924004,0.2868374635300525,SHORT,PULLBACK,,2.0
45,2023-07-08 12:00:00,0.2861,0.2905,0.2849,0.289,0.2860377541171515,0.2868589813058729,SHORT,PULLBACK,,2.0
46,2023-07-08 16:00:00,0.289,0.2931,0.2865,0.2896,0.2862922002516407,0.2868862551237249,SHORT,PULLBACK,,2.0
47,2023-07-08 20:00:00,0.2896,0.2908,0.2878,0.2907,0.28660704309080925,0.2869242028339366,SHORT,PULLBACK,,2.0
48,2023-07-09 00:00:00,0.2907,0.2918,0.2895,0.29,0.2868493971557514,0.2869548077808626,SHORT,PULLBACK,,2.0
49,2023-07-09 04:00:00,0.29,0.2903,0.2853,0.2862,0.28680301164462635,0.28694729725567986,SHORT,RECOVERY,RECOVERY,2.0
50,2023-07-09 08:00:00,0.2863,0.2871,0.2854,0.2865,0.28678136795572445,0.28694284653671787,SHORT,PULLBACK,RECOVERY_FAILED,2.0
51,2023-07-09 12:00:00,0.2865,0.2888,0.2847,0.2863,0.2867469845303156,0.28693645005376545,SHORT,PULLBACK,,2.0
52,2023-07-09 16:00:00,0.2863,0.2866,0.2839,0.2853,0.2866436284924359,0.28692016696865336,SHORT,PULLBACK,,2.0
53,2023-07-09 20:00:00,0.2852,0.2857,0.283,0.2844,0.2864833693144048,0.2868950906804081,SHORT,PULLBACK,,2.0
54,2023-07-10 00:00:00,0.2843,0.2865,0.2781,0.2842,0.28632027150623307,0.28686827385771746,SHORT,PULLBACK,,2.0
55,2023-07-10 04:00:00,0.2841,0.2866,0.2816,0.2832,0.2860973949700736,0.28683177362032725,SHORT,PULLBACK,,2.0
56,2023-07-10 08:00:00,0.2833,0.2866,0.2802,0.2851,0.2860261524722112,0.28681454204201556,SHORT,PULLBACK,,2.0
57,2023-07-10 12:00:00,0.285,0.289,0.2848,0.2879,0.2861599987241961,0.28682534261871195,SHORT,PULLBACK,,2.0
58,2023-07-10 16:00:00,0.2878,0.2915,0.2861,0.2913,0.28652714167246784,0.2868698665727546,SHORT,PULLBACK,,2.0
59,2023-07-10 20:00:00,0.2913,0.2927,0.2863,0.2878,0.28661806012443447,0.2868791216317322,SHORT,PULLBACK,,2.0
60,2023-07-11 00:00:00,0.2878,0.2915,0.2874,0.2902,0.28687391297268916,0.2869121651975856,SHORT,PULLBACK,,2.0
61,2023-07-11 04:00:00,0.2902,0.2941,0.2894,0.2915,0.2872043477603542,0.2869578152951221,LONG,CONTEXT_LOSS,CONTEXT_LOSS,
62,2023-07-11 08:00:00,0.2916,0.2935,0.2895,0.2913,0.28749689434890036,0.28700102111308107,LONG,PULLBACK,CORRECTION_START,3.0
63,2023-07-11 12:00:00,0.2913,0.2925,0.2897,0.2905,0.28771140189540745,0.28703583682339867,LONG,PULLBACK,,3.0
64,2023-07-11 16:00:00,0.2906,0.2922,0.2883,0.2897,0.28785344461716406,0.287062345909733,LONG,PULLBACK,,3.0
65,2023-07-11 20:00:00,0.2897,0.2931,0.2896,0.2927,0.2881996271445095,0.2871184419703327,LONG,RECOVERY,RECOVERY,3.0
