correction_id,direction,start_i,end_i,start_time,end_time,duration_bars,max_depth_pct,min_abs_distance_to_ema27_pct,min_abs_distance_to_ema200_pct,changed_ema27_slope,changed_ema200_slope,bars_to_update_extreme,updated_extreme
1,UP_TREND_PULLBACK,4,4,2023-07-01 16:00:00+00:00,2023-07-01 16:00:00+00:00,1,0.13864818024261905,0.5740115396247716,0.7103497691156072,False,False,2.0,True
2,UP_TREND_PULLBACK,6,6,2023-07-02 00:00:00+00:00,2023-07-02 00:00:00+00:00,1,1.1969904240766085,0.6534049472966194,0.958043956559603,False,False,5.0,True
3,UP_TREND_PULLBACK,9,9,2023-07-02 12:00:00+00:00,2023-07-02 12:00:00+00:00,1,0.4819277108433587,0.5413208308732371,0.9916978520980927,False,False,1.0,True
4,UP_TREND_PULLBACK,13,13,2023-07-03 04:00:00+00:00,2023-07-03 04:00:00+00:00,1,0.30498136225006994,1.844970590680013,2.6845138727733207,False,False,3.0,True
5,UP_TREND_PULLBACK,17,17,2023-07-03 20:00:00+00:00,2023-07-03 20:00:00+00:00,1,0.5697050938337732,2.027831653157005,3.4179981307038734,False,False,1.0,True
6,UP_TREND_PULLBACK,19,19,2023-07-04 04:00:00+00:00,2023-07-04 04:00:00+00:00,1,1.601067378252177,1.1314624019267776,2.751022105414459,False,False,,False
7,UP_TREND_PULLBACK,21,22,2023-07-04 12:00:00+00:00,2023-07-04 16:00:00+00:00,2,1.617250673854456,0.055166730071512654,1.6326978907532426,True,False,,False
8,UP_TREND_PULLBACK,26,26,2023-07-05 08:00:00+00:00,2023-07-05 08:00:00+00:00,1,3.083700440528634,2.0733204620601575,0.5180024292559977,True,True,,False
9,DOWN_TREND_PULLBACK,38,39,2023-07-07 08:00:00+00:00,2023-07-07 12:00:00+00:00,2,1.6094420600858381,0.8216707392054601,0.9993943617392241,False,False,15.0,True
10,DOWN_TREND_PULLBACK,41,41,2023-07-07 20:00:00+00:00,2023-07-07 20:00:00+00:00,1,0.494699646643114,0.5865326842134464,0.8725241629220735,False,False,13.0,True
11,DOWN_TREND_PULLBACK,43,44,2023-07-08 04:00:00+00:00,2023-07-08 08:00:00+00:00,2,0.9530533003882741,0.0665165755433968,0.2919644873950705,True,False,10.0,True
12,DOWN_TREND_PULLBACK,50,50,2023-07-09 08:00:00+00:00,2023-07-09 08:00:00+00:00,1,0.10482180293499893,0.09811235567016201,0.1543326631288651,False,False,1.0,True
13,DOWN_TREND_PULLBACK,56,57,2023-07-10 08:00:00+00:00,2023-07-10 12:00:00+00:00,2,1.659604519774005,0.3237999267571005,0.37467309250864184,True,True,,False
14,UP_TREND_PULLBACK,62,64,2023-07-11 08:00:00+00:00,2023-07-11 16:00:00+00:00,3,0.6174957118353236,0.6414915010976565,0.9188436337437366,False,False,2.0,True
15,UP_TREND_PULLBACK,68,70,2023-07-12 08:00:00+00:00,2023-07-12 16:00:00+00:00,3,2.5544959128065416,0.4901697391103558,0.4235066613839674,True,True,5.0,True
16,UP_TREND_PULLBACK,79,82,2023-07-14 04:00:00+00:00,2023-07-14 16:00:00+00:00,4,10.994184436444188,2.591519348292191,10.19547275602127,False,False,,False
17,UP_TREND_PULLBACK,84,84,2023-07-15 00:00:00+00:00,2023-07-15 00:00:00+00:00,1,0.4272200183094332,3.5322450308300835,11.607764962802873,False,False,1.0,True
18,UP_TREND_PULLBACK,86,90,2023-07-15 08:00:00+00:00,2023-07-16 00:00:00+00:00,5,4.390681003584227,0.06319256684502135,8.69702203438919,False,False,,False
19,UP_TREND_PULLBACK,93,94,2023-07-16 12:00:00+00:00,2023-07-16 16:00:00+00:00,2,2.294573643410858,0.2754281374146342,6.638679450983262,True,False,20.0,True
20,UP_TREND_PULLBACK,109,109,2023-07-19 04:00:00+00:00,2023-07-19 04:00:00+00:00,1,1.3433302093095816,0.6128243210329232,6.090858858457938,False,False,3.0,True
