timeframe,model,state,start_pos,end_pos,duration_bars
4H,BACKBONE_A,ACTIVE,0,294,295
4H,BACKBONE_A,TRANSITION,295,295,1
4H,BACKBONE_A,ACTIVE,296,343,48
4H,BACKBONE_A,TRANSITION,344,344,1
4H,BACKBONE_A,FLATTENING,345,345,1
4H,BACKBONE_A,ACTIVE,346,416,71
4H,BACKBONE_A,TRANSITION,417,417,1
4H,BACKBONE_A,LOST,418,418,1
4H,BACKBONE_A,FLATTENING,419,419,1
4H,BACKBONE_A,ACTIVE,420,872,453
4H,BACKBONE_A,FLATTENING,873,873,1
4H,BACKBONE_A,TRANSITION,874,874,1
4H,BACKBONE_A,ACTIVE,875,907,33
4H,BACKBONE_A,TRANSITION,908,908,1
4H,BACKBONE_A,LOST,909,912,4
4H,BACKBONE_A,FLATTENING,913,915,3
4H,BACKBONE_A,ACTIVE,916,919,4
4H,BACKBONE_A,TRANSITION,920,920,1
4H,BACKBONE_A,LOST,921,927,7
4H,BACKBONE_A,FLATTENING,928,928,1
4H,BACKBONE_A,ACTIVE,929,1075,147
4H,BACKBONE_A,TRANSITION,1076,1076,1
4H,BACKBONE_A,LOST,1077,1079,3
4H,BACKBONE_A,FLATTENING,1080,1080,1
4H,BACKBONE_A,ACTIVE,1081,1310,230
4H,BACKBONE_A,FLATTENING,1311,1311,1
4H,BACKBONE_A,LOST,1312,1312,1
4H,BACKBONE_A,TRANSITION,1313,1313,1
4H,BACKBONE_A,ACTIVE,1314,1683,370
4H,BACKBONE_A,FLATTENING,1684,1684,1
4H,BACKBONE_A,LOST,1685,1687,3
4H,BACKBONE_A,TRANSITION,1688,1688,1
4H,BACKBONE_A,ACTIVE,1689,1704,16
4H,BACKBONE_A,TRANSITION,1705,1705,1
4H,BACKBONE_A,LOST,1706,1709,4
4H,BACKBONE_A,FLATTENING,1710,1710,1
4H,BACKBONE_A,ACTIVE,1711,2006,296
4H,BACKBONE_A,TRANSITION,2007,2007,1
4H,BACKBONE_A,ACTIVE,2008,2079,72
4H,BACKBONE_A,TRANSITION,2080,2080,1
4H,BACKBONE_A,FLATTENING,2081,2082,2
4H,BACKBONE_A,ACTIVE,2083,2089,7
4H,BACKBONE_A,TRANSITION,2090,2090,1
4H,BACKBONE_A,LOST,2091,2098,8
4H,BACKBONE_A,TRANSITION,2099,2100,2
4H,BACKBONE_A,LOST,2101,2102,2
4H,BACKBONE_A,FLATTENING,2103,2104,2
4H,BACKBONE_A,TRANSITION,2105,2105,1
4H,BACKBONE_A,LOST,2106,2106,1
4H,BACKBONE_A,FLATTENING,2107,2110,4
4H,BACKBONE_A,ACTIVE,2111,2253,143
4H,BACKBONE_A,TRANSITION,2254,2254,1
4H,BACKBONE_A,ACTIVE,2255,2283,29
4H,BACKBONE_A,TRANSITION,2284,2284,1
4H,BACKBONE_A,LOST,2285,2286,2
4H,BACKBONE_A,FLATTENING,2287,2288,2
4H,BACKBONE_A,ACTIVE,2289,2378,90
4H,BACKBONE_A,FLATTENING,2379,2380,2
4H,BACKBONE_A,TRANSITION,2381,2381,1
4H,BACKBONE_A,ACTIVE,2382,2393,12
4H,BACKBONE_A,TRANSITION,2394,2394,1
4H,BACKBONE_A,LOST,2395,2397,3
4H,BACKBONE_A,FLATTENING,2398,2399,2
4H,BACKBONE_A,ACTIVE,2400,2424,25
4H,BACKBONE_A,TRANSITION,2425,2425,1
4H,BACKBONE_A,LOST,2426,2427,2
4H,BACKBONE_A,FLATTENING,2428,2428,1
4H,BACKBONE_A,ACTIVE,2429,2499,71
4H,BACKBONE_A,TRANSITION,2500,2500,1
4H,BACKBONE_A,ACTIVE,2501,2572,72
4H,BACKBONE_A,FLATTENING,2573,2580,8
4H,BACKBONE_A,ACTIVE,2581,2607,27
4H,BACKBONE_A,TRANSITION,2608,2608,1
4H,BACKBONE_A,LOST,2609,2609,1
4H,BACKBONE_A,FLATTENING,2610,2611,2
4H,BACKBONE_A,ACTIVE,2612,2623,12
4H,BACKBONE_A,TRANSITION,2624,2624,1
4H,BACKBONE_A,LOST,2625,2627,3
4H,BACKBONE_A,FLATTENING,2628,2628,1
4H,BACKBONE_A,ACTIVE,2629,2674,46
4H,BACKBONE_A,FLATTENING,2675,2676,2
4H,BACKBONE_A,LOST,2677,2681,5
4H,BACKBONE_A,FLATTENING,2682,2683,2
4H,BACKBONE_A,ACTIVE,2684,2707,24
4H,BACKBONE_A,TRANSITION,2708,2708,1
4H,BACKBONE_A,LOST,2709,2710,2
4H,BACKBONE_A,ACTIVE,2711,2966,256
4H,BACKBONE_A,TRANSITION,2967,2967,1
4H,BACKBONE_A,LOST,2968,2968,1
4H,BACKBONE_A,FLATTENING,2969,2971,3
4H,BACKBONE_A,ACTIVE,2972,3035,64
4H,BACKBONE_B,ACTIVE,0,289,290
4H,BACKBONE_B,FLATTENING,290,294,5
4H,BACKBONE_B,TRANSITION,295,295,1
4H,BACKBONE_B,FLATTENING,296,311,16
4H,BACKBONE_B,ACTIVE,312,337,26
4H,BACKBONE_B,FLATTENING,338,343,6
4H,BACKBONE_B,TRANSITION,344,344,1
4H,BACKBONE_B,FLATTENING,345,353,9
4H,BACKBONE_B,ACTIVE,354,411,58
4H,BACKBONE_B,FLATTENING,412,416,5
4H,BACKBONE_B,TRANSITION,417,417,1
4H,BACKBONE_B,LOST,418,418,1
4H,BACKBONE_B,FLATTENING,419,425,7
4H,BACKBONE_B,ACTIVE,426,859,434
4H,BACKBONE_B,FLATTENING,860,873,14
4H,BACKBONE_B,TRANSITION,874,874,1
4H,BACKBONE_B,FLATTENING,875,889,15
4H,BACKBONE_B,ACTIVE,890,901,12
4H,BACKBONE_B,FLATTENING,902,907,6
4H,BACKBONE_B,TRANSITION,908,908,1
4H,BACKBONE_B,LOST,909,913,5
4H,BACKBONE_B,FLATTENING,914,919,6
4H,BACKBONE_B,TRANSITION,920,920,1
4H,BACKBONE_B,LOST,921,927,7
4H,BACKBONE_B,FLATTENING,928,928,1
4H,BACKBONE_B,ACTIVE,929,1014,86
4H,BACKBONE_B,FLATTENING,1015,1026,12
4H,BACKBONE_B,ACTIVE,1027,1039,13
4H,BACKBONE_B,FLATTENING,1040,1046,7
4H,BACKBONE_B,ACTIVE,1047,1071,25
4H,BACKBONE_B,FLATTENING,1072,1075,4
4H,BACKBONE_B,TRANSITION,1076,1076,1
4H,BACKBONE_B,LOST,1077,1079,3
4H,BACKBONE_B,FLATTENING,1080,1087,8
4H,BACKBONE_B,ACTIVE,1088,1296,209
4H,BACKBONE_B,FLATTENING,1297,1311,15
4H,BACKBONE_B,LOST,1312,1312,1
4H,BACKBONE_B,TRANSITION,1313,1313,1
4H,BACKBONE_B,FLATTENING,1314,1326,13
4H,BACKBONE_B,ACTIVE,1327,1350,24
4H,BACKBONE_B,FLATTENING,1351,1363,13
4H,BACKBONE_B,ACTIVE,1364,1665,302
4H,BACKBONE_B,FLATTENING,1666,1684,19
4H,BACKBONE_B,LOST,1685,1687,3
4H,BACKBONE_B,TRANSITION,1688,1688,1
4H,BACKBONE_B,FLATTENING,1689,1701,13
4H,BACKBONE_B,ACTIVE,1702,1703,2
4H,BACKBONE_B,FLATTENING,1704,1704,1
4H,BACKBONE_B,TRANSITION,1705,1705,1
4H,BACKBONE_B,LOST,1706,1709,4
4H,BACKBONE_B,FLATTENING,1710,1714,5
4H,BACKBONE_B,ACTIVE,1715,1942,228
4H,BACKBONE_B,FLATTENING,1943,1953,11
4H,BACKBONE_B,ACTIVE,1954,2000,47
4H,BACKBONE_B,FLATTENING,2001,2006,6
4H,BACKBONE_B,TRANSITION,2007,2007,1
4H,BACKBONE_B,FLATTENING,2008,2019,12
4H,BACKBONE_B,ACTIVE,2020,2072,53
4H,BACKBONE_B,FLATTENING,2073,2079,7
4H,BACKBONE_B,TRANSITION,2080,2080,1
4H,BACKBONE_B,LOST,2081,2081,1
4H,BACKBONE_B,FLATTENING,2082,2089,8
4H,BACKBONE_B,TRANSITION,2090,2090,1
4H,BACKBONE_B,LOST,2091,2098,8
4H,BACKBONE_B,TRANSITION,2099,2100,2
4H,BACKBONE_B,LOST,2101,2103,3
4H,BACKBONE_B,FLATTENING,2104,2104,1
4H,BACKBONE_B,TRANSITION,2105,2105,1
4H,BACKBONE_B,LOST,2106,2108,3
4H,BACKBONE_B,FLATTENING,2109,2111,3
4H,BACKBONE_B,ACTIVE,2112,2244,133
4H,BACKBONE_B,FLATTENING,2245,2253,9
4H,BACKBONE_B,TRANSITION,2254,2254,1
4H,BACKBONE_B,FLATTENING,2255,2267,13
4H,BACKBONE_B,ACTIVE,2268,2277,10
4H,BACKBONE_B,FLATTENING,2278,2283,6
4H,BACKBONE_B,TRANSITION,2284,2284,1
4H,BACKBONE_B,LOST,2285,2286,2
4H,BACKBONE_B,FLATTENING,2287,2303,17
4H,BACKBONE_B,ACTIVE,2304,2371,68
4H,BACKBONE_B,FLATTENING,2372,2379,8
4H,BACKBONE_B,LOST,2380,2380,1
4H,BACKBONE_B,TRANSITION,2381,2381,1
4H,BACKBONE_B,FLATTENING,2382,2393,12
4H,BACKBONE_B,TRANSITION,2394,2394,1
4H,BACKBONE_B,LOST,2395,2397,3
4H,BACKBONE_B,FLATTENING,2398,2402,5
4H,BACKBONE_B,ACTIVE,2403,2414,12
4H,BACKBONE_B,FLATTENING,2415,2424,10
4H,BACKBONE_B,TRANSITION,2425,2425,1
4H,BACKBONE_B,LOST,2426,2427,2
4H,BACKBONE_B,FLATTENING,2428,2444,17
4H,BACKBONE_B,ACTIVE,2445,2490,46
4H,BACKBONE_B,FLATTENING,2491,2499,9
4H,BACKBONE_B,TRANSITION,2500,2500,1
4H,BACKBONE_B,FLATTENING,2501,2520,20
4H,BACKBONE_B,ACTIVE,2521,2566,46
4H,BACKBONE_B,FLATTENING,2567,2580,14
4H,BACKBONE_B,ACTIVE,2581,2603,23
4H,BACKBONE_B,FLATTENING,2604,2607,4
4H,BACKBONE_B,TRANSITION,2608,2608,1
4H,BACKBONE_B,LOST,2609,2610,2
4H,BACKBONE_B,FLATTENING,2611,2623,13
4H,BACKBONE_B,TRANSITION,2624,2624,1
4H,BACKBONE_B,LOST,2625,2628,4
4H,BACKBONE_B,FLATTENING,2629,2632,4
4H,BACKBONE_B,ACTIVE,2633,2658,26
