timeframe,model,state,available_bars,bar_count,bar_fraction,episode_count,mean_dwell,median_dwell,p75_dwell,p90_dwell,max_dwell,quarters_present,nonconsecutive_episode_count,state_changes_per_100_bars,largest_state_fraction
4H,BACKBONE_A,ACTIVE,3036,2913,0.9594861660079052,26,112.03846153846153,67.5,146.0,295.5,453,6,26,2.9644268774703555,0.9594861660079052
4H,BACKBONE_A,FLATTENING,3036,44,0.014492753623188406,22,2.0,2.0,2.0,3.0,8,5,22,2.9644268774703555,0.9594861660079052
4H,BACKBONE_A,LOST,3036,53,0.01745718050065876,18,2.9444444444444446,2.5,3.75,5.600000000000001,8,5,18,2.9644268774703555,0.9594861660079052
4H,BACKBONE_A,TRANSITION,3036,26,0.008563899868247694,25,1.04,1.0,1.0,1.0,2,5,25,2.9644268774703555,0.9594861660079052
4H,BACKBONE_B,ACTIVE,3036,2482,0.8175230566534915,26,95.46153846153847,46.5,121.25,267.5,434,6,26,3.9525691699604746,0.8175230566534915
4H,BACKBONE_B,FLATTENING,3036,465,0.15316205533596838,50,9.3,8.0,13.0,16.1,20,5,50,3.9525691699604746,0.8175230566534915
4H,BACKBONE_B,LOST,3036,63,0.020750988142292492,20,3.15,3.0,4.0,6.100000000000001,8,5,20,3.9525691699604746,0.8175230566534915
4H,BACKBONE_B,TRANSITION,3036,26,0.008563899868247694,25,1.04,1.0,1.0,1.0,2,5,25,3.9525691699604746,0.8175230566534915
4H,BACKBONE_C,ACTIVE,3035,2480,0.8171334431630972,26,95.38461538461539,46.5,121.0,267.5,434,6,26,3.756177924217463,0.8171334431630972
4H,BACKBONE_C,FLATTENING,3035,442,0.1456342668863262,47,9.404255319148936,8.0,13.0,16.4,20,5,47,3.756177924217463,0.8171334431630972
4H,BACKBONE_C,LOST,3035,72,0.02372322899505766,17,4.235294117647059,4.0,5.0,6.800000000000001,10,5,17,3.756177924217463,0.8171334431630972
4H,BACKBONE_C,TRANSITION,3035,41,0.013509060955518945,25,1.64,2.0,2.0,2.0,3,5,25,3.756177924217463,0.8171334431630972
