timeframe,model,backbone_state,fast_phase,bar_count,bar_fraction_within_backbone,episode_count,mean_dwell,median_dwell,p75_dwell,p90_dwell,max_dwell
4H,BACKBONE_A,ACTIVE,EXPANDING,1361,0.4672159285959492,85,16.011764705882353,12.0,21.0,35.0,53
4H,BACKBONE_A,ACTIVE,CONTRACTING,476,0.16340542396155167,113,4.212389380530974,2.0,5.0,10.0,29
4H,BACKBONE_A,ACTIVE,OPPOSING,822,0.282183316168898,74,11.108108108108109,9.5,17.0,21.0,33
4H,BACKBONE_A,ACTIVE,NEUTRAL,254,0.0871953312736011,126,2.015873015873016,2.0,2.0,4.0,7
4H,BACKBONE_A,ACTIVE,TRANSITION,0,0.0,0,,,,,0
4H,BACKBONE_A,FLATTENING,EXPANDING,24,0.5454545454545454,8,3.0,3.0,3.25,4.6,6
4H,BACKBONE_A,FLATTENING,CONTRACTING,0,0.0,0,,,,,0
4H,BACKBONE_A,FLATTENING,OPPOSING,13,0.29545454545454547,5,2.6,2.0,3.0,4.2,5
4H,BACKBONE_A,FLATTENING,NEUTRAL,7,0.1590909090909091,3,2.3333333333333335,2.0,2.5,2.8,3
4H,BACKBONE_A,FLATTENING,TRANSITION,0,0.0,0,,,,,0
4H,BACKBONE_A,LOST,EXPANDING,40,0.7547169811320755,4,10.0,11.0,12.75,14.100000000000001,15
4H,BACKBONE_A,LOST,CONTRACTING,0,0.0,0,,,,,0
4H,BACKBONE_A,LOST,OPPOSING,10,0.18867924528301888,3,3.3333333333333335,4.0,4.5,4.8,5
4H,BACKBONE_A,LOST,NEUTRAL,3,0.05660377358490566,2,1.5,1.5,1.75,1.9,2
4H,BACKBONE_A,LOST,TRANSITION,0,0.0,0,,,,,0
4H,BACKBONE_B,ACTIVE,EXPANDING,1160,0.467365028203062,75,15.466666666666667,11.0,21.0,33.800000000000026,53
4H,BACKBONE_B,ACTIVE,CONTRACTING,471,0.18976631748589848,108,4.361111111111111,3.0,6.0,10.0,29
4H,BACKBONE_B,ACTIVE,OPPOSING,618,0.24899274778404512,68,9.088235294117647,8.0,12.0,18.300000000000004,27
4H,BACKBONE_B,ACTIVE,NEUTRAL,233,0.09387590652699436,114,2.043859649122807,2.0,2.0,4.0,7
4H,BACKBONE_B,ACTIVE,TRANSITION,0,0.0,0,,,,,0
4H,BACKBONE_B,FLATTENING,EXPANDING,218,0.46881720430107526,27,8.074074074074074,7.0,12.0,14.800000000000004,18
4H,BACKBONE_B,FLATTENING,CONTRACTING,5,0.010752688172043012,5,1.0,1.0,1.0,1.0,1
4H,BACKBONE_B,FLATTENING,OPPOSING,215,0.46236559139784944,30,7.166666666666667,6.5,9.75,11.300000000000004,15
4H,BACKBONE_B,FLATTENING,NEUTRAL,27,0.05806451612903226,16,1.6875,1.0,2.0,3.0,4
4H,BACKBONE_B,FLATTENING,TRANSITION,0,0.0,0,,,,,0
4H,BACKBONE_B,LOST,EXPANDING,47,0.746031746031746,5,9.4,11.0,11.0,14.0,16
4H,BACKBONE_B,LOST,CONTRACTING,0,0.0,0,,,,,0
4H,BACKBONE_B,LOST,OPPOSING,12,0.19047619047619047,4,3.0,2.5,4.5,5.4,6
4H,BACKBONE_B,LOST,NEUTRAL,4,0.06349206349206349,2,2.0,2.0,2.5,2.8,3
4H,BACKBONE_B,LOST,TRANSITION,0,0.0,0,,,,,0
4H,BACKBONE_C,ACTIVE,EXPANDING,1138,0.4588709677419355,74,15.378378378378379,11.0,21.0,34.10000000000001,53
4H,BACKBONE_C,ACTIVE,CONTRACTING,471,0.18991935483870967,108,4.361111111111111,3.0,6.0,10.0,29
4H,BACKBONE_C,ACTIVE,OPPOSING,640,0.25806451612903225,68,9.411764705882353,8.5,13.0,18.300000000000004,27
4H,BACKBONE_C,ACTIVE,NEUTRAL,231,0.09314516129032258,113,2.0442477876106193,2.0,2.0,4.0,7
4H,BACKBONE_C,ACTIVE,TRANSITION,0,0.0,0,,,,,0
4H,BACKBONE_C,FLATTENING,EXPANDING,214,0.4841628959276018,29,7.379310344827586,7.0,11.0,13.599999999999998,17
4H,BACKBONE_C,FLATTENING,CONTRACTING,5,0.011312217194570135,5,1.0,1.0,1.0,1.0,1
4H,BACKBONE_C,FLATTENING,OPPOSING,196,0.4434389140271493,30,6.533333333333333,5.5,8.75,13.100000000000001,15
4H,BACKBONE_C,FLATTENING,NEUTRAL,27,0.06108597285067873,16,1.6875,1.0,2.0,3.0,4
4H,BACKBONE_C,FLATTENING,TRANSITION,0,0.0,0,,,,,0
4H,BACKBONE_C,LOST,EXPANDING,57,0.7916666666666666,5,11.4,11.0,14.0,17.0,19
4H,BACKBONE_C,LOST,CONTRACTING,0,0.0,0,,,,,0
4H,BACKBONE_C,LOST,OPPOSING,9,0.125,3,3.0,3.0,4.0,4.6,5
4H,BACKBONE_C,LOST,NEUTRAL,6,0.08333333333333333,3,2.0,1.0,2.5,3.4000000000000004,4
4H,BACKBONE_C,LOST,TRANSITION,0,0.0,0,,,,,0
