relation_type,relation,bar_count,bar_fraction
direction_relation,ALIGNED_DOWN,5274,0.43453901293565134
direction_relation,ALIGNED_UP,3887,0.32026036087995385
direction_relation,LOWER_OPPOSES_PARENT,2766,0.2278981626431573
direction_relation,LOWER_TRANSITION,106,0.008733624454148471
direction_relation,PARENT_TRANSITION,104,0.008568839087089067
backbone_relation,PARENT_ACTIVE,9917,0.8170882425640603
backbone_relation,PARENT_FLATTENING,1768,0.14567026448051412
backbone_relation,PARENT_LOST,288,0.023729092856554338
backbone_relation,PARENT_TRANSITION,164,0.013512400098871221
multiscale_composite,4H_DOWN_ACTIVE_EXPANDING__1H_DOWN_ACTIVE_EXPANDING,1248,0.1028260690450688
multiscale_composite,4H_UP_ACTIVE_EXPANDING__1H_UP_ACTIVE_EXPANDING,785,0.06467825657081651
multiscale_composite,4H_DOWN_ACTIVE_EXPANDING__1H_DOWN_ACTIVE_OPPOSING,693,0.057098129686083875
multiscale_composite,4H_DOWN_ACTIVE_EXPANDING__1H_DOWN_ACTIVE_CONTRACTING,515,0.04243223201779682
multiscale_composite,4H_UP_ACTIVE_EXPANDING__1H_UP_ACTIVE_CONTRACTING,511,0.04210266128367801
multiscale_composite,4H_DOWN_ACTIVE_OPPOSING__1H_UP_ACTIVE_EXPANDING,462,0.03806541979072258
multiscale_composite,4H_UP_ACTIVE_EXPANDING__1H_UP_ACTIVE_OPPOSING,354,0.02916700996951471
multiscale_composite,4H_UP_ACTIVE_CONTRACTING__1H_UP_ACTIVE_OPPOSING,346,0.028507868501277088
multiscale_composite,4H_DOWN_ACTIVE_CONTRACTING__1H_DOWN_ACTIVE_OPPOSING,333,0.027436763615390953
multiscale_composite,4H_DOWN_ACTIVE_OPPOSING__1H_UP_FLATTENING_EXPANDING,268,0.022081239185960288
multiscale_composite,4H_UP_ACTIVE_OPPOSING__1H_DOWN_ACTIVE_EXPANDING,247,0.020350992831836532
multiscale_composite,4H_UP_ACTIVE_CONTRACTING__1H_UP_ACTIVE_EXPANDING,242,0.01993902941418802
multiscale_composite,4H_DOWN_ACTIVE_EXPANDING__1H_DOWN_ACTIVE_NEUTRAL,239,0.01969185136359891
multiscale_composite,4H_DOWN_ACTIVE_NEUTRAL__1H_DOWN_ACTIVE_OPPOSING,216,0.017796819642415754
multiscale_composite,4H_DOWN_FLATTENING_OPPOSING__1H_UP_ACTIVE_EXPANDING,197,0.016231358655351406
