section_id,episode_id,episode_start_open_time,first_core_trigger_open_time,last_core_trigger_open_time,episode_recovery_attempt_open_time,episode_failure_open_time,episode_end_open_time,episode_end_reason,core_trigger_count,max_depth,bars_below_ema27,ema_cross_occurred
LC001,EP001,2023-10-31 12:00:00,2023-10-31 16:00:00,2023-11-01 12:00:00,2023-11-01 16:00:00,,2023-11-02 00:00:00,RECOVERY_ATTEMPT,6,0.2135147351759505,7,False
LC002,EP001,2023-11-12 16:00:00,2023-11-13 08:00:00,2023-11-15 04:00:00,2023-11-15 16:00:00,2023-11-16 20:00:00,2023-11-16 00:00:00,RECOVERY_ATTEMPT,12,0.36079963391015835,12,False
LC002,EP002,2023-11-16 20:00:00,2023-11-16 20:00:00,2023-11-18 12:00:00,2023-11-19 12:00:00,2023-11-21 12:00:00,2023-11-19 20:00:00,RECOVERY_ATTEMPT,9,0.34682736073224346,9,False
LC002,EP003,2023-11-21 12:00:00,2023-11-21 12:00:00,2023-11-22 12:00:00,2023-11-22 20:00:00,2023-11-26 16:00:00,2023-11-23 08:00:00,RECOVERY_ATTEMPT,7,0.4987386320149765,7,False
LC002,EP004,2023-11-26 16:00:00,2023-11-26 16:00:00,2023-12-01 04:00:00,2023-12-01 16:00:00,,2023-12-02 04:00:00,RECOVERY_ATTEMPT,21,0.3082214772281583,21,False
LC003,EP001,2023-12-11 00:00:00,2023-12-11 16:00:00,2023-12-11 16:00:00,2023-12-12 04:00:00,2023-12-15 20:00:00,2023-12-12 12:00:00,RECOVERY_ATTEMPT,1,0.07486877628664787,1,False
LC003,EP002,2023-12-15 20:00:00,2023-12-15 20:00:00,2023-12-20 20:00:00,2023-12-21 08:00:00,2023-12-23 04:00:00,2023-12-21 20:00:00,RECOVERY_ATTEMPT,19,0.3132582669584462,21,False
LC003,EP003,2023-12-23 04:00:00,2023-12-23 04:00:00,2023-12-27 04:00:00,2023-12-27 12:00:00,2023-12-28 20:00:00,2023-12-27 20:00:00,RECOVERY_ATTEMPT,12,0.23026864084632293,13,False
LC003,EP004,2023-12-28 20:00:00,2023-12-28 20:00:00,2024-01-01 12:00:00,2024-01-01 16:00:00,2024-01-02 20:00:00,2024-01-02 00:00:00,RECOVERY_ATTEMPT,22,0.2455381403584451,22,False
LC003,EP005,2024-01-02 20:00:00,2024-01-02 20:00:00,2024-01-05 08:00:00,,,2024-01-07 00:00:00,NEW_CONFIGURATION_ATTEMPT,15,18.55968216160159,26,True
