section_id,episode_id,episode_start_open_time,first_core_trigger_open_time,last_core_trigger_open_time,recovery_attempt_count,episode_end_open_time,episode_end_reason,core_trigger_count,max_depth,bars_below_ema27,ema_cross_occurred
LC001,EP001,2023-10-31 12:00:00,2023-10-31 16:00:00,2023-11-01 12:00:00,1,2023-11-02 00:00:00,CONFIRMED_STRUCTURAL_RESET,6,0.2135147351759505,7,False
LC002,EP001,2023-11-12 16:00:00,2023-11-13 08:00:00,2023-11-15 04:00:00,1,2023-11-16 20:00:00,FAILED_INTERNAL_RECOVERY,12,0.36079963391015835,14,False
LC002,EP002,2023-11-16 20:00:00,2023-11-16 20:00:00,2023-11-18 12:00:00,1,2023-11-21 12:00:00,FAILED_INTERNAL_RECOVERY,9,0.34682736073224346,10,False
LC002,EP003,2023-11-21 12:00:00,2023-11-21 12:00:00,2023-11-22 12:00:00,1,2023-11-26 16:00:00,FAILED_INTERNAL_RECOVERY,7,0.4987386320149765,9,False
LC002,EP004,2023-11-26 16:00:00,2023-11-26 16:00:00,2023-12-01 04:00:00,1,2023-12-02 04:00:00,CONFIRMED_INTERNAL_RECOVERY,21,0.3082214772281583,21,False
LC003,EP001,2023-12-11 00:00:00,2023-12-11 16:00:00,2023-12-11 16:00:00,1,2023-12-15 20:00:00,FAILED_INTERNAL_RECOVERY,1,0.07486877628664787,3,False
LC003,EP002,2023-12-15 20:00:00,2023-12-15 20:00:00,2023-12-20 20:00:00,1,2023-12-23 04:00:00,FAILED_INTERNAL_RECOVERY,19,0.3132582669584462,23,False
LC003,EP003,2023-12-23 04:00:00,2023-12-23 04:00:00,2023-12-27 04:00:00,1,2023-12-28 20:00:00,FAILED_INTERNAL_RECOVERY,12,0.23026864084632293,15,False
LC003,EP004,2023-12-28 20:00:00,2023-12-28 20:00:00,2024-01-01 12:00:00,1,2024-01-02 20:00:00,FAILED_INTERNAL_RECOVERY,22,0.2455381403584451,23,False
LC003,EP005,2024-01-02 20:00:00,2024-01-02 20:00:00,2024-01-05 08:00:00,0,2024-01-07 00:00:00,NEW_CONFIGURATION_ATTEMPT,15,18.55968216160159,26,True
