section_id,episode_id,event_type,event_open_time,event_close_time,details
LC001,EP001,DISPUTE_START,2023-10-31 12:00:00,2023-10-31 15:59:59,
LC001,EP001,EPISODE_START,2023-10-31 12:00:00,2023-10-31 15:59:59,
LC001,EP001,CORE_TRIGGER,2023-10-31 16:00:00,2023-10-31 19:59:59,CORE001
LC001,EP001,CORE_TRIGGER,2023-10-31 20:00:00,2023-10-31 23:59:59,CORE002
LC001,EP001,CORE_TRIGGER,2023-11-01 00:00:00,2023-11-01 03:59:59,CORE003
LC001,EP001,CORE_TRIGGER,2023-11-01 04:00:00,2023-11-01 07:59:59,CORE004
LC001,EP001,CORE_TRIGGER,2023-11-01 08:00:00,2023-11-01 11:59:59,CORE005
LC001,EP001,CORE_TRIGGER,2023-11-01 12:00:00,2023-11-01 15:59:59,CORE006
LC001,EP001,RECOVERY_ATTEMPT,2023-11-01 16:00:00,2023-11-01 19:59:59,R001
LC001,EP001,EFFECTIVE_EXIT,2023-11-01 16:00:00,2023-11-01 19:59:59,CONFIRMED_RECOVERED_LONG
LC001,EP001,EXIT_CONFIRMATION,2023-11-06 00:00:00,2023-11-06 03:59:59,CONFIRMED_RECOVERED_LONG
LC002,EP001,DISPUTE_START,2023-11-12 16:00:00,2023-11-12 19:59:59,
LC002,EP001,EPISODE_START,2023-11-12 16:00:00,2023-11-12 19:59:59,
LC002,EP001,CORE_TRIGGER,2023-11-13 08:00:00,2023-11-13 11:59:59,CORE001
LC002,EP001,CORE_TRIGGER,2023-11-13 12:00:00,2023-11-13 15:59:59,CORE002
LC002,EP001,CORE_TRIGGER,2023-11-13 16:00:00,2023-11-13 19:59:59,CORE003
LC002,EP001,CORE_TRIGGER,2023-11-13 20:00:00,2023-11-13 23:59:59,CORE004
LC002,EP001,CORE_TRIGGER,2023-11-14 00:00:00,2023-11-14 03:59:59,CORE005
LC002,EP001,CORE_TRIGGER,2023-11-14 04:00:00,2023-11-14 07:59:59,CORE006
LC002,EP001,CORE_TRIGGER,2023-11-14 08:00:00,2023-11-14 11:59:59,CORE007
LC002,EP001,CORE_TRIGGER,2023-11-14 12:00:00,2023-11-14 15:59:59,CORE008
LC002,EP001,CORE_TRIGGER,2023-11-14 16:00:00,2023-11-14 19:59:59,CORE009
LC002,EP001,CORE_TRIGGER,2023-11-14 20:00:00,2023-11-14 23:59:59,CORE010
LC002,EP001,CORE_TRIGGER,2023-11-15 00:00:00,2023-11-15 03:59:59,CORE011
LC002,EP001,CORE_TRIGGER,2023-11-15 04:00:00,2023-11-15 07:59:59,CORE012
LC002,EP001,RECOVERY_ATTEMPT,2023-11-15 16:00:00,2023-11-15 19:59:59,R001
LC002,EP001,FAILED_RECOVERY,2023-11-16 20:00:00,2023-11-16 23:59:59,CORE_TRIGGER
LC002,EP002,EPISODE_START,2023-11-16 20:00:00,2023-11-16 23:59:59,CORE_TRIGGER
LC002,EP002,CORE_TRIGGER,2023-11-16 20:00:00,2023-11-16 23:59:59,CORE013
