section_id,event_type,event_open_time,event_close_time,event_sequence_number,related_core_trigger_id,details
LC001,LAST_ALIGNED_RUN_START,2023-10-22 12:00:00,2023-10-22 15:59:59.999,1,,
LC001,LAST_ALIGNED_RUN_END,2023-10-31 08:00:00,2023-10-31 11:59:59.999,2,,
LC001,DISPUTE_START,2023-10-31 12:00:00,2023-10-31 15:59:59.999,3,,
LC001,CORE_TRIGGER,2023-10-31 16:00:00,2023-10-31 19:59:59.999,4,CORE001,PW001
LC001,CORE_TRIGGER,2023-10-31 20:00:00,2023-10-31 23:59:59.999,5,CORE002,PW002
LC001,CORE_TRIGGER,2023-11-01 00:00:00,2023-11-01 03:59:59.999,6,CORE003,PW003
LC001,CORE_TRIGGER,2023-11-01 04:00:00,2023-11-01 07:59:59.999,7,CORE004,PW004
LC001,CORE_TRIGGER,2023-11-01 08:00:00,2023-11-01 11:59:59.999,8,CORE005,PW005
LC001,CORE_TRIGGER,2023-11-01 12:00:00,2023-11-01 15:59:59.999,9,CORE006,PW006
LC001,RESOLUTION_CANDIDATE,2023-11-01 16:00:00,2023-11-01 19:59:59.999,10,,RECOVERED_LONG
LC001,DISPUTE_END,2023-11-02 00:00:00,2023-11-02 03:59:59.999,11,,RECOVERED_LONG
LC002,LAST_ALIGNED_RUN_START,2023-11-10 16:00:00,2023-11-10 19:59:59.999,1,,
LC002,LAST_ALIGNED_RUN_END,2023-11-12 12:00:00,2023-11-12 15:59:59.999,2,,
LC002,DISPUTE_START,2023-11-12 16:00:00,2023-11-12 19:59:59.999,3,,
LC002,CORE_TRIGGER,2023-11-13 08:00:00,2023-11-13 11:59:59.999,4,CORE001,PW007
LC002,CORE_TRIGGER,2023-11-13 12:00:00,2023-11-13 15:59:59.999,5,CORE002,PW008
LC002,CORE_TRIGGER,2023-11-13 16:00:00,2023-11-13 19:59:59.999,6,CORE003,PW009
LC002,CORE_TRIGGER,2023-11-13 20:00:00,2023-11-13 23:59:59.999,7,CORE004,PW010
LC002,CORE_TRIGGER,2023-11-14 00:00:00,2023-11-14 03:59:59.999,8,CORE005,PW011
LC002,CORE_TRIGGER,2023-11-14 04:00:00,2023-11-14 07:59:59.999,9,CORE006,PW012
LC002,CORE_TRIGGER,2023-11-14 08:00:00,2023-11-14 11:59:59.999,10,CORE007,PW013
LC002,CORE_TRIGGER,2023-11-14 12:00:00,2023-11-14 15:59:59.999,11,CORE008,PW014
LC002,CORE_TRIGGER,2023-11-14 16:00:00,2023-11-14 19:59:59.999,12,CORE009,PW015
LC002,CORE_TRIGGER,2023-11-14 20:00:00,2023-11-14 23:59:59.999,13,CORE010,PW016
LC002,CORE_TRIGGER,2023-11-15 00:00:00,2023-11-15 03:59:59.999,14,CORE011,PW017
LC002,CORE_TRIGGER,2023-11-15 04:00:00,2023-11-15 07:59:59.999,15,CORE012,PW018
LC002,CORE_TRIGGER,2023-11-16 20:00:00,2023-11-16 23:59:59.999,16,CORE013,PW019
LC002,CORE_TRIGGER,2023-11-17 04:00:00,2023-11-17 07:59:59.999,17,CORE014,PW020
LC002,CORE_TRIGGER,2023-11-17 12:00:00,2023-11-17 15:59:59.999,18,CORE015,PW021
LC002,CORE_TRIGGER,2023-11-17 16:00:00,2023-11-17 19:59:59.999,19,CORE016,PW022
LC002,CORE_TRIGGER,2023-11-17 20:00:00,2023-11-17 23:59:59.999,20,CORE017,PW023
LC002,CORE_TRIGGER,2023-11-18 00:00:00,2023-11-18 03:59:59.999,21,CORE018,PW024
LC002,CORE_TRIGGER,2023-11-18 04:00:00,2023-11-18 07:59:59.999,22,CORE019,PW025
LC002,CORE_TRIGGER,2023-11-18 08:00:00,2023-11-18 11:59:59.999,23,CORE020,PW026
