raw_event_id,section_id,trigger_time,trigger_close,ema27,ema200,ema27_change_1,ema27_change_2,ema27_slope_3,ema200_slope_6,ema_gap_pct,end_time,end_reason,reset_effective_time,reset_confirmation_time,duration_4h_bars,prev6_fraction_close_above_ema27,prev6_positive_ema27_change_count,prev6_already_below_ema27,prev6_gap_contracting
RC001,LC001,2023-10-31 19:59:59.999,0.2923,0.29340722627190075,0.2673854778791868,-8.51712516846681e-05,-0.00039227875349889807,0.0001574535040353986,0.0011467105680010858,9.731922840054677,2023-11-02 03:59:59.999,FULL_RESET_CONFIRMED,2023-11-01 19:59:59.999,2023-11-02 03:59:59.999,9,0.8333333333333334,5,True,True
RC002,LC002,2023-11-13 11:59:59.999,0.3679,0.37449836352728255,0.3130483179346144,-0.0005075664251755763,-0.0003464841138262065,-0.00018812102382422444,0.002182264792192153,19.629572200896813,2023-11-16 03:59:59.999,FULL_RESET_CONFIRMED,2023-11-15 19:59:59.999,2023-11-16 03:59:59.999,17,1.0,6,False,True
RC003,LC002,2023-11-16 23:59:59.999,0.3706,0.3729010325376061,0.3237756772877553,-0.00017700250289276465,-0.0006445436598542242,6.0201187686829506e-05,0.0018624733692094535,15.172651528790002,2023-11-19 23:59:59.999,FULL_RESET_CONFIRMED,2023-11-19 15:59:59.999,2023-11-19 23:59:59.999,19,0.8333333333333334,5,True,True
RC004,LC003,2023-11-21 15:59:59.999,0.3759,0.37823366885230303,0.336482041518407,-0.00017951298863871923,-0.00016514236101883295,0.00013254017965295498,0.0013816649929559999,12.408278060097315,2023-11-24 07:59:59.999,FULL_RESET_CONFIRMED,2023-11-23 23:59:59.999,2023-11-24 07:59:59.999,17,1.0,6,False,True
RC005,LC004,2023-11-26 19:59:59.999,0.3847,0.386795129526244,0.3492407199658113,-0.00016116380971109567,-0.00021934022016917298,8.846274833425778e-05,0.0012204159979578206,10.753158899715096,2023-12-02 11:59:59.999,FULL_RESET_CONFIRMED,2023-12-02 03:59:59.999,2023-12-02 11:59:59.999,35,0.8333333333333334,5,True,True
RC006,LC005,2023-12-11 19:59:59.999,0.5328,0.5423829819599766,0.4143859391969634,-0.0007371524584596223,-0.0005463935675701359,0.00010249993532688666,0.0036047828771629264,30.88836532703258,2023-12-12 15:59:59.999,FULL_RESET_CONFIRMED,2023-12-12 07:59:59.999,2023-12-12 15:59:59.999,6,1.0,6,False,True
RC007,LC006,2023-12-15 23:59:59.999,0.6004,0.6088192946386254,0.4583737492246411,-0.0006476380491249323,-0.00022970979433645233,0.0004497632863943816,0.0038030673758629265,32.82158842395958,2023-12-22 03:59:59.999,FULL_RESET_CONFIRMED,2023-12-21 19:59:59.999,2023-12-22 03:59:59.999,38,1.0,6,False,True
RC008,LC006,2023-12-23 07:59:59.999,0.6037,0.6055995846409398,0.5088049264541916,-0.00014612189545692988,-0.0005957916290258991,0.00036703897961406123,0.002145133759159923,19.023923148956126,2023-12-27 23:59:59.999,FULL_RESET_CONFIRMED,2023-12-27 15:59:59.999,2023-12-27 23:59:59.999,29,0.8333333333333334,5,True,True
RC009,LC006,2023-12-28 23:59:59.999,0.6158,0.6201662328315722,0.5398055450792354,-0.0003358640639670174,4.859002099155685e-05,-0.00010275186410894459,0.0018818128018566194,14.8869696661862,2024-01-02 03:59:59.999,FULL_RESET_CONFIRMED,2024-01-01 19:59:59.999,2024-01-02 03:59:59.999,26,0.8333333333333334,5,True,True
RC010,LC006,2024-01-02 23:59:59.999,0.605,0.6119637295053608,0.5577139527504186,-0.000535671500412338,-0.0003740869623948262,-0.0001424373721183129,0.0011462656931065334,9.727168647548513,2024-01-06 19:59:59.999,EMA_CROSS,,,24,1.0,6,False,True
