from_relation,to_relation,change_count,change_probability
ALIGNED_DOWN,ALIGNED_DOWN,0,0.0
ALIGNED_DOWN,ALIGNED_UP,0,0.0
ALIGNED_DOWN,LOWER_OPPOSES_PARENT,0,0.0
ALIGNED_DOWN,LOWER_TRANSITION,40,0.9523809523809523
ALIGNED_DOWN,PARENT_TRANSITION,2,0.047619047619047616
ALIGNED_UP,ALIGNED_DOWN,0,0.0
ALIGNED_UP,ALIGNED_UP,0,0.0
ALIGNED_UP,LOWER_OPPOSES_PARENT,1,0.038461538461538464
ALIGNED_UP,LOWER_TRANSITION,24,0.9230769230769231
ALIGNED_UP,PARENT_TRANSITION,1,0.038461538461538464
LOWER_OPPOSES_PARENT,ALIGNED_DOWN,0,0.0
LOWER_OPPOSES_PARENT,ALIGNED_UP,0,0.0
LOWER_OPPOSES_PARENT,LOWER_OPPOSES_PARENT,0,0.0
LOWER_OPPOSES_PARENT,LOWER_TRANSITION,40,0.6153846153846154
LOWER_OPPOSES_PARENT,PARENT_TRANSITION,25,0.38461538461538464
LOWER_TRANSITION,ALIGNED_DOWN,28,0.2641509433962264
LOWER_TRANSITION,ALIGNED_UP,15,0.14150943396226415
LOWER_TRANSITION,LOWER_OPPOSES_PARENT,63,0.5943396226415094
LOWER_TRANSITION,LOWER_TRANSITION,0,0.0
LOWER_TRANSITION,PARENT_TRANSITION,0,0.0
PARENT_TRANSITION,ALIGNED_DOWN,15,0.5357142857142857
PARENT_TRANSITION,ALIGNED_UP,11,0.39285714285714285
PARENT_TRANSITION,LOWER_OPPOSES_PARENT,0,0.0
PARENT_TRANSITION,LOWER_TRANSITION,2,0.07142857142857142
PARENT_TRANSITION,PARENT_TRANSITION,0,0.0
