timeframe,model,state,start_pos,end_pos,duration_bars
1H,MODEL_A,DOWN,0,13,14
1H,MODEL_A,TRANSITION,14,48,35
1H,MODEL_A,UP,49,55,7
1H,MODEL_A,TRANSITION,56,68,13
1H,MODEL_A,DOWN,69,84,16
1H,MODEL_A,TRANSITION,85,98,14
1H,MODEL_A,UP,99,135,37
1H,MODEL_A,TRANSITION,136,158,23
1H,MODEL_A,UP,159,185,27
1H,MODEL_A,TRANSITION,186,200,15
1H,MODEL_A,UP,201,206,6
1H,MODEL_A,TRANSITION,207,270,64
1H,MODEL_A,DOWN,271,288,18
1H,MODEL_A,TRANSITION,289,299,11
1H,MODEL_A,UP,300,327,28
1H,MODEL_A,TRANSITION,328,365,38
1H,MODEL_A,DOWN,366,387,22
1H,MODEL_A,TRANSITION,388,400,13
1H,MODEL_A,UP,401,410,10
1H,MODEL_A,TRANSITION,411,418,8
1H,MODEL_A,DOWN,419,471,53
1H,MODEL_A,TRANSITION,472,497,26
1H,MODEL_A,DOWN,498,504,7
1H,MODEL_A,TRANSITION,505,510,6
1H,MODEL_A,DOWN,511,512,2
1H,MODEL_A,TRANSITION,513,521,9
1H,MODEL_A,UP,522,537,16
1H,MODEL_A,TRANSITION,538,544,7
1H,MODEL_A,UP,545,571,27
1H,MODEL_A,TRANSITION,572,576,5
1H,MODEL_A,UP,577,582,6
1H,MODEL_A,TRANSITION,583,587,5
1H,MODEL_A,UP,588,588,1
1H,MODEL_A,TRANSITION,589,601,13
1H,MODEL_A,DOWN,602,621,20
1H,MODEL_A,TRANSITION,622,630,9
1H,MODEL_A,DOWN,631,687,57
1H,MODEL_A,TRANSITION,688,691,4
1H,MODEL_A,DOWN,692,717,26
1H,MODEL_A,TRANSITION,718,733,16
1H,MODEL_A,DOWN,734,745,12
1H,MODEL_A,TRANSITION,746,751,6
1H,MODEL_A,DOWN,752,771,20
1H,MODEL_A,TRANSITION,772,803,32
1H,MODEL_A,UP,804,822,19
1H,MODEL_A,TRANSITION,823,842,20
1H,MODEL_A,DOWN,843,906,64
1H,MODEL_A,TRANSITION,907,909,3
1H,MODEL_A,DOWN,910,927,18
1H,MODEL_A,TRANSITION,928,929,2
1H,MODEL_A,DOWN,930,1043,114
1H,MODEL_A,TRANSITION,1044,1062,19
1H,MODEL_A,DOWN,1063,1066,4
1H,MODEL_A,TRANSITION,1067,1087,21
1H,MODEL_A,DOWN,1088,1131,44
1H,MODEL_A,TRANSITION,1132,1165,34
1H,MODEL_A,DOWN,1166,1176,11
1H,MODEL_A,TRANSITION,1177,1179,3
1H,MODEL_A,DOWN,1180,1218,39
1H,MODEL_A,TRANSITION,1219,1248,30
1H,MODEL_A,DOWN,1249,1261,13
1H,MODEL_A,TRANSITION,1262,1286,25
1H,MODEL_A,UP,1287,1299,13
1H,MODEL_A,TRANSITION,1300,1325,26
1H,MODEL_A,DOWN,1326,1382,57
1H,MODEL_A,TRANSITION,1383,1385,3
1H,MODEL_A,DOWN,1386,1393,8
1H,MODEL_A,TRANSITION,1394,1396,3
1H,MODEL_A,DOWN,1397,1398,2
1H,MODEL_A,TRANSITION,1399,1399,1
1H,MODEL_A,DOWN,1400,1414,15
1H,MODEL_A,TRANSITION,1415,1429,15
1H,MODEL_A,DOWN,1430,1432,3
1H,MODEL_A,TRANSITION,1433,1436,4
1H,MODEL_A,DOWN,1437,1445,9
1H,MODEL_A,TRANSITION,1446,1471,26
1H,MODEL_A,DOWN,1472,1484,13
1H,MODEL_A,TRANSITION,1485,1495,11
1H,MODEL_A,DOWN,1496,1508,13
1H,MODEL_A,TRANSITION,1509,1522,14
1H,MODEL_A,DOWN,1523,1541,19
1H,MODEL_A,TRANSITION,1542,1548,7
1H,MODEL_A,DOWN,1549,1612,64
1H,MODEL_A,TRANSITION,1613,1633,21
1H,MODEL_A,DOWN,1634,1641,8
1H,MODEL_A,TRANSITION,1642,1661,20
1H,MODEL_A,DOWN,1662,1667,6
1H,MODEL_A,TRANSITION,1668,1683,16
1H,MODEL_A,UP,1684,1690,7
1H,MODEL_A,TRANSITION,1691,1698,8
1H,MODEL_A,DOWN,1699,1703,5
1H,MODEL_A,TRANSITION,1704,1728,25
1H,MODEL_A,DOWN,1729,1738,10
1H,MODEL_A,TRANSITION,1739,1744,6
1H,MODEL_A,DOWN,1745,1757,13
1H,MODEL_A,TRANSITION,1758,1769,12
1H,MODEL_A,UP,1770,1803,34
1H,MODEL_A,TRANSITION,1804,1816,13
1H,MODEL_A,UP,1817,1819,3
1H,MODEL_A,TRANSITION,1820,1834,15
1H,MODEL_A,DOWN,1835,1879,45
1H,MODEL_A,TRANSITION,1880,1896,17
1H,MODEL_A,DOWN,1897,1905,9
1H,MODEL_A,TRANSITION,1906,1913,8
1H,MODEL_A,DOWN,1914,1936,23
1H,MODEL_A,TRANSITION,1937,1958,22
1H,MODEL_A,DOWN,1959,1970,12
1H,MODEL_A,TRANSITION,1971,1973,3
1H,MODEL_A,DOWN,1974,1978,5
1H,MODEL_A,TRANSITION,1979,1983,5
1H,MODEL_A,DOWN,1984,2000,17
1H,MODEL_A,TRANSITION,2001,2012,12
1H,MODEL_A,UP,2013,2036,24
1H,MODEL_A,TRANSITION,2037,2043,7
1H,MODEL_A,UP,2044,2106,63
1H,MODEL_A,TRANSITION,2107,2117,11
1H,MODEL_A,UP,2118,2120,3
1H,MODEL_A,TRANSITION,2121,2158,38
1H,MODEL_A,UP,2159,2167,9
1H,MODEL_A,TRANSITION,2168,2168,1
1H,MODEL_A,UP,2169,2213,45
1H,MODEL_A,TRANSITION,2214,2242,29
1H,MODEL_A,DOWN,2243,2262,20
1H,MODEL_A,TRANSITION,2263,2263,1
1H,MODEL_A,DOWN,2264,2352,89
1H,MODEL_A,TRANSITION,2353,2357,5
1H,MODEL_A,DOWN,2358,2358,1
1H,MODEL_A,TRANSITION,2359,2378,20
1H,MODEL_A,DOWN,2379,2379,1
1H,MODEL_A,TRANSITION,2380,2381,2
1H,MODEL_A,DOWN,2382,2388,7
1H,MODEL_A,TRANSITION,2389,2412,24
1H,MODEL_A,DOWN,2413,2419,7
1H,MODEL_A,TRANSITION,2420,2437,18
1H,MODEL_A,UP,2438,2452,15
1H,MODEL_A,TRANSITION,2453,2456,4
1H,MODEL_A,UP,2457,2460,4
1H,MODEL_A,TRANSITION,2461,2466,6
1H,MODEL_A,DOWN,2467,2510,44
1H,MODEL_A,TRANSITION,2511,2534,24
1H,MODEL_A,UP,2535,2579,45
1H,MODEL_A,TRANSITION,2580,2584,5
1H,MODEL_A,UP,2585,2635,51
1H,MODEL_A,TRANSITION,2636,2639,4
