state_4h,state_1h,bar_count,bar_fraction
DOWN_EXPANDING,DOWN_EXPANDING,1406,0.11140163220030108
DOWN_EXPANDING,DOWN_WEAKENING,1353,0.10720228191110055
UP_EXPANDING,UP_WEAKENING,981,0.07772759686237224
DOWN_WEAKENING,UP_EXPANDING,920,0.07289438237857539
UP_EXPANDING,UP_EXPANDING,887,0.07027969257586562
UP_WEAKENING,DOWN_EXPANDING,685,0.05427462166230885
UP_WEAKENING,UP_WEAKENING,645,0.05110530068932731
DOWN_WEAKENING,DOWN_WEAKENING,608,0.048173678789319385
DOWN_EXPANDING,DOWN_STABLE,515,0.04080500752713731
DOWN_STABLE,DOWN_WEAKENING,492,0.03898264796767292
DOWN_WEAKENING,UP_WEAKENING,437,0.03462483162982331
UP_STABLE,UP_WEAKENING,306,0.02424530544330877
DOWN_STABLE,DOWN_EXPANDING,275,0.021789081689248077
UP_WEAKENING,UP_EXPANDING,268,0.02123445051897631
DOWN_WEAKENING,DOWN_EXPANDING,258,0.020442120275730925
UP_EXPANDING,UP_STABLE,232,0.018382061643292924
UP_WEAKENING,DOWN_WEAKENING,231,0.018302828618968387
DOWN_WEAKENING,UP_STABLE,223,0.017668964424372078
DOWN_WEAKENING,TRANSITION,212,0.016797401156802155
UP_STABLE,UP_EXPANDING,197,0.015608905791934078
UP_WEAKENING,TRANSITION,196,0.01552967276760954
TRANSITION,DOWN_EXPANDING,169,0.013390381110847002
UP_WEAKENING,UP_STABLE,156,0.012360351794628001
DOWN_WEAKENING,DOWN_STABLE,142,0.011251089454084462
UP_WEAKENING,DOWN_STABLE,135,0.010696458283812693
DOWN_STABLE,DOWN_STABLE,134,0.010617225259488154
TRANSITION,UP_EXPANDING,105,0.008319467554076539
UP_STABLE,UP_STABLE,83,0.006576341018936693
TRANSITION,UP_WEAKENING,75,0.005942476824340385
DOWN_STABLE,TRANSITION,63,0.004991680532445923
TRANSITION,DOWN_WEAKENING,45,0.0035654860946042312
DOWN_STABLE,UP_WEAKENING,31,0.0024562237540606924
TRANSITION,DOWN_STABLE,30,0.002376990729736154
TRANSITION,UP_STABLE,28,0.0022185246810870773
TRANSITION,TRANSITION,24,0.0019015925837889231
UP_STABLE,TRANSITION,18,0.0014261944378416924
UP_STABLE,DOWN_WEAKENING,15,0.001188495364868077
UP_STABLE,DOWN_EXPANDING,14,0.0011092623405435386
DOWN_EXPANDING,TRANSITION,9,0.0007130972189208462
DOWN_STABLE,UP_EXPANDING,9,0.0007130972189208462
UP_STABLE,DOWN_STABLE,7,0.0005546311702717693
DOWN_EXPANDING,UP_WEAKENING,2,0.00015846604864907694
