timeframe,model,state,available_bars,bar_count,bar_fraction,episode_count,mean_dwell,median_dwell,p75_dwell,p90_dwell,max_dwell,state_changes,state_changes_per_100_bars,transition_fraction,largest_state_fraction,quarters_present,nonconsecutive_episode_count,directed_median_dwell
1H,MODEL_A,DOWN,13056,4319,0.3308057598039216,193,22.378238341968913,15.0,29.0,56.80000000000001,114,718,5.4993872549019605,0.37974877450980393,0.37974877450980393,6,193,16.0
1H,MODEL_A,TRANSITION,13056,4958,0.37974877450980393,359,13.81058495821727,11.0,19.0,31.0,64,718,5.4993872549019605,0.37974877450980393,0.37974877450980393,6,359,16.0
1H,MODEL_A,UP,13056,3779,0.2894454656862745,167,22.62874251497006,17.0,31.0,47.80000000000001,140,718,5.4993872549019605,0.37974877450980393,0.37974877450980393,6,167,16.0
1H,MODEL_B,DOWN_EXPANDING,13056,2877,0.22035845588235295,201,14.313432835820896,11.0,21.0,32.0,69,1446,11.075367647058822,0.04411764705882353,0.22035845588235295,6,201,5.0
1H,MODEL_B,DOWN_STABLE,13056,977,0.07483149509803921,332,2.9427710843373496,2.0,4.0,6.0,13,1446,11.075367647058822,0.04411764705882353,0.22035845588235295,6,332,5.0
1H,MODEL_B,DOWN_WEAKENING,13056,2803,0.2146905637254902,203,13.807881773399014,9.0,21.0,33.80000000000001,60,1446,11.075367647058822,0.04411764705882353,0.22035845588235295,6,203,5.0
1H,MODEL_B,TRANSITION,13056,576,0.04411764705882353,119,4.840336134453781,4.0,6.0,9.0,17,1446,11.075367647058822,0.04411764705882353,0.22035845588235295,6,119,5.0
1H,MODEL_B,UP_EXPANDING,13056,2477,0.18972120098039216,155,15.980645161290322,13.0,22.0,37.19999999999999,65,1446,11.075367647058822,0.04411764705882353,0.22035845588235295,6,155,5.0
1H,MODEL_B,UP_STABLE,13056,737,0.056449142156862746,265,2.781132075471698,2.0,4.0,6.0,17,1446,11.075367647058822,0.04411764705882353,0.22035845588235295,6,265,5.0
1H,MODEL_B,UP_WEAKENING,13056,2609,0.1998314950980392,172,15.168604651162791,10.0,21.0,36.0,88,1446,11.075367647058822,0.04411764705882353,0.22035845588235295,6,172,5.0
1H,MODEL_C,DOWN_EXPANDING,13055,2902,0.22229031022596707,175,16.582857142857144,13.0,23.5,34.599999999999994,70,1120,8.579088471849866,0.052317119877441594,0.22229031022596707,6,175,7.0
1H,MODEL_C,DOWN_STABLE,13055,893,0.0684029107621601,201,4.442786069651741,3.0,6.0,9.0,18,1120,8.579088471849866,0.052317119877441594,0.22229031022596707,6,201,7.0
1H,MODEL_C,DOWN_WEAKENING,13055,2798,0.21432401378782076,180,15.544444444444444,10.0,22.25,34.099999999999994,69,1120,8.579088471849866,0.052317119877441594,0.22229031022596707,6,180,7.0
1H,MODEL_C,TRANSITION,13055,683,0.052317119877441594,116,5.887931034482759,5.0,7.25,10.5,23,1120,8.579088471849866,0.052317119877441594,0.22229031022596707,6,116,7.0
1H,MODEL_C,UP_EXPANDING,13055,2506,0.19195710455764076,145,17.282758620689656,14.0,22.0,39.599999999999994,66,1120,8.579088471849866,0.052317119877441594,0.22229031022596707,6,145,7.0
1H,MODEL_C,UP_STABLE,13055,662,0.05070854078896974,161,4.111801242236025,3.0,5.0,8.0,17,1120,8.579088471849866,0.052317119877441594,0.22229031022596707,6,161,7.0
1H,MODEL_C,UP_WEAKENING,13055,2611,0.2,143,18.25874125874126,13.0,25.5,39.599999999999994,88,1120,8.579088471849866,0.052317119877441594,0.22229031022596707,6,143,7.0
