ema_event_id,model,parent_id,source_scale,candidate_open_time,confirmation_open_time,direction,classification,directionally_qualified,frozen_band_low,frozen_band_high,frozen_band_mid,frozen_edge,band_width_atr,net_change_atr,ema_gap_change_6_atr_at_confirmation,last_timestamp_used
EM001,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P001,BOOTSTRAP_EMA12,2023-11-02 04:00:00,2023-11-02 20:00:00,UP,EMA_REGIME_UP_AWAY_FROM_EMA200,True,0.2920492065511633,0.2948604981023709,0.2933234182003559,0.2948604981023709,0.4206113734142984,0.23815720745339972,0.49832873137785844,2023-11-02 20:00:00
EM002,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P002,BOOTSTRAP_EMA12,2023-11-14 16:00:00,2023-11-15 16:00:00,DOWN,EMA_REGIME_DOWN_TOWARD_EMA200,True,0.3697272227291095,0.37500592995245813,0.373871761074803,0.3697272227291095,0.39575999614702784,-0.32344352026191275,-0.2925617166725551,2023-11-15 16:00:00
EM003,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P002,PARENT_EMA24,2023-11-20 08:00:00,2023-11-21 04:00:00,UP,EMA_REGIME_UP_AWAY_FROM_EMA200,True,0.3680960969287322,0.37425834676447944,0.3711600430050327,0.37425834676447944,0.6387532759750274,0.14767324357155365,0.10505315780841841,2023-11-21 04:00:00
EM004,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P002,PARENT_EMA24,2023-12-02 20:00:00,2023-12-03 20:00:00,UP,EMA_REGIME_UP_AWAY_FROM_EMA200,True,0.3805017801570335,0.38361137570822545,0.3822346972978844,0.38361137570822545,0.5808445215483881,0.15424268186641085,0.22340734150667013,2023-12-03 20:00:00
EM005,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P003,PARENT_EMA24,2023-12-28 00:00:00,2023-12-28 04:00:00,UP,EMA_REGIME_UP_AWAY_FROM_EMA200,True,0.6065826058411644,0.6116490552225505,0.6081411983968952,0.6116490552225505,0.2550790367868431,0.24419006982888888,0.2647956631473661,2023-12-28 04:00:00
EM006,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P003,PARENT_EMA24,2024-01-03 16:00:00,2024-01-03 20:00:00,DOWN,EMA_REGIME_DOWN_TOWARD_EMA200,True,0.6063660731459147,0.6130863077961769,0.610563618402391,0.6063660731459147,0.3281740744046674,-0.2876921280274977,-0.6714118492243106,2024-01-03 20:00:00
EM001,PRICE_PLUS_ACTIVE_INTERNAL_EMA12_BASELINE_R4,P001,BOOTSTRAP_EMA12,2023-11-02 04:00:00,2023-11-02 20:00:00,UP,EMA_REGIME_UP_AWAY_FROM_EMA200,True,0.2920492065511633,0.2948604981023709,0.2933234182003559,0.2948604981023709,0.4206113734142984,0.23815720745339972,0.49832873137785844,2023-11-02 20:00:00
EM002,PRICE_PLUS_ACTIVE_INTERNAL_EMA12_BASELINE_R4,P002,BOOTSTRAP_EMA12,2023-11-14 16:00:00,2023-11-15 16:00:00,DOWN,EMA_REGIME_DOWN_TOWARD_EMA200,True,0.3697272227291095,0.37500592995245813,0.373871761074803,0.3697272227291095,0.39575999614702784,-0.32344352026191275,-0.2925617166725551,2023-11-15 16:00:00
EM003,PRICE_PLUS_ACTIVE_INTERNAL_EMA12_BASELINE_R4,P002,BOOTSTRAP_EMA12,2023-11-24 00:00:00,2023-11-24 16:00:00,UP,EMA_REGIME_UP_AWAY_FROM_EMA200,True,0.3743083734003419,0.37739451006770325,0.3755174137808056,0.37739451006770325,0.3278432806198908,0.18117587401010787,0.23050004515942957,2023-11-24 16:00:00
EM004,PRICE_PLUS_ACTIVE_INTERNAL_EMA12_BASELINE_R4,P002,BOOTSTRAP_EMA12,2023-12-02 16:00:00,2023-12-02 20:00:00,UP,EMA_REGIME_UP_AWAY_FROM_EMA200,True,0.3805017801570335,0.3828660969165505,0.3810275116026277,0.3828660969165505,0.4412934221953992,0.32687752302240053,0.28344467014001384,2023-12-02 20:00:00
EM005,PRICE_PLUS_ACTIVE_INTERNAL_EMA12_BASELINE_R4,P003,BOOTSTRAP_EMA12,2023-12-18 00:00:00,2023-12-18 04:00:00,DOWN,EMA_REGIME_DOWN_TOWARD_EMA200,True,0.6050160650095174,0.6108957571181753,0.6095890015036624,0.6050160650095174,0.2680204517018376,-0.19544480925884555,-0.7585808514681188,2023-12-18 04:00:00
EM006,PRICE_PLUS_ACTIVE_INTERNAL_EMA12_BASELINE_R4,P003,BOOTSTRAP_EMA12,2023-12-21 20:00:00,2023-12-22 00:00:00,UP,EMA_REGIME_UP_AWAY_FROM_EMA200,True,0.5918548736328804,0.5957561382799775,0.5925585730743393,0.5957561382799775,0.1981470998795076,0.14439713632261134,0.059206302080095884,2023-12-22 00:00:00
EM007,PRICE_PLUS_ACTIVE_INTERNAL_EMA12_BASELINE_R4,P003,BOOTSTRAP_EMA12,2023-12-28 00:00:00,2023-12-28 04:00:00,UP,EMA_REGIME_UP_AWAY_FROM_EMA200,True,0.6065826058411644,0.6116490552225505,0.6093349668502142,0.6116490552225505,0.2550790367868431,0.06044465892382021,0.2647956631473661,2023-12-28 04:00:00
EM008,PRICE_PLUS_ACTIVE_INTERNAL_EMA12_BASELINE_R4,P003,BOOTSTRAP_EMA12,2024-01-03 16:00:00,2024-01-03 20:00:00,DOWN,EMA_REGIME_DOWN_TOWARD_EMA200,True,0.6071950483757449,0.6124994010057732,0.6113817796133908,0.6071950483757449,0.25903128466021325,-0.0018426834425203636,-0.6714118492243106,2024-01-03 20:00:00
