local_candidate_id,model,parent_id,phase_id,direction,candidate_open_time,decision_open_time,status,accepted_departure,accepted_extension,frozen_upper_bound,frozen_lower_bound,frozen_boundary,frozen_atr,observed_bars,outside_close_count,outside_fraction,longest_outside_run,longest_deep_reclaim_run,rejection_reason,effective_open_time,last_timestamp_used
LC001,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P001,PH001,DOWN,2023-11-01 04:00:00,2023-11-02 00:00:00,LOCAL_ACCEPTED_DOWN_EXTENSION,False,True,0.3031,0.2895,0.2895,0.006036176357700452,6,3,0.5,3,3,THREE_CONSECUTIVE_DEEP_RECLAIMS,,2023-11-02 00:00:00
LC002,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P001,PH002,UP,2023-11-02 04:00:00,2023-11-02 16:00:00,LOCAL_ACCEPTED_UP_DEPARTURE,True,False,0.3031,0.2875,0.3031,0.006683822000311275,4,3,0.75,2,1,,2023-11-02 04:00:00,2023-11-02 16:00:00
LC003,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P002,PH003,DOWN,2023-11-14 16:00:00,2023-11-15 12:00:00,LOCAL_REJECTED_DOWN_EXCURSION,False,False,0.3905,0.3568,0.3568,0.013338152604457604,6,2,0.3333333333333333,1,3,THREE_CONSECUTIVE_DEEP_RECLAIMS,,2023-11-15 12:00:00
LC004,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P002,PH004,UP,2023-11-16 04:00:00,2023-11-16 20:00:00,LOCAL_REJECTED_UP_EXCURSION,False,False,0.3905,0.3568,0.3905,0.01163231754240865,5,2,0.4,2,3,THREE_CONSECUTIVE_DEEP_RECLAIMS,,2023-11-16 20:00:00
LC005,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P002,PH005,UP,2023-11-20 08:00:00,2023-11-21 00:00:00,LOCAL_REJECTED_UP_EXCURSION,False,False,0.3905,0.3568,0.3905,0.009647308385762669,5,2,0.4,2,3,THREE_CONSECUTIVE_DEEP_RECLAIMS,,2023-11-21 00:00:00
LC006,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P002,PH006,UP,2023-11-24 00:00:00,2023-11-24 12:00:00,LOCAL_ACCEPTED_UP_DEPARTURE,True,False,0.3905,0.3568,0.3905,0.009413451029180888,4,3,0.75,2,0,,2023-11-24 00:00:00,2023-11-24 12:00:00
LC007,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P002,PH007,UP,2023-12-02 20:00:00,2023-12-03 16:00:00,LOCAL_ACCEPTED_UP_EXTENSION,False,True,0.395,0.3568,0.395,0.005353576449171857,6,3,0.5,3,3,THREE_CONSECUTIVE_DEEP_RECLAIMS,,2023-12-03 16:00:00
LC008,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P002,PH008,UP,2023-12-04 00:00:00,2023-12-04 16:00:00,LOCAL_ACCEPTED_UP_DEPARTURE,True,False,0.3976,0.3568,0.3976,0.006077653904111378,5,4,0.8,3,0,,2023-12-04 00:00:00,2023-12-04 16:00:00
LC009,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P003,PH009,UP,2023-12-13 16:00:00,2023-12-14 04:00:00,LOCAL_ACCEPTED_UP_DEPARTURE,True,False,0.6243,0.5328,0.6243,0.030987156329740865,4,4,1.0,4,0,,2023-12-13 16:00:00,2023-12-14 04:00:00
LC010,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P003,PH010,DOWN,2024-01-05 16:00:00,2024-01-06 08:00:00,LOCAL_ACCEPTED_DOWN_DEPARTURE,True,False,0.6675,0.5328,0.5328,0.018324303114663574,5,3,0.6,2,1,,2024-01-05 16:00:00,2024-01-06 08:00:00
