parent_zone_id,phase_id,price_attempt_id,direction,candidate_open_time,decision_open_time,local_price_decision_status,effective_open_time,local_confirmation_open_time,outside_fraction,last_timestamp_used
P001,PH001,XA001,DOWN,2023-11-01 04:00:00,2023-11-02 00:00:00,ACCEPTED_EXTENSION,,,0.5,2023-11-02 00:00:00
P001,PH002,XA002,UP,2023-11-02 04:00:00,2023-11-02 16:00:00,ACCEPTED_UPSIDE_EXIT_R2,2023-11-02 04:00:00,2023-11-02 16:00:00,0.75,2023-11-02 16:00:00
P002,PH003,XA003,DOWN,2023-11-14 16:00:00,2023-11-15 12:00:00,REJECTED_WICK_OR_SINGLE_EXCURSION,,,0.3333333333333333,2023-11-15 12:00:00
P002,PH004,XA004,UP,2023-11-16 04:00:00,2023-11-16 20:00:00,REJECTED_WICK_OR_SINGLE_EXCURSION,,,0.4,2023-11-16 20:00:00
P002,PH005,XA005,UP,2023-11-20 08:00:00,2023-11-21 00:00:00,REJECTED_WICK_OR_SINGLE_EXCURSION,,,0.4,2023-11-21 00:00:00
P002,PH006,XA006,UP,2023-11-24 00:00:00,2023-11-24 12:00:00,ACCEPTED_UPSIDE_EXIT_R2,2023-11-24 00:00:00,2023-11-24 12:00:00,0.75,2023-11-24 12:00:00
P002,PH007,XA007,UP,2023-12-02 20:00:00,2023-12-03 16:00:00,ACCEPTED_EXTENSION,,,0.5,2023-12-03 16:00:00
P002,PH008,XA008,UP,2023-12-04 00:00:00,2023-12-04 16:00:00,ACCEPTED_UPSIDE_EXIT_R2,2023-12-04 00:00:00,2023-12-04 16:00:00,0.8,2023-12-04 16:00:00
P003,PH009,XA009,UP,2023-12-13 16:00:00,2023-12-14 04:00:00,ACCEPTED_UPSIDE_EXIT_R2,2023-12-13 16:00:00,2023-12-14 04:00:00,1.0,2023-12-14 04:00:00
P003,PH010,XA010,DOWN,2023-12-17 04:00:00,2023-12-17 16:00:00,ACCEPTED_DOWNSIDE_EXIT_R2,2023-12-17 04:00:00,2023-12-17 16:00:00,0.75,2023-12-17 16:00:00
P003,PH011,XA011,UP,2023-12-21 20:00:00,2023-12-23 08:00:00,ACCEPTED_EXTENSION,,,0.3,2023-12-23 08:00:00
P003,PH012,XA012,UP,2023-12-28 00:00:00,2023-12-28 20:00:00,ACCEPTED_EXTENSION,,,0.5,2023-12-28 20:00:00
P003,PH013,XA013,DOWN,2024-01-03 16:00:00,2024-01-04 04:00:00,ACCEPTED_DOWNSIDE_EXIT_R2,2024-01-03 16:00:00,2024-01-04 04:00:00,0.75,2024-01-04 04:00:00
