zone_id,attempt_id,price_direction,price_decision_status,price_candidate_open_time,price_decision_open_time,accepted_price_exit,accepted_price_extension,ema27_departure_event_id,ema27_departure_direction,ema27_departure_classification,ema27_relation_to_price,ema27_same_direction_before_or_by_price_confirmation,failed_price_departure_ema27_relation
Z001,XA001,DOWN,ACCEPTED_EXTENSION,2023-11-01 04:00:00,2023-11-02 00:00:00,False,True,,,,NO_EMA27_BAND_EXIT,False,EMA27_REMAINED_INSIDE_OR_NO_CONFIRMED_EXIT
Z001,XA002,UP,ACCEPTED_UPSIDE_EXIT_R2,2023-11-02 04:00:00,2023-11-02 16:00:00,True,False,ED002,UP,EMA27_EXIT_UP_AWAY_FROM_EMA200,SAME_DIRECTION_EMA27_EXIT,True,
Z002,XA003,DOWN,REJECTED_WICK_OR_SINGLE_EXCURSION,2023-11-14 16:00:00,2023-11-15 12:00:00,False,False,ED003,DOWN,EMA27_EXIT_DOWN_TOWARD_EMA200,SAME_DIRECTION_EMA27_EXIT,True,FAILED_PRICE_SAME_DIRECTION_EMA27_EXIT
Z002,XA004,UP,REJECTED_WICK_OR_SINGLE_EXCURSION,2023-11-16 04:00:00,2023-11-16 20:00:00,False,False,ED004,UP,EMA27_EXIT_UP_AWAY_FROM_EMA200,SAME_DIRECTION_EMA27_EXIT,True,FAILED_PRICE_SAME_DIRECTION_EMA27_EXIT
Z002,XA005,UP,REJECTED_WICK_OR_SINGLE_EXCURSION,2023-11-20 08:00:00,2023-11-21 00:00:00,False,False,ED004,UP,EMA27_EXIT_UP_AWAY_FROM_EMA200,SAME_DIRECTION_EMA27_EXIT,True,EMA27_REMAINED_INSIDE_OR_NO_CONFIRMED_EXIT
Z002,XA006,UP,ACCEPTED_UPSIDE_EXIT_R2,2023-11-24 00:00:00,2023-11-24 12:00:00,True,False,ED005,UP,EMA27_EXIT_UP_AWAY_FROM_EMA200,SAME_DIRECTION_EMA27_EXIT,True,
Z003,XA007,UP,ACCEPTED_EXTENSION,2023-12-02 20:00:00,2023-12-03 16:00:00,False,True,ED006,UP,EMA27_EXIT_UP_AWAY_FROM_EMA200,SAME_DIRECTION_EMA27_EXIT,True,FAILED_PRICE_SAME_DIRECTION_EMA27_EXIT
Z003,XA008,UP,ACCEPTED_UPSIDE_EXIT_R2,2023-12-04 00:00:00,2023-12-04 16:00:00,True,False,ED006,UP,EMA27_EXIT_UP_AWAY_FROM_EMA200,SAME_DIRECTION_EMA27_EXIT,True,
Z004,XA009,UP,ACCEPTED_UPSIDE_EXIT_R2,2023-12-13 16:00:00,2023-12-14 04:00:00,True,False,,,,NO_EMA27_BAND_EXIT,False,
Z005,XA010,DOWN,ACCEPTED_DOWNSIDE_EXIT_R2,2023-12-17 04:00:00,2023-12-17 16:00:00,True,False,,,,NO_EMA27_BAND_EXIT,False,
Z006,XA011,UP,ACCEPTED_EXTENSION,2023-12-21 20:00:00,2023-12-23 08:00:00,False,True,ED008,UP,EMA27_EXIT_UP_AWAY_FROM_EMA200,SAME_DIRECTION_EMA27_EXIT,True,FAILED_PRICE_SAME_DIRECTION_EMA27_EXIT
Z006,XA012,UP,ACCEPTED_EXTENSION,2023-12-28 00:00:00,2023-12-28 20:00:00,False,True,ED009,UP,EMA27_EXIT_UP_AWAY_FROM_EMA200,SAME_DIRECTION_EMA27_EXIT,True,FAILED_PRICE_SAME_DIRECTION_EMA27_EXIT
Z006,XA013,DOWN,ACCEPTED_DOWNSIDE_EXIT_R2,2024-01-03 16:00:00,2024-01-04 04:00:00,True,False,ED010,DOWN,EMA27_EXIT_DOWN_TOWARD_EMA200,SAME_DIRECTION_EMA27_EXIT,True,
