parent_zone_id,phase_id,price_attempt_id,price_direction,price_decision_status,parent_ema_event_id,parent_ema_classification,ema_association_state,ema_event_age_bars,fresh
P001,PH001,XA001,DOWN,ACCEPTED_EXTENSION,PE001,PARENT_EMA_DOWN_TOWARD_EMA200,STALE,78,False
P001,PH002,XA002,UP,ACCEPTED_UPSIDE_EXIT_R2,PE001,PARENT_EMA_DOWN_TOWARD_EMA200,STALE,84,False
P002,PH003,XA003,DOWN,REJECTED_WICK_OR_SINGLE_EXCURSION,PE001,PARENT_EMA_DOWN_TOWARD_EMA200,STALE,159,False
P002,PH004,XA004,UP,REJECTED_WICK_OR_SINGLE_EXCURSION,PE001,PARENT_EMA_DOWN_TOWARD_EMA200,STALE,168,False
P002,PH005,XA005,UP,REJECTED_WICK_OR_SINGLE_EXCURSION,PE002,PARENT_EMA_UP_AWAY_FROM_EMA200,FRESH_SAME_DIRECTION,-1,True
P002,PH006,XA006,UP,ACCEPTED_UPSIDE_EXIT_R2,PE002,PARENT_EMA_UP_AWAY_FROM_EMA200,STALE,21,False
P002,PH007,XA007,UP,ACCEPTED_EXTENSION,PE003,PARENT_EMA_UP_AWAY_FROM_EMA200,FRESH_SAME_DIRECTION,-1,True
P002,PH008,XA008,UP,ACCEPTED_UPSIDE_EXIT_R2,PE003,PARENT_EMA_UP_AWAY_FROM_EMA200,STALE,6,False
P003,PH009,XA009,UP,ACCEPTED_UPSIDE_EXIT_R2,PE003,PARENT_EMA_UP_AWAY_FROM_EMA200,STALE,64,False
P003,PH010,XA010,DOWN,ACCEPTED_DOWNSIDE_EXIT_R2,PE003,PARENT_EMA_UP_AWAY_FROM_EMA200,STALE,85,False
P003,PH011,XA011,UP,ACCEPTED_EXTENSION,PE003,PARENT_EMA_UP_AWAY_FROM_EMA200,STALE,113,False
P003,PH012,XA012,UP,ACCEPTED_EXTENSION,PE004,PARENT_EMA_UP_AWAY_FROM_EMA200,FRESH_SAME_DIRECTION,-1,True
P003,PH013,XA013,DOWN,ACCEPTED_DOWNSIDE_EXIT_R2,PE005,PARENT_EMA_DOWN_TOWARD_EMA200,FRESH_SAME_DIRECTION,-1,True
