event_id,event_sequence,model,parent_id,bar_open_time,prior_state,new_state,event_type,price_regime_id,ema_regime_id,joint_id,active_upper_bound,active_lower_bound,causal_reason,last_timestamp_used
SM0001,1,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P001,2023-10-31 12:00:00,NO_PARENT,PARENT_BUILDING_BOUNDS,PARENT_START,,,,0.3031,0.2895,raw core-trigger loss of agreement,2023-10-31 12:00:00
SM0002,2,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P001,2023-10-31 20:00:00,PARENT_BUILDING_BOUNDS,PARENT_ACTIVE_INSIDE,BOUNDS_CONFIRMED,,,,0.3031,0.2895,LOWER_REACTION_CONFIRMED,2023-10-31 20:00:00
SM0003,3,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P001,2023-11-02 16:00:00,LOCAL_PRICE_CANDIDATE,ACTIVE_PRICE_OUTSIDE_REGIME,LOCAL_ACCEPTED_DEPARTURE,PR001,,,0.3031,0.2875,LOCAL_ACCEPTED_UP_DEPARTURE,2023-11-02 16:00:00
SM0004,4,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P001,2023-11-02 20:00:00,PARENT_ACTIVE_INSIDE,JOINT_PARENT_CANDIDATE,JOINT_OVERLAP_START,PR001,AR001,JC001,0.3031,0.2875,active price and qualified EMA regimes overlap,2023-11-02 20:00:00
SM0005,5,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P001,2023-11-04 16:00:00,JOINT_PARENT_CANDIDATE,PARENT_RESOLVED,CONFIRMED_PARENT_UP_RESOLUTION,PR001,AR001,JC001,0.3031,0.2875,joint probation confirmed,2023-11-04 16:00:00
SM0006,6,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P002,2023-11-12 16:00:00,NO_PARENT,PARENT_BUILDING_BOUNDS,PARENT_START,,,,0.3905,0.3568,raw core-trigger loss of agreement,2023-11-12 16:00:00
SM0007,7,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P002,2023-11-14 04:00:00,PARENT_BUILDING_BOUNDS,PARENT_ACTIVE_INSIDE,BOUNDS_CONFIRMED,,,,0.3905,0.3568,LOWER_REACTION_CONFIRMED,2023-11-14 04:00:00
SM0008,8,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P002,2023-11-24 12:00:00,LOCAL_PRICE_CANDIDATE,ACTIVE_PRICE_OUTSIDE_REGIME,LOCAL_ACCEPTED_DEPARTURE,PR002,,,0.3905,0.3568,LOCAL_ACCEPTED_UP_DEPARTURE,2023-11-24 12:00:00
SM0009,9,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P002,2023-11-24 16:00:00,PARENT_ACTIVE_INSIDE,JOINT_PARENT_CANDIDATE,JOINT_OVERLAP_START,PR002,AR003,JC002,0.3905,0.3568,active price and qualified EMA regimes overlap,2023-11-24 16:00:00
SM0010,10,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P002,2023-11-26 12:00:00,JOINT_PARENT_CANDIDATE,PARENT_ACTIVE_INSIDE,FAILED_JOINT_CONTINUE_PARENT,PR002,AR003,JC002,0.3905,0.3568,JOINT_12_BAR_CRITERIA_NOT_MET,2023-11-26 12:00:00
SM0011,11,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P002,2023-11-26 16:00:00,PARENT_ACTIVE_INSIDE,JOINT_PARENT_CANDIDATE,JOINT_OVERLAP_START,PR002,AR003,JC003,0.3905,0.3568,active price and qualified EMA regimes overlap,2023-11-26 16:00:00
SM0012,12,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P002,2023-11-27 00:00:00,JOINT_PARENT_CANDIDATE,PARENT_ACTIVE_INSIDE,FAILED_JOINT_CONTINUE_PARENT,PR002,AR003,JC003,0.3905,0.3568,PRICE_DEEP_RECLAIM,2023-11-27 00:00:00
SM0013,13,R4_PRICE_PLUS_ACTIVE_PARENT_EMA,P002,2023-12-04 16:00:00,LOCAL_PRICE_CANDIDATE,ACTIVE_PRICE_OUTSIDE_REGIME,LOCAL_ACCEPTED_DEPARTURE,PR003,,,0.3976,0.3568,LOCAL_ACCEPTED_UP_DEPARTURE,2023-12-04 16:00:00
