event_id,zone_id,model,event_type,event_open_time,event_close_time,previous_upper_bound,previous_lower_bound,new_upper_bound,new_lower_bound,boundary_version,core_ordinal_in_zone,attempt_id,reason
EV001,Z001,ACCEPTED_EXTENSION_BODY_BOUNDS,ZONE_START,2023-10-31 12:00:00,2023-10-31 15:59:59,,,0.3031,0.2895,1,0,,first causal loss of agreement
EV002,Z001,ACCEPTED_EXTENSION_BODY_BOUNDS,CORE_TRIGGER,2023-10-31 16:00:00,2023-10-31 19:59:59,0.3031,0.2895,0.3031,0.2895,1,1,,first diagnostic core trigger
EV003,Z001,ACCEPTED_EXTENSION_BODY_BOUNDS,BOUNDS_CONFIRMED,2023-10-31 20:00:00,2023-10-31 23:59:59,,,0.3031,0.2895,1,0,,LOWER_REACTION_CONFIRMED
EV004,Z001,ACCEPTED_EXTENSION_BODY_BOUNDS,CORE_TRIGGER,2023-11-01 00:00:00,2023-11-01 03:59:59,0.3031,0.2895,0.3031,0.2895,1,2,,diagnostic core trigger
EV005,Z001,ACCEPTED_EXTENSION_BODY_BOUNDS,CORE_TRIGGER,2023-11-01 04:00:00,2023-11-01 07:59:59,0.3031,0.2895,0.3031,0.2895,1,3,,diagnostic core trigger
EV006,Z001,ACCEPTED_EXTENSION_BODY_BOUNDS,DOWN_OUTSIDE_CANDIDATE,2023-11-01 04:00:00,2023-11-01 07:59:59,0.3031,0.2895,0.3031,0.2895,1,0,XA001,outside close candidate
EV007,Z001,ACCEPTED_EXTENSION_BODY_BOUNDS,ACCEPTED_DOWN_EXTENSION,2023-11-02 00:00:00,2023-11-02 03:59:59,0.3031,0.2895,0.3031,0.2875,2,0,XA001,accepted outside shelf reclaimed into zone
EV008,Z001,ACCEPTED_EXTENSION_BODY_BOUNDS,UP_OUTSIDE_CANDIDATE,2023-11-02 04:00:00,2023-11-02 07:59:59,0.3031,0.2875,0.3031,0.2875,2,0,XA002,outside close candidate
EV009,Z001,ACCEPTED_EXTENSION_BODY_BOUNDS,EFFECTIVE_EXIT,2023-11-02 04:00:00,2023-11-02 07:59:59,0.3031,0.2875,0.3031,0.2875,2,0,XA002,ACCEPTED_UPSIDE_EXIT_R2
EV010,Z001,ACCEPTED_EXTENSION_BODY_BOUNDS,EXIT_CONFIRMATION,2023-11-02 16:00:00,2023-11-02 19:59:59,0.3031,0.2875,0.3031,0.2875,2,0,XA002,ACCEPTED_UPSIDE_EXIT_R2
EV011,Z002,ACCEPTED_EXTENSION_BODY_BOUNDS,ZONE_START,2023-11-12 16:00:00,2023-11-12 19:59:59,,,0.3905,0.3568,1,0,,first causal loss of agreement
EV012,Z002,ACCEPTED_EXTENSION_BODY_BOUNDS,CORE_TRIGGER,2023-11-13 08:00:00,2023-11-13 11:59:59,0.3905,0.3568,0.3905,0.3568,1,1,,first diagnostic core trigger
EV013,Z002,ACCEPTED_EXTENSION_BODY_BOUNDS,BOUNDS_CONFIRMED,2023-11-14 04:00:00,2023-11-14 07:59:59,,,0.3905,0.3568,1,0,,LOWER_REACTION_CONFIRMED
EV014,Z002,ACCEPTED_EXTENSION_BODY_BOUNDS,CORE_TRIGGER,2023-11-14 08:00:00,2023-11-14 11:59:59,0.3905,0.3568,0.3905,0.3568,1,2,,diagnostic core trigger
EV015,Z002,ACCEPTED_EXTENSION_BODY_BOUNDS,CORE_TRIGGER,2023-11-14 12:00:00,2023-11-14 15:59:59,0.3905,0.3568,0.3905,0.3568,1,3,,diagnostic core trigger
EV016,Z002,ACCEPTED_EXTENSION_BODY_BOUNDS,CORE_TRIGGER,2023-11-14 16:00:00,2023-11-14 19:59:59,0.3905,0.3568,0.3905,0.3568,1,4,,diagnostic core trigger
EV017,Z002,ACCEPTED_EXTENSION_BODY_BOUNDS,DOWN_OUTSIDE_CANDIDATE,2023-11-14 16:00:00,2023-11-14 19:59:59,0.3905,0.3568,0.3905,0.3568,1,0,XA003,outside close candidate
EV018,Z002,ACCEPTED_EXTENSION_BODY_BOUNDS,REJECTED_DOWN_EXCURSION,2023-11-15 12:00:00,2023-11-15 15:59:59,0.3905,0.3568,0.3905,0.3568,1,0,XA003,THREE_CONSECUTIVE_DEEP_RECLAIMS
EV019,Z002,ACCEPTED_EXTENSION_BODY_BOUNDS,UP_OUTSIDE_CANDIDATE,2023-11-16 04:00:00,2023-11-16 07:59:59,0.3905,0.3568,0.3905,0.3568,1,0,XA004,outside close candidate
EV020,Z002,ACCEPTED_EXTENSION_BODY_BOUNDS,REJECTED_UP_EXCURSION,2023-11-16 20:00:00,2023-11-16 23:59:59,0.3905,0.3568,0.3905,0.3568,1,0,XA004,THREE_CONSECUTIVE_DEEP_RECLAIMS
EV021,Z002,ACCEPTED_EXTENSION_BODY_BOUNDS,CORE_TRIGGER,2023-11-17 04:00:00,2023-11-17 07:59:59,0.3905,0.3568,0.3905,0.3568,1,5,,diagnostic core trigger
EV022,Z002,ACCEPTED_EXTENSION_BODY_BOUNDS,CORE_TRIGGER,2023-11-17 12:00:00,2023-11-17 15:59:59,0.3905,0.3568,0.3905,0.3568,1,6,,diagnostic core trigger
EV023,Z002,ACCEPTED_EXTENSION_BODY_BOUNDS,CORE_TRIGGER,2023-11-17 16:00:00,2023-11-17 19:59:59,0.3905,0.3568,0.3905,0.3568,1,7,,diagnostic core trigger
EV024,Z002,ACCEPTED_EXTENSION_BODY_BOUNDS,CORE_TRIGGER,2023-11-17 20:00:00,2023-11-17 23:59:59,0.3905,0.3568,0.3905,0.3568,1,8,,diagnostic core trigger
EV025,Z002,ACCEPTED_EXTENSION_BODY_BOUNDS,CORE_TRIGGER,2023-11-18 00:00:00,2023-11-18 03:59:59,0.3905,0.3568,0.3905,0.3568,1,9,,diagnostic core trigger
EV026,Z002,ACCEPTED_EXTENSION_BODY_BOUNDS,CORE_TRIGGER,2023-11-18 04:00:00,2023-11-18 07:59:59,0.3905,0.3568,0.3905,0.3568,1,10,,diagnostic core trigger
EV027,Z002,ACCEPTED_EXTENSION_BODY_BOUNDS,CORE_TRIGGER,2023-11-18 08:00:00,2023-11-18 11:59:59,0.3905,0.3568,0.3905,0.3568,1,11,,diagnostic core trigger
EV028,Z002,ACCEPTED_EXTENSION_BODY_BOUNDS,CORE_TRIGGER,2023-11-18 12:00:00,2023-11-18 15:59:59,0.3905,0.3568,0.3905,0.3568,1,12,,diagnostic core trigger
EV029,Z002,ACCEPTED_EXTENSION_BODY_BOUNDS,UP_OUTSIDE_CANDIDATE,2023-11-20 08:00:00,2023-11-20 11:59:59,0.3905,0.3568,0.3905,0.3568,1,0,XA005,outside close candidate
EV030,Z002,ACCEPTED_EXTENSION_BODY_BOUNDS,REJECTED_UP_EXCURSION,2023-11-21 00:00:00,2023-11-21 03:59:59,0.3905,0.3568,0.3905,0.3568,1,0,XA005,THREE_CONSECUTIVE_DEEP_RECLAIMS
EV031,Z002,ACCEPTED_EXTENSION_BODY_BOUNDS,CORE_TRIGGER,2023-11-21 12:00:00,2023-11-21 15:59:59,0.3905,0.3568,0.3905,0.3568,1,13,,diagnostic core trigger
EV032,Z002,ACCEPTED_EXTENSION_BODY_BOUNDS,CORE_TRIGGER,2023-11-21 16:00:00,2023-11-21 19:59:59,0.3905,0.3568,0.3905,0.3568,1,14,,diagnostic core trigger
EV033,Z002,ACCEPTED_EXTENSION_BODY_BOUNDS,CORE_TRIGGER,2023-11-21 20:00:00,2023-11-21 23:59:59,0.3905,0.3568,0.3905,0.3568,1,15,,diagnostic core trigger
EV034,Z002,ACCEPTED_EXTENSION_BODY_BOUNDS,CORE_TRIGGER,2023-11-22 00:00:00,2023-11-22 03:59:59,0.3905,0.3568,0.3905,0.3568,1,16,,diagnostic core trigger
EV035,Z002,ACCEPTED_EXTENSION_BODY_BOUNDS,CORE_TRIGGER,2023-11-22 04:00:00,2023-11-22 07:59:59,0.3905,0.3568,0.3905,0.3568,1,17,,diagnostic core trigger
EV036,Z002,ACCEPTED_EXTENSION_BODY_BOUNDS,CORE_TRIGGER,2023-11-22 08:00:00,2023-11-22 11:59:59,0.3905,0.3568,0.3905,0.3568,1,18,,diagnostic core trigger
EV037,Z002,ACCEPTED_EXTENSION_BODY_BOUNDS,CORE_TRIGGER,2023-11-22 12:00:00,2023-11-22 15:59:59,0.3905,0.3568,0.3905,0.3568,1,19,,diagnostic core trigger
EV038,Z002,ACCEPTED_EXTENSION_BODY_BOUNDS,UP_OUTSIDE_CANDIDATE,2023-11-24 00:00:00,2023-11-24 03:59:59,0.3905,0.3568,0.3905,0.3568,1,0,XA006,outside close candidate
EV039,Z002,ACCEPTED_EXTENSION_BODY_BOUNDS,EFFECTIVE_EXIT,2023-11-24 00:00:00,2023-11-24 03:59:59,0.3905,0.3568,0.3905,0.3568,1,0,XA006,ACCEPTED_UPSIDE_EXIT_R2
EV040,Z002,ACCEPTED_EXTENSION_BODY_BOUNDS,EXIT_CONFIRMATION,2023-11-24 12:00:00,2023-11-24 15:59:59,0.3905,0.3568,0.3905,0.3568,1,0,XA006,ACCEPTED_UPSIDE_EXIT_R2
EV041,Z003,ACCEPTED_EXTENSION_BODY_BOUNDS,ZONE_START,2023-11-26 08:00:00,2023-11-26 11:59:59,,,0.3949,0.3739,1,0,,first causal loss of agreement
EV042,Z003,ACCEPTED_EXTENSION_BODY_BOUNDS,CORE_TRIGGER,2023-11-26 16:00:00,2023-11-26 19:59:59,0.3949,0.3739,0.3949,0.3739,1,1,,first diagnostic core trigger
EV043,Z003,ACCEPTED_EXTENSION_BODY_BOUNDS,BOUNDS_CONFIRMED,2023-11-28 12:00:00,2023-11-28 15:59:59,,,0.3949,0.3739,1,0,,LOWER_REACTION_CONFIRMED
EV044,Z003,ACCEPTED_EXTENSION_BODY_BOUNDS,CORE_TRIGGER,2023-11-29 12:00:00,2023-11-29 15:59:59,0.3949,0.3739,0.3949,0.3739,1,2,,diagnostic core trigger
EV045,Z003,ACCEPTED_EXTENSION_BODY_BOUNDS,CORE_TRIGGER,2023-11-29 20:00:00,2023-11-29 23:59:59,0.3949,0.3739,0.3949,0.3739,1,3,,diagnostic core trigger
EV046,Z003,ACCEPTED_EXTENSION_BODY_BOUNDS,CORE_TRIGGER,2023-11-30 00:00:00,2023-11-30 03:59:59,0.3949,0.3739,0.3949,0.3739,1,4,,diagnostic core trigger
EV047,Z003,ACCEPTED_EXTENSION_BODY_BOUNDS,CORE_TRIGGER,2023-11-30 04:00:00,2023-11-30 07:59:59,0.3949,0.3739,0.3949,0.3739,1,5,,diagnostic core trigger
EV048,Z003,ACCEPTED_EXTENSION_BODY_BOUNDS,CORE_TRIGGER,2023-11-30 08:00:00,2023-11-30 11:59:59,0.3949,0.3739,0.3949,0.3739,1,6,,diagnostic core trigger
EV049,Z003,ACCEPTED_EXTENSION_BODY_BOUNDS,CORE_TRIGGER,2023-11-30 12:00:00,2023-11-30 15:59:59,0.3949,0.3739,0.3949,0.3739,1,7,,diagnostic core trigger
EV050,Z003,ACCEPTED_EXTENSION_BODY_BOUNDS,CORE_TRIGGER,2023-11-30 16:00:00,2023-11-30 19:59:59,0.3949,0.3739,0.3949,0.3739,1,8,,diagnostic core trigger
EV051,Z003,ACCEPTED_EXTENSION_BODY_BOUNDS,CORE_TRIGGER,2023-11-30 20:00:00,2023-11-30 23:59:59,0.3949,0.3739,0.3949,0.3739,1,9,,diagnostic core trigger
EV052,Z003,ACCEPTED_EXTENSION_BODY_BOUNDS,CORE_TRIGGER,2023-12-01 00:00:00,2023-12-01 03:59:59,0.3949,0.3739,0.3949,0.3739,1,10,,diagnostic core trigger
EV053,Z003,ACCEPTED_EXTENSION_BODY_BOUNDS,CORE_TRIGGER,2023-12-01 04:00:00,2023-12-01 07:59:59,0.3949,0.3739,0.3949,0.3739,1,11,,diagnostic core trigger
