zone_id,attempt_id,model,direction,frozen_boundary,frozen_atr,candidate_open_time,decision_open_time,decision_status,observed_bars,outside_close_count,outside_fraction,inside_close_count,longest_outside_run,longest_deep_reclaim_run,final_close_position,wick_high,wick_low,body_high,body_low,median_outside_close,accepted_exit,accepted_extension,rejection_reason,effective_exit_open_time,exit_confirmation_open_time,last_data_timestamp_used,outside_body_values_used,proposed_body_boundary,directional_wick_extreme_ignored
Z001,XA001,ACCEPTED_EXTENSION_BODY_BOUNDS,DOWN,0.2895,0.006036176357700452,2023-11-01 04:00:00,2023-11-02 00:00:00,ACCEPTED_EXTENSION,6,3,0.5,3,3,3,DEEP_INSIDE,0.3124,0.2839,0.3098,0.2874,0.2879,False,True,THREE_CONSECUTIVE_DEEP_RECLAIMS,,,2023-11-02 00:00:00,0.28740000;0.28750000;0.28800000,0.2875,0.2839
Z001,XA002,ACCEPTED_EXTENSION_BODY_BOUNDS,UP,0.3031,0.006683822000311275,2023-11-02 04:00:00,2023-11-02 16:00:00,ACCEPTED_UPSIDE_EXIT_R2,4,3,0.75,1,2,1,OUTSIDE,0.3295,0.2981,0.3242,0.3003,0.3104,True,False,,2023-11-02 04:00:00,2023-11-02 16:00:00,2023-11-02 16:00:00,0.32420000;0.31040000;0.30980000,0.3104,0.3295
Z002,XA003,ACCEPTED_EXTENSION_BODY_BOUNDS,DOWN,0.3568,0.013338152604457604,2023-11-14 16:00:00,2023-11-15 12:00:00,REJECTED_WICK_OR_SINGLE_EXCURSION,6,2,0.3333333333333333,4,1,3,DEEP_INSIDE,0.3732,0.34,0.3722,0.3496,0.35175,False,False,THREE_CONSECUTIVE_DEEP_RECLAIMS,,,2023-11-15 12:00:00,0.34970000;0.35380000,0.35175,0.34
Z002,XA004,ACCEPTED_EXTENSION_BODY_BOUNDS,UP,0.3905,0.01163231754240865,2023-11-16 04:00:00,2023-11-16 20:00:00,REJECTED_WICK_OR_SINGLE_EXCURSION,5,2,0.4,3,2,3,DEEP_INSIDE,0.4095,0.3585,0.3962,0.367,0.3944,False,False,THREE_CONSECUTIVE_DEEP_RECLAIMS,,,2023-11-16 20:00:00,0.39620000;0.39610000,0.39615,0.4095
Z002,XA005,ACCEPTED_EXTENSION_BODY_BOUNDS,UP,0.3905,0.009647308385762669,2023-11-20 08:00:00,2023-11-21 00:00:00,REJECTED_WICK_OR_SINGLE_EXCURSION,5,2,0.4,3,2,3,DEEP_INSIDE,0.3994,0.378,0.3923,0.3803,0.3922,False,False,THREE_CONSECUTIVE_DEEP_RECLAIMS,,,2023-11-21 00:00:00,0.39230000;0.39230000,0.3923,0.3994
Z002,XA006,ACCEPTED_EXTENSION_BODY_BOUNDS,UP,0.3905,0.009413451029180888,2023-11-24 00:00:00,2023-11-24 12:00:00,ACCEPTED_UPSIDE_EXIT_R2,4,3,0.75,1,2,0,OUTSIDE,0.3977,0.3857,0.3949,0.3872,0.3922,True,False,,2023-11-24 00:00:00,2023-11-24 12:00:00,2023-11-24 12:00:00,0.39490000;0.39490000;0.39220000,0.3949,0.3977
Z003,XA007,ACCEPTED_EXTENSION_BODY_BOUNDS,UP,0.3949,0.005353576449171857,2023-12-02 20:00:00,2023-12-03 16:00:00,ACCEPTED_EXTENSION,6,3,0.5,3,3,3,DEEP_INSIDE,0.403,0.3878,0.3976,0.3901,0.3967,False,True,THREE_CONSECUTIVE_DEEP_RECLAIMS,,,2023-12-03 16:00:00,0.39760000;0.39760000;0.39680000,0.3976,0.403
Z003,XA008,ACCEPTED_EXTENSION_BODY_BOUNDS,UP,0.3976,0.006077653904111378,2023-12-04 00:00:00,2023-12-04 16:00:00,ACCEPTED_UPSIDE_EXIT_R2,5,4,0.8,1,3,0,OUTSIDE,0.415,0.3911,0.4085,0.3948,0.40335,True,False,,2023-12-04 00:00:00,2023-12-04 16:00:00,2023-12-04 16:00:00,0.40850000;0.40840000;0.40300000,0.4084,0.415
Z004,XA009,ACCEPTED_EXTENSION_BODY_BOUNDS,UP,0.6243,0.030987156329740865,2023-12-13 16:00:00,2023-12-14 04:00:00,ACCEPTED_UPSIDE_EXIT_R2,4,4,1.0,0,4,0,OUTSIDE,0.68,0.6066,0.6677,0.626,0.65615,True,False,,2023-12-13 16:00:00,2023-12-14 04:00:00,2023-12-14 04:00:00,0.66770000;0.66750000;0.65640000,0.6675,0.68
Z005,XA010,ACCEPTED_EXTENSION_BODY_BOUNDS,DOWN,0.6004,0.02276603586740912,2023-12-17 04:00:00,2023-12-17 16:00:00,ACCEPTED_DOWNSIDE_EXIT_R2,4,3,0.75,1,2,0,OUTSIDE,0.6182,0.5851,0.6144,0.593,0.5938,True,False,,2023-12-17 04:00:00,2023-12-17 16:00:00,2023-12-17 16:00:00,0.59300000;0.59310000;0.59380000,0.5931,0.5851
