control_id,matched_interval_id,instrument,start_time,end_time,parent_direction,control_reassertion_atr,duration_mismatch_bars,atr_mismatch,parent_age_mismatch_bars,phase_location_mismatch,match_exact,mismatch_disclosure
CTRL_0001,ADA_0012,ADAUSDT,2023-08-22 20:00:00,2023-08-23 12:00:00,UP,0.714514,0,0.000375,0,0.093636,0,duration/direction/age exact; ATR and phase location nearest feasible deterministic candidate
CTRL_0002,ADA_0016,ADAUSDT,2024-09-03 00:00:00,2024-09-03 16:00:00,UP,0.592662,0,0.002543,0,0.778182,0,duration/direction/age exact; ATR and phase location nearest feasible deterministic candidate
CTRL_0003,ADA_0018,ADAUSDT,2024-09-03 00:00:00,2024-09-03 16:00:00,UP,0.592662,0,0.0025,0,0.777576,0,duration/direction/age exact; ATR and phase location nearest feasible deterministic candidate
CTRL_0004,ADA_0026,ADAUSDT,2023-08-20 20:00:00,2023-08-21 12:00:00,DOWN,1.426598,0,0.001621,0,0.085758,0,duration/direction/age exact; ATR and phase location nearest feasible deterministic candidate
CTRL_0005,ADA_0027,ADAUSDT,2023-07-20 12:00:00,2023-07-21 04:00:00,DOWN,0.575342,0,0.002457,0,0.028485,0,duration/direction/age exact; ATR and phase location nearest feasible deterministic candidate
CTRL_0006,ADA_0033,ADAUSDT,2024-07-04 00:00:00,2024-07-04 16:00:00,DOWN,0.797351,0,0.004164,0,0.662121,0,duration/direction/age exact; ATR and phase location nearest feasible deterministic candidate
CTRL_0007,ADA_0035,ADAUSDT,2024-03-07 20:00:00,2024-03-08 12:00:00,DOWN,0.79144,0,0.015536,0,0.446667,0,duration/direction/age exact; ATR and phase location nearest feasible deterministic candidate
CTRL_0008,ADA_0045,ADAUSDT,2024-07-09 00:00:00,2024-07-09 16:00:00,UP,0.541301,0,0.0065,0,0.667576,0,duration/direction/age exact; ATR and phase location nearest feasible deterministic candidate
CTRL_0009,ADA_0059,ADAUSDT,2024-01-08 08:00:00,2024-01-09 00:00:00,DOWN,0.764307,0,0.014407,0,0.331212,0,duration/direction/age exact; ATR and phase location nearest feasible deterministic candidate
CTRL_0010,ADA_0065,ADAUSDT,2024-01-10 00:00:00,2024-01-10 16:00:00,UP,0.657301,0,0.014736,0,0.332424,0,duration/direction/age exact; ATR and phase location nearest feasible deterministic candidate
