instrument,child_scale,parent_direction,parent_start,counter_start,balance_start,reassertion_time,end_time,parent_invalidation_boundary,parent_intact,child_counter_motion,counter_progress_decay,balance_or_overlap,failed_counter_extension,parent_reassertion,reassertion_atr,counter_displacement_atr,counter_efficiency,overlap_ratio,alternation_rate,parent_elapsed_bars,child_elapsed_bars,child_parent_amplitude_ratio,child_parent_duration_ratio,parameter_factor,diagnostic_flag,diagnostic_reason,interval_id
ADAUSDT,1H_FALLBACK,UP,2023-07-01 00:00:00,2023-07-02 08:00:00,2023-07-02 20:00:00,2023-07-03 00:00:00,2023-07-03 00:00:00,0.2812,1,1,1,1,0,1,0.721078,-0.23371,0.282051,0.678721,0.333333,8,4,0.88189,0.5,1.0,0,,ADA_0012
ADAUSDT,1H_FALLBACK,UP,2023-07-01 16:00:00,2023-07-03 00:00:00,2023-07-03 12:00:00,2023-07-03 16:00:00,2023-07-03 16:00:00,0.2853,1,1,1,1,0,1,0.594059,-0.06161,0.142857,0.815203,0.333333,8,4,1.05814,0.5,1.0,0,,ADA_0016
ADAUSDT,1H_FALLBACK,UP,2023-07-02 00:00:00,2023-07-03 08:00:00,2023-07-03 20:00:00,2023-07-04 00:00:00,2023-07-04 00:00:00,0.2853,1,1,0,1,0,1,0.608696,-0.386179,0.358491,0.765203,0.666667,8,4,0.839286,0.5,1.0,0,,ADA_0018
ADAUSDT,1H_FALLBACK,DOWN,2023-07-03 08:00:00,2023-07-04 16:00:00,2023-07-05 04:00:00,2023-07-05 08:00:00,2023-07-05 08:00:00,0.3016,1,1,1,1,1,1,1.580645,0.561304,1.0,0.53265,0.333333,8,4,1.268519,0.5,1.0,0,,ADA_0026
ADAUSDT,1H_FALLBACK,DOWN,2023-07-03 12:00:00,2023-07-04 20:00:00,2023-07-05 08:00:00,2023-07-05 12:00:00,2023-07-05 12:00:00,0.3016,1,1,1,1,0,1,0.57767,-1.146953,0.542373,0.491597,0.333333,8,4,1.349206,0.5,1.0,0,,ADA_0027
ADAUSDT,1H_FALLBACK,DOWN,2023-07-04 12:00:00,2023-07-05 20:00:00,2023-07-06 08:00:00,2023-07-06 12:00:00,2023-07-06 12:00:00,0.297,1,1,1,1,0,1,0.815534,0.633852,0.906977,0.523841,0.333333,8,4,1.017341,0.5,1.0,0,,ADA_0033
ADAUSDT,1H_FALLBACK,DOWN,2023-07-04 20:00:00,2023-07-06 04:00:00,2023-07-06 16:00:00,2023-07-06 20:00:00,2023-07-06 20:00:00,0.2967,1,1,0,1,0,1,0.790795,-0.647149,0.6,0.666872,0.666667,8,4,1.035294,0.5,1.0,0,,ADA_0035
ADAUSDT,1H_FALLBACK,UP,2023-07-06 12:00:00,2023-07-07 20:00:00,2023-07-08 08:00:00,2023-07-08 12:00:00,2023-07-08 12:00:00,0.2761,1,1,1,1,0,1,0.526976,-0.272109,0.421053,0.652778,0.333333,8,4,0.6875,0.5,1.0,0,,ADA_0045
ADAUSDT,1H_FALLBACK,DOWN,2023-07-08 20:00:00,2023-07-10 04:00:00,2023-07-10 16:00:00,2023-07-10 20:00:00,2023-07-10 20:00:00,0.2918,1,1,1,1,1,1,0.766823,1.822565,1.0,0.63984,0.333333,8,4,0.912409,0.5,1.0,0,,ADA_0059
ADAUSDT,1H_FALLBACK,UP,2023-07-09 20:00:00,2023-07-11 04:00:00,2023-07-11 16:00:00,2023-07-11 20:00:00,2023-07-11 20:00:00,0.2781,1,1,1,1,1,1,0.654206,0.394366,1.0,0.845971,0.333333,8,4,0.39726,0.5,1.0,0,,ADA_0065
ADAUSDT,1H_FALLBACK,UP,2023-07-13 04:00:00,2023-07-14 12:00:00,2023-07-15 00:00:00,2023-07-15 04:00:00,2023-07-15 04:00:00,0.2858,1,1,1,1,1,1,0.505308,1.31305,0.623881,0.577955,1.0,8,4,0.37861,0.5,1.0,0,,ADA_0085
ADAUSDT,1H_FALLBACK,DOWN,2023-07-15 08:00:00,2023-07-16 16:00:00,2023-07-17 04:00:00,2023-07-17 08:00:00,2023-07-17 08:00:00,0.3376,1,1,1,1,0,1,0.761329,0.210764,0.266667,0.656066,0.666667,8,4,0.858537,0.5,1.0,0,,ADA_0098
ADAUSDT,1H_FALLBACK,UP,2023-07-18 00:00:00,2023-07-19 08:00:00,2023-07-19 20:00:00,2023-07-20 00:00:00,2023-07-20 00:00:00,0.2996,1,1,0,1,0,1,0.616048,-0.727241,0.345029,0.64582,1.0,8,4,0.95082,0.5,1.0,0,,ADA_0114
ADAUSDT,1H_FALLBACK,UP,2023-07-22 04:00:00,2023-07-23 12:00:00,2023-07-24 00:00:00,2023-07-24 04:00:00,2023-07-24 04:00:00,0.3062,1,1,0,1,0,1,0.591252,0.540715,0.307692,0.614564,0.666667,8,4,0.831858,0.5,1.0,0,,ADA_0139
ADAUSDT,1H_FALLBACK,UP,2023-07-24 12:00:00,2023-07-25 20:00:00,2023-07-26 08:00:00,2023-07-26 12:00:00,2023-07-26 12:00:00,0.3,1,1,1,1,1,1,0.863436,0.470193,1.0,0.773083,0.333333,8,4,0.692308,0.5,1.0,0,,ADA_0153
ADAUSDT,1H_FALLBACK,UP,2023-07-26 08:00:00,2023-07-27 16:00:00,2023-07-28 04:00:00,2023-07-28 08:00:00,2023-07-28 08:00:00,0.3003,1,1,1,1,1,1,0.77643,-0.168501,0.368421,0.539245,0.666667,8,4,0.545455,0.5,1.0,0,,ADA_0164
ADAUSDT,1H_FALLBACK,UP,2023-07-27 12:00:00,2023-07-28 20:00:00,2023-07-29 08:00:00,2023-07-29 12:00:00,2023-07-29 12:00:00,0.3053,1,1,0,1,0,1,0.533632,0.257985,0.257143,0.634286,0.666667,8,4,0.62963,0.5,1.0,0,,ADA_0171
ADAUSDT,1H_FALLBACK,UP,2023-07-27 16:00:00,2023-07-29 00:00:00,2023-07-29 12:00:00,2023-07-29 16:00:00,2023-07-29 16:00:00,0.3053,1,1,1,1,0,1,0.604545,0.149637,0.128205,0.537619,0.333333,8,4,0.62963,0.5,1.0,0,,ADA_0172
ADAUSDT,1H_FALLBACK,UP,2023-07-28 20:00:00,2023-07-30 04:00:00,2023-07-30 16:00:00,2023-07-30 20:00:00,2023-07-30 20:00:00,0.3087,1,1,1,1,1,1,1.733075,1.746824,1.0,0.651463,0.333333,8,4,2.263158,0.5,1.0,0,,ADA_0179
ADAUSDT,1H_FALLBACK,DOWN,2023-07-31 00:00:00,2023-08-01 08:00:00,2023-08-01 20:00:00,2023-08-02 00:00:00,2023-08-02 00:00:00,0.319,1,1,1,1,1,1,0.522523,1.021505,1.0,0.538425,0.333333,8,4,0.495868,0.5,1.0,0,,ADA_0192
ADAUSDT,1H_FALLBACK,DOWN,2023-07-31 12:00:00,2023-08-01 20:00:00,2023-08-02 08:00:00,2023-08-02 12:00:00,2023-08-02 12:00:00,0.3153,1,1,0,1,0,1,1.018545,-0.422613,0.323529,0.506484,0.666667,8,4,0.521951,0.5,1.0,0,,ADA_0195
ADAUSDT,1H_FALLBACK,DOWN,2023-08-01 20:00:00,2023-08-03 04:00:00,2023-08-03 16:00:00,2023-08-03 20:00:00,2023-08-03 20:00:00,0.312,1,1,1,1,0,1,0.685015,0.021277,0.04,0.595141,0.333333,8,4,0.732877,0.5,1.0,0,,ADA_0203
ADAUSDT,1H_FALLBACK,DOWN,2023-08-02 16:00:00,2023-08-04 00:00:00,2023-08-04 12:00:00,2023-08-04 16:00:00,2023-08-04 16:00:00,0.3038,1,1,0,1,0,1,0.600954,0.454693,0.454545,0.75,0.666667,8,4,0.373333,0.5,1.0,0,,ADA_0208
ADAUSDT,1H_FALLBACK,DOWN,2023-08-04 12:00:00,2023-08-05 20:00:00,2023-08-06 08:00:00,2023-08-06 12:00:00,2023-08-06 12:00:00,0.2972,1,1,1,1,1,1,1.16129,0.310284,0.416667,0.641317,1.0,8,4,0.71831,0.5,1.0,0,,ADA_0219
