counterexample_type,interval_id,parent_direction,reassertion_atr,reason
BASE_BOUNDARY_FAIL,ADA_2056,DOWN,2.764628,completed child close crossed established direction-aware parent invalidation boundary
BASE_BOUNDARY_FAIL,ADA_2116,UP,1.778689,completed child close crossed established direction-aware parent invalidation boundary
BASE_BOUNDARY_FAIL,ADA_2826,UP,1.369973,completed child close crossed established direction-aware parent invalidation boundary
BASE_BOUNDARY_FAIL,ADA_1493,UP,1.320538,completed child close crossed established direction-aware parent invalidation boundary
BASE_BOUNDARY_FAIL,ADA_1990,DOWN,1.305521,completed child close crossed established direction-aware parent invalidation boundary
BASE_BOUNDARY_FAIL,ADA_2241,DOWN,1.301569,completed child close crossed established direction-aware parent invalidation boundary
BASE_BOUNDARY_FAIL,ADA_1877,DOWN,1.188859,completed child close crossed established direction-aware parent invalidation boundary
BASE_BOUNDARY_FAIL,ADA_1992,DOWN,1.143488,completed child close crossed established direction-aware parent invalidation boundary
BASE_BOUNDARY_FAIL,ADA_1353,DOWN,1.041555,completed child close crossed established direction-aware parent invalidation boundary
BASE_BOUNDARY_FAIL,ADA_1721,UP,1.021246,completed child close crossed established direction-aware parent invalidation boundary
BASE_BOUNDARY_FAIL,ADA_1330,UP,1.013677,completed child close crossed established direction-aware parent invalidation boundary
BASE_BOUNDARY_FAIL,ADA_1562,UP,1.012048,completed child close crossed established direction-aware parent invalidation boundary
BASE_BOUNDARY_FAIL,ADA_1188,UP,1.003953,completed child close crossed established direction-aware parent invalidation boundary
BASE_BOUNDARY_FAIL,ADA_2322,DOWN,0.944079,completed child close crossed established direction-aware parent invalidation boundary
BASE_BOUNDARY_FAIL,ADA_2499,DOWN,0.934579,completed child close crossed established direction-aware parent invalidation boundary
BASE_BOUNDARY_FAIL,ADA_2446,DOWN,0.933333,completed child close crossed established direction-aware parent invalidation boundary
BASE_BOUNDARY_FAIL,ADA_1147,UP,0.930133,completed child close crossed established direction-aware parent invalidation boundary
BASE_BOUNDARY_FAIL,ADA_1530,DOWN,0.909747,completed child close crossed established direction-aware parent invalidation boundary
