instrument,child_scale,parent_direction,parent_start,counter_start,balance_start,reassertion_time,end_time,parent_invalidation_boundary,parent_intact,child_counter_motion,counter_progress_decay,balance_or_overlap,failed_counter_extension,parent_reassertion,reassertion_atr,counter_displacement_atr,counter_efficiency,overlap_ratio,alternation_rate,parent_elapsed_bars,child_elapsed_bars,child_parent_amplitude_ratio,child_parent_duration_ratio,parameter_factor,diagnostic_flag,diagnostic_reason,interval_id,variant,boundary_margin_threshold_atr,boundary_distance_atr,gate_pass,counter_boundary_preserved,balance_boundary_preserved,reassertion_boundary_preserved
ADAUSDT,1H_FALLBACK,UP,2023-07-01 00:00:00,2023-07-02 08:00:00,2023-07-02 20:00:00,2023-07-03 00:00:00,2023-07-03 00:00:00,0.2812,1,1,1,1,0,1,0.721078,-0.23371,0.282051,0.678721,0.333333,8,4,0.88189,0.5,1.0,0,,ADA_0012,BASE,0.0,2.863708,1,1,1,1
ADAUSDT,1H_FALLBACK,UP,2023-07-01 16:00:00,2023-07-03 00:00:00,2023-07-03 12:00:00,2023-07-03 16:00:00,2023-07-03 16:00:00,0.2853,1,1,1,1,0,1,0.594059,-0.06161,0.142857,0.815203,0.333333,8,4,1.05814,0.5,1.0,0,,ADA_0016,BASE,0.0,2.594059,1,1,1,1
ADAUSDT,1H_FALLBACK,UP,2023-07-02 00:00:00,2023-07-03 08:00:00,2023-07-03 20:00:00,2023-07-04 00:00:00,2023-07-04 00:00:00,0.2853,1,1,0,1,0,1,0.608696,-0.386179,0.358491,0.765203,0.666667,8,4,0.839286,0.5,1.0,0,,ADA_0018,BASE,0.0,2.847125,1,1,1,1
ADAUSDT,1H_FALLBACK,DOWN,2023-07-03 08:00:00,2023-07-04 16:00:00,2023-07-05 04:00:00,2023-07-05 08:00:00,2023-07-05 08:00:00,0.3016,1,1,1,1,1,1,1.580645,0.561304,1.0,0.53265,0.333333,8,4,1.268519,0.5,1.0,0,,ADA_0026,BASE,0.0,2.709677,1,1,1,1
ADAUSDT,1H_FALLBACK,DOWN,2023-07-03 12:00:00,2023-07-04 20:00:00,2023-07-05 08:00:00,2023-07-05 12:00:00,2023-07-05 12:00:00,0.3016,1,1,1,1,0,1,0.57767,-1.146953,0.542373,0.491597,0.333333,8,4,1.349206,0.5,1.0,0,,ADA_0027,BASE,0.0,3.228155,1,1,1,1
ADAUSDT,1H_FALLBACK,DOWN,2023-07-04 12:00:00,2023-07-05 20:00:00,2023-07-06 08:00:00,2023-07-06 12:00:00,2023-07-06 12:00:00,0.297,1,1,1,1,0,1,0.815534,0.633852,0.906977,0.523841,0.333333,8,4,1.017341,0.5,1.0,0,,ADA_0033,BASE,0.0,2.204962,1,1,1,1
ADAUSDT,1H_FALLBACK,DOWN,2023-07-04 20:00:00,2023-07-06 04:00:00,2023-07-06 16:00:00,2023-07-06 20:00:00,2023-07-06 20:00:00,0.2967,1,1,0,1,0,1,0.790795,-0.647149,0.6,0.666872,0.666667,8,4,1.035294,0.5,1.0,0,,ADA_0035,BASE,0.0,2.679916,1,1,1,1
ADAUSDT,1H_FALLBACK,UP,2023-07-06 12:00:00,2023-07-07 20:00:00,2023-07-08 08:00:00,2023-07-08 12:00:00,2023-07-08 12:00:00,0.2761,1,1,1,1,0,1,0.526976,-0.272109,0.421053,0.652778,0.333333,8,4,0.6875,0.5,1.0,0,,ADA_0045,BASE,0.0,2.265997,1,1,1,1
ADAUSDT,1H_FALLBACK,DOWN,2023-07-08 20:00:00,2023-07-10 04:00:00,2023-07-10 16:00:00,2023-07-10 20:00:00,2023-07-10 20:00:00,0.2918,1,1,1,1,1,1,0.766823,1.822565,1.0,0.63984,0.333333,8,4,0.912409,0.5,1.0,0,,ADA_0059,BASE,0.0,0.876369,1,1,1,1
ADAUSDT,1H_FALLBACK,UP,2023-07-09 20:00:00,2023-07-11 04:00:00,2023-07-11 16:00:00,2023-07-11 20:00:00,2023-07-11 20:00:00,0.2781,1,1,1,1,1,1,0.654206,0.394366,1.0,0.845971,0.333333,8,4,0.39726,0.5,1.0,0,,ADA_0065,BASE,0.0,3.183801,1,1,1,1
ADAUSDT,1H_FALLBACK,UP,2023-07-10 20:00:00,2023-07-12 04:00:00,2023-07-12 16:00:00,2023-07-12 20:00:00,2023-07-12 20:00:00,0.2863,0,1,1,1,1,1,0.707317,1.770658,1.0,0.551911,0.333333,8,4,1.164835,0.5,1.0,1,PARENT_BOUNDARY_FAILURE,ADA_0071,BASE,0.0,0.658537,1,1,0,0
ADAUSDT,1H_FALLBACK,DOWN,2023-07-12 04:00:00,2023-07-13 12:00:00,2023-07-14 00:00:00,2023-07-14 04:00:00,2023-07-14 04:00:00,0.2954,0,1,1,1,1,1,0.651698,4.996424,1.0,0.538963,0.333333,8,4,8.650943,0.5,1.0,1,PARENT_BOUNDARY_FAILURE,ADA_0079,BASE,0.0,-4.385542,1,0,0,0
ADAUSDT,1H_FALLBACK,UP,2023-07-13 04:00:00,2023-07-14 12:00:00,2023-07-15 00:00:00,2023-07-15 04:00:00,2023-07-15 04:00:00,0.2858,1,1,1,1,1,1,0.505308,1.31305,0.623881,0.577955,1.0,8,4,0.37861,0.5,1.0,0,,ADA_0085,BASE,0.0,2.912951,1,1,1,1
ADAUSDT,1H_FALLBACK,DOWN,2023-07-15 08:00:00,2023-07-16 16:00:00,2023-07-17 04:00:00,2023-07-17 08:00:00,2023-07-17 08:00:00,0.3376,1,1,1,1,0,1,0.761329,0.210764,0.266667,0.656066,0.666667,8,4,0.858537,0.5,1.0,0,,ADA_0098,BASE,0.0,3.707956,1,1,1,1
ADAUSDT,1H_FALLBACK,DOWN,2023-07-17 04:00:00,2023-07-18 12:00:00,2023-07-19 00:00:00,2023-07-19 04:00:00,2023-07-19 04:00:00,0.3197,0,1,0,1,0,1,0.54827,2.05138,0.865169,0.628123,0.666667,8,4,1.443787,0.5,1.0,1,PARENT_BOUNDARY_FAILURE,ADA_0109,BASE,0.0,0.497268,1,1,0,0
