control_id,matched_interval_id,variant,instrument,start_time,end_time,parent_direction,control_reassertion_atr,duration_mismatch_bars,atr_mismatch,realized_range_mismatch,parent_age_mismatch_bars,phase_location_mismatch,match_exact,mismatch_disclosure
CTRL_0001,ADA_0012,BASE,ADAUSDT,2024-05-16 16:00:00,2024-05-17 08:00:00,UP,0.814216,0,0.003989,0.0076,0,0.580606,0,"candidate parent direction, duration, and parent age exact; nearest deterministic reassertion ATR, then time location; realized-range mismatch explicit"
CTRL_0002,ADA_0016,BASE,ADAUSDT,2024-07-09 00:00:00,2024-07-09 16:00:00,UP,0.541301,0,0.007143,0.0001,0,0.676364,0,"candidate parent direction, duration, and parent age exact; nearest deterministic reassertion ATR, then time location; realized-range mismatch explicit"
CTRL_0003,ADA_0018,BASE,ADAUSDT,2024-07-09 00:00:00,2024-07-09 16:00:00,UP,0.541301,0,0.0071,0.0023,0,0.675758,0,"candidate parent direction, duration, and parent age exact; nearest deterministic reassertion ATR, then time location; realized-range mismatch explicit"
CTRL_0004,ADA_0026,BASE,ADAUSDT,2024-07-04 04:00:00,2024-07-04 20:00:00,DOWN,1.335385,0,0.00585,0.0064,0,0.664545,0,"candidate parent direction, duration, and parent age exact; nearest deterministic reassertion ATR, then time location; realized-range mismatch explicit"
CTRL_0005,ADA_0027,BASE,ADAUSDT,2023-08-22 00:00:00,2023-08-22 16:00:00,DOWN,0.543002,0,0.00165,0.0012,0,0.087576,0,"candidate parent direction, duration, and parent age exact; nearest deterministic reassertion ATR, then time location; realized-range mismatch explicit"
CTRL_0006,ADA_0033,BASE,ADAUSDT,2024-07-04 00:00:00,2024-07-04 16:00:00,DOWN,0.797351,0,0.004164,0.0019,0,0.662121,0,"candidate parent direction, duration, and parent age exact; nearest deterministic reassertion ATR, then time location; realized-range mismatch explicit"
CTRL_0007,ADA_0035,BASE,ADAUSDT,2024-07-04 00:00:00,2024-07-04 16:00:00,DOWN,0.797351,0,0.003957,0.0045,0,0.661515,0,"candidate parent direction, duration, and parent age exact; nearest deterministic reassertion ATR, then time location; realized-range mismatch explicit"
CTRL_0008,ADA_0045,BASE,ADAUSDT,2024-07-09 00:00:00,2024-07-09 16:00:00,UP,0.541301,0,0.0065,0.0022,0,0.667576,0,"candidate parent direction, duration, and parent age exact; nearest deterministic reassertion ATR, then time location; realized-range mismatch explicit"
CTRL_0009,ADA_0059,BASE,ADAUSDT,2023-08-21 20:00:00,2023-08-22 12:00:00,DOWN,0.77643,0,0.000443,0.001,0,0.077576,0,"candidate parent direction, duration, and parent age exact; nearest deterministic reassertion ATR, then time location; realized-range mismatch explicit"
CTRL_0010,ADA_0065,BASE,ADAUSDT,2024-07-09 00:00:00,2024-07-09 16:00:00,UP,0.541301,0,0.007607,0.0043,0,0.661515,0,"candidate parent direction, duration, and parent age exact; nearest deterministic reassertion ATR, then time location; realized-range mismatch explicit"
CTRL_0011,ADA_0071,BASE,ADAUSDT,2024-05-16 16:00:00,2024-05-17 08:00:00,UP,0.814216,0,0.004743,0.0104,0,0.562727,0,"candidate parent direction, duration, and parent age exact; nearest deterministic reassertion ATR, then time location; realized-range mismatch explicit"
CTRL_0012,ADA_0079,BASE,ADAUSDT,2023-08-22 00:00:00,2023-08-22 16:00:00,DOWN,0.543002,0,0.008807,0.01,0,0.071818,0,"candidate parent direction, duration, and parent age exact; nearest deterministic reassertion ATR, then time location; realized-range mismatch explicit"
CTRL_0013,ADA_0085,BASE,ADAUSDT,2024-07-09 00:00:00,2024-07-09 16:00:00,UP,0.541301,0,0.004629,0.0025,0,0.655455,0,"candidate parent direction, duration, and parent age exact; nearest deterministic reassertion ATR, then time location; realized-range mismatch explicit"
CTRL_0014,ADA_0098,BASE,ADAUSDT,2023-08-21 20:00:00,2023-08-22 12:00:00,DOWN,0.77643,0,0.002971,0.0081,0,0.065758,0,"candidate parent direction, duration, and parent age exact; nearest deterministic reassertion ATR, then time location; realized-range mismatch explicit"
CTRL_0015,ADA_0109,BASE,ADAUSDT,2023-08-22 00:00:00,2023-08-22 16:00:00,DOWN,0.543002,0,0.003607,0.0001,0,0.062727,0,"candidate parent direction, duration, and parent age exact; nearest deterministic reassertion ATR, then time location; realized-range mismatch explicit"
CTRL_0016,ADA_0114,BASE,ADAUSDT,2024-07-09 00:00:00,2024-07-09 16:00:00,UP,0.541301,0,0.003914,0.004,0,0.646667,0,"candidate parent direction, duration, and parent age exact; nearest deterministic reassertion ATR, then time location; realized-range mismatch explicit"
CTRL_0017,ADA_0139,BASE,ADAUSDT,2024-07-09 00:00:00,2024-07-09 16:00:00,UP,0.541301,0,0.007457,0.0022,0,0.639091,0,"candidate parent direction, duration, and parent age exact; nearest deterministic reassertion ATR, then time location; realized-range mismatch explicit"
CTRL_0018,ADA_0153,BASE,ADAUSDT,2024-05-16 16:00:00,2024-05-17 08:00:00,UP,0.814216,0,0.003979,0.009,0,0.537879,0,"candidate parent direction, duration, and parent age exact; nearest deterministic reassertion ATR, then time location; realized-range mismatch explicit"
CTRL_0019,ADA_0164,BASE,ADAUSDT,2024-05-16 16:00:00,2024-05-17 08:00:00,UP,0.814216,0,0.004721,0.0086,0,0.534545,0,"candidate parent direction, duration, and parent age exact; nearest deterministic reassertion ATR, then time location; realized-range mismatch explicit"
CTRL_0020,ADA_0171,BASE,ADAUSDT,2024-07-09 00:00:00,2024-07-09 16:00:00,UP,0.541301,0,0.009007,0.0055,0,0.629394,0,"candidate parent direction, duration, and parent age exact; nearest deterministic reassertion ATR, then time location; realized-range mismatch explicit"
CTRL_0021,ADA_0172,BASE,ADAUSDT,2024-07-09 00:00:00,2024-07-09 16:00:00,UP,0.541301,0,0.00905,0.0051,0,0.629091,0,"candidate parent direction, duration, and parent age exact; nearest deterministic reassertion ATR, then time location; realized-range mismatch explicit"
CTRL_0022,ADA_0179,BASE,ADAUSDT,2024-05-16 12:00:00,2024-05-17 04:00:00,UP,2.47561,0,0.004507,0.0105,0,0.529697,0,"candidate parent direction, duration, and parent age exact; nearest deterministic reassertion ATR, then time location; realized-range mismatch explicit"
CTRL_0023,ADA_0192,BASE,ADAUSDT,2023-08-22 00:00:00,2023-08-22 16:00:00,DOWN,0.543002,0,0.001314,0.0013,0,0.037576,0,"candidate parent direction, duration, and parent age exact; nearest deterministic reassertion ATR, then time location; realized-range mismatch explicit"
CTRL_0024,ADA_0195,BASE,ADAUSDT,2024-07-04 00:00:00,2024-07-04 16:00:00,DOWN,0.797351,0,0.005779,0.004,0,0.61303,0,"candidate parent direction, duration, and parent age exact; nearest deterministic reassertion ATR, then time location; realized-range mismatch explicit"
CTRL_0025,ADA_0203,BASE,ADAUSDT,2023-08-21 20:00:00,2023-08-22 12:00:00,DOWN,0.77643,0,0.00055,0.0025,0,0.033939,0,"candidate parent direction, duration, and parent age exact; nearest deterministic reassertion ATR, then time location; realized-range mismatch explicit"
