variant,segment,parent_direction,support_count,contrast,above_control_fraction,time_concentrated_flag
BASE,1,UP,65,0.169231,0.584615,NO
BASE,1,DOWN,77,0.090909,0.545455,NO
BASE,2,UP,57,0.368421,0.684211,NO
BASE,2,DOWN,85,0.129412,0.564706,NO
BASE,3,UP,70,0.371429,0.685714,NO
BASE,3,DOWN,71,0.15493,0.577465,NO
BOUNDARY_AT_COUNTER_END,1,UP,60,0.133333,0.566667,NO
BOUNDARY_AT_COUNTER_END,1,DOWN,66,0.060606,0.530303,NO
BOUNDARY_AT_COUNTER_END,2,UP,50,0.48,0.74,NO
BOUNDARY_AT_COUNTER_END,2,DOWN,76,0.105263,0.552632,NO
BOUNDARY_AT_COUNTER_END,3,UP,65,0.415385,0.707692,NO
BOUNDARY_AT_COUNTER_END,3,DOWN,68,0.147059,0.573529,NO
BOUNDARY_THROUGH_BALANCE,1,UP,56,0.142857,0.571429,NO
BOUNDARY_THROUGH_BALANCE,1,DOWN,64,0.0625,0.53125,NO
BOUNDARY_THROUGH_BALANCE,2,UP,47,0.489362,0.744681,NO
BOUNDARY_THROUGH_BALANCE,2,DOWN,71,0.15493,0.577465,NO
BOUNDARY_THROUGH_BALANCE,3,UP,63,0.396825,0.698413,NO
BOUNDARY_THROUGH_BALANCE,3,DOWN,68,0.147059,0.573529,NO
BOUNDARY_THROUGH_REASSERTION,1,UP,56,0.142857,0.571429,NO
BOUNDARY_THROUGH_REASSERTION,1,DOWN,64,0.0625,0.53125,NO
BOUNDARY_THROUGH_REASSERTION,2,UP,47,0.489362,0.744681,NO
BOUNDARY_THROUGH_REASSERTION,2,DOWN,71,0.15493,0.577465,NO
BOUNDARY_THROUGH_REASSERTION,3,UP,63,0.396825,0.698413,NO
BOUNDARY_THROUGH_REASSERTION,3,DOWN,68,0.147059,0.573529,NO
BOUNDARY_MARGIN,1,UP,56,0.142857,0.571429,NO
BOUNDARY_MARGIN,1,DOWN,64,0.0625,0.53125,NO
BOUNDARY_MARGIN,2,UP,47,0.489362,0.744681,NO
BOUNDARY_MARGIN,2,DOWN,71,0.15493,0.577465,NO
BOUNDARY_MARGIN,3,UP,63,0.396825,0.698413,NO
BOUNDARY_MARGIN,3,DOWN,68,0.147059,0.573529,NO
